dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.444015444015444,0.428059790033162,0.364617337505038,0.8400667176608646,1.5631761048839377,1.2573537826538086,3.343754768371582,ok,,1035,828,0,259,,0,1e-05,False,0.6902287006378174,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9433933475740006,0.9326709887221626,0.607140674906263,0.839107816222106,0.1661482668513246,38.007790088653564,12.132636070251465,ok,,26215,20972,0,6554,0.1980978548526764,45,1e-05,True,37.786555767059326,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9486934960900248,0.9498378790768645,0.9486934960900248,0.9498378790768645,7,True,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7726589884827241,0.7723064005945214,0.7721591341537852,0.9190924620597204,0.5368654465581326,13.574591159820557,1.2664892673492432,ok,,7987,6389,0,1997,0.5964306592941284,23,1e-05,True,13.5409095287323,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7521902377972466,0.7834793491864831,0.7521902377972466,0.7834793491864831,15,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9885699771399544,0.9885779389194748,0.9880402244570732,0.9991515857113912,0.0333163239449046,36.83662748336792,19.241579055786133,ok,,31492,25193,0,7874,0.0429310612380504,36,1e-05,True,36.58207321166992,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9863470392125734,0.9868233052865534,0.9863470392125734,0.9868233052865534,4,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5856238698010849,0.5841224070716382,0.5659680210237975,0.7640345925551632,0.8773116620917956,55.256200075149536,34.84002661705017,ok,,44236,35388,0,11060,0.9018888175487518,48,1e-05,True,54.86416006088257,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5710895117540687,0.5761754068716094,0.5710895117540687,0.5761754068716094,4,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8168656337312674,0.8143492407216749,0.7859742740983091,0.8822709650070714,0.4055154843188039,53.13741993904114,19.22813630104065,ok,,31492,25193,0,7874,0.4047756642103195,51,1e-05,True,52.820698499679565,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8042546435942213,0.807429750754088,0.8042546435942213,0.807429750754088,9,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.878,0.8671523028727588,0.7441478458427611,0.8760941218568337,0.3192028871366986,19.038788318634037,2.406343698501587,ok,,8000,6400,0,2000,0.3450624942779541,24,1e-05,True,18.95373821258545,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8675,0.875,0.8675,0.875,16,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7164179104477612,0.7146382129160544,0.6935979210961494,0.7460134656272147,0.5782028872312921,2.992210865020752,0.2969443798065185,ok,,1072,857,0,268,0.5125714540481567,10,1e-05,True,2.962132215499878,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7674418604651163,0.7581395348837209,0.7674418604651163,2,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9195736434108528,0.9195730770360372,0.9195724508491008,0.9776874694108936,0.1918891742794094,26.29935503005981,6.651150465011597,ok,,16512,13209,0,4128,0.2474542707204818,34,1e-05,True,26.15973949432373,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9049349076597032,0.9134120496518316,0.9049349076597032,0.9134120496518316,9,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.735,0.7345873986227583,0.7349775461151171,0.800287679685773,0.5436132974354516,113.96466374397278,54.22768497467041,ok,,56000,44800,0,14000,0.5116129219532013,90,1e-05,True,113.47027778625488,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7310714285714286,0.7332142857142857,0.7310714285714286,0.7332142857142857,10,True,False,
