dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.503941898782927,1.9408996105194087,4.407878398895264,ok,,1035,828,0,259,,0,1e-05,False,1.121758222579956,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7651477215823735,0.7648594646362097,0.7646169892686004,0.9181164427409112,0.5437233793094758,23.316381692886356,1.4775230884552002,ok,,7987,6389,0,1997,0.5496537685394287,30,1e-05,True,23.27327299118042,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7509386733416771,0.7916145181476846,0.7509386733416771,0.7916145181476846,23,False,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5874321880650994,0.5862594763431764,0.5692168333900098,0.7654860818888286,0.8741499230835897,69.82474517822266,36.78171253204346,ok,,44236,35388,0,11060,0.8934693336486816,56,1e-05,True,69.33184599876404,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5762884267631103,0.578887884267631,0.5762884267631103,0.578887884267631,6,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.876,0.8655442422161173,0.7438069810951167,0.8849481222362577,0.3103099790967547,14.957525491714478,2.8072257041931152,ok,,8000,6400,0,2000,0.3134861588478088,16,1e-05,True,14.84969997406006,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.861875,0.8675,0.861875,0.8675,8,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9256298449612403,0.9256296922086432,0.9256292406624737,0.9802531398947676,0.1805876484560159,26.935389041900635,7.275787830352783,ok,,16512,13209,0,4128,0.2373644039034843,30,1e-05,True,26.769102096557617,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9182561307901907,0.9224947017862548,0.9182561307901907,0.9224947017862548,7,True,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data200/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8330413016270338,0.7598110627407995,0.5059387280796313,0.6250721807786892,0.4378572248792657,34.36091494560242,7.407973527908325,ok,,31958,25566,0,7990,0.4232554137706756,36,1e-05,True,34.25703454017639,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8326032540675845,0.8322903629536921,0.8326032540675845,4,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9833333333333332,0.9833368077270516,0.9835928809788654,0.9976015016685204,0.0527359430515123,19.784022331237797,1.0865001678466797,ok,,1920,1536,0,480,0.047650821506977,30,1e-05,True,19.693286418914795,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9791666666666666,0.9635416666666666,0.9791666666666666,23,False,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687585479270056,0.9692018909899888,0.9948553948832036,0.093182935837809,14.615601301193236,1.0959482192993164,ok,,1920,1536,0,480,0.0512940660119056,21,1e-05,True,14.52437686920166,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9609375,0.9765625,0.9609375,0.9765625,13,True,False,
Credit_c,/home/crc00006699/zh/tabiclv2/data200/Credit_c,multiclass,80000,16000,20000,22,3,0.8224,0.8223239819984175,0.8368872730357771,0.9324122847475292,0.4142995229121933,177.25085544586182,117.34746193885805,ok,,80000,64000,0,20000,0.6238718032836914,91,1e-05,True,175.54351043701172,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,accuracy,0.812875,0.8230625,0.812875,0.8230625,5,True,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.8417645287563986,0.4862973561311434,7.477867126464844,0.892216682434082,ok,,920,736,0,231,0.4028504341840744,16,1e-05,True,7.421940326690674,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7445652173913043,0.75,0.7445652173913043,0.75,8,True,False,
Employee,/home/crc00006699/zh/tabiclv2/data200/Employee,binclass,3722,745,931,8,2,0.8592910848549946,0.853282037833896,0.8131725654664484,0.8809252250409165,0.3506761616231712,8.662883281707764,1.193492412567139,ok,,3722,2977,0,931,0.3964615762233734,17,1e-05,True,8.603517055511475,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8523489932885906,0.8563758389261745,0.8523489932885906,0.8563758389261745,9,True,False,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8321748945523673,0.5061551590364243,3.7619786262512207,0.5329780578613281,ok,,1467,1173,0,367,0.5027844309806824,8,1e-05,True,3.717902660369873,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7108843537414966,0.7108843537414966,0.7108843537414966,0,True,False,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7547683923705722,0.7547246920543923,0.7550199013841858,0.8400611893304818,0.496070381066317,7.073283910751343,0.5139617919921875,ok,,1466,1172,0,367,0.5155046582221985,18,1e-05,True,7.028412818908691,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7244897959183674,0.7108843537414966,0.7244897959183674,10,True,False,
