dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.503941898782927,1.2721405029296875,3.896211862564087,ok,,1035,828,0,259,,0,1e-05,False,0.7007126808166504,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9456820262435154,0.9326993002237476,0.5947340647132342,0.8310488927819853,0.167102885291426,57.498541831970215,12.710114002227783,ok,,26215,20972,0,6554,0.1930976510047912,63,1e-05,True,57.27211356163025,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.8550393751132234,0.8595496637930116,0.949074957085638,0.950028609574671,13,True,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.771156735102654,0.7708757995581969,0.7706335051294483,0.9237003768417869,0.5230027152997048,19.912998914718628,1.390162467956543,ok,,7987,6389,0,1997,0.549175351858139,30,1e-05,True,19.877238512039185,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.9016391855752374,0.9197547328610516,0.7509386733416771,0.7809762202753442,26,False,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239524,0.9880774596607574,0.9880918254272,0.999091193994276,0.0343132452765176,26.110191822052,20.18600082397461,ok,,31492,25193,0,7874,0.04829235188663,24,1e-05,True,25.855996131896973,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.9988056620762288,0.9988056620762288,0.98666454992856,0.98666454992856,0,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5879746835443038,0.5869752334107461,0.5700660443566302,0.7654706345378747,0.8739653952674937,75.10599637031555,36.40194988250733,ok,,44236,35388,0,11060,0.8951334357261658,64,1e-05,True,74.71418952941895,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,roc_auc,0.7589704602393859,0.7603372528392423,0.5762884267631103,0.5780967450271248,8,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8159766319532639,0.8133762698249005,0.7846936301173358,0.884857875101074,0.402567797617642,95.65090203285216,20.25777316093445,ok,,31492,25193,0,7874,0.3953484296798706,90,1e-05,True,95.33059573173524,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,roc_auc,0.8779035922294894,0.8802997613840836,0.8096523257659946,0.8099698364819813,26,False,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.8648358896033153,0.7440938627379305,0.8856491314118433,0.3093091418191468,16.486820936203003,2.779195547103882,ok,,8000,6400,0,2000,0.3153521567583084,20,1e-05,True,16.398749351501465,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8777604954204428,0.8791124519652127,0.861875,0.865,12,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7030301526820772,0.6807819513347508,0.7439168438459721,0.5776582937451252,3.5953409671783447,0.3879292011260986,ok,,1072,857,0,268,0.5986699461936951,10,1e-05,True,3.5625,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,roc_auc,0.8182193288098295,0.8184027141023289,0.7581395348837209,0.7534883720930232,2,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9258720930232558,0.9258718842161716,0.9258713714130788,0.9802669893511764,0.180525324621806,26.589604377746586,7.165140390396118,ok,,16512,13209,0,4128,0.2426188066601753,32,1e-05,True,26.45095992088318,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,roc_auc,0.9770747569526432,0.9786652524040752,0.9182561307901907,0.9224947017862548,8,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7342142857142857,0.7338342783499381,0.7341927703486597,0.8013281494132733,0.5423410533507298,60.08426570892334,56.173216819763184,ok,,56000,44800,0,14000,0.5444620251655579,45,1e-05,True,59.58716130256653,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,roc_auc,0.8000135905651249,0.8007824523929231,0.7323214285714286,0.7333928571428572,1,True,False,
