dataset_name,status,png,n_train,n_test,sampled_train,sampled_test,n_features_raw,n_features_encoded,perplexity,error
BNG(tic-tac-toe),ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/BNG(tic-tac-toe).png,25193,7874,2000,2000,9,27,30.0,
Bank_Customer_Churn_Dataset,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/Bank_Customer_Churn_Dataset.png,6400,2000,2000,2000,10,15,30.0,
FOREX_audcad-hour-High,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/FOREX_audcad-hour-High.png,28048,8765,2000,2000,10,10,30.0,
FOREX_audjpy-day-High,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/FOREX_audjpy-day-High.png,1172,367,1172,367,10,10,30.0,
FOREX_cadjpy-day-High,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/FOREX_cadjpy-day-High.png,1173,367,1173,367,10,10,30.0,
Fitness_Club_c,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/Fitness_Club_c.png,960,300,960,300,6,18,30.0,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001.png,1024,320,1024,320,20,59,30.0,
Gender_Gap_in_Spanish_WP,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/Gender_Gap_in_Spanish_WP.png,3036,950,2000,950,13,13,30.0,
HR_Analytics_Job_Change_of_Data_Scientists,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/HR_Analytics_Job_Change_of_Data_Scientists.png,12260,3832,2000,2000,13,104,30.0,
PhishingWebsites,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/PhishingWebsites.png,7075,2211,2000,2000,30,68,30.0,
Pumpkin_Seeds,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/Pumpkin_Seeds.png,1600,500,1600,500,12,12,30.0,
QSAR_biodegradation,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/QSAR_biodegradation.png,674,211,674,211,41,41,30.0,
Water_Quality_and_Potability,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/Water_Quality_and_Potability.png,2096,656,2000,656,8,8,30.0,
autoUniv-au4-2500,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/autoUniv-au4-2500.png,1600,500,1600,500,100,226,30.0,
cmc,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/cmc.png,942,295,942,295,9,24,30.0,
contraceptive_method_choice,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/contraceptive_method_choice.png,942,295,942,295,9,15,30.0,
eeg-eye-state,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/eeg-eye-state.png,9587,2996,2000,2000,14,14,30.0,
first-order-theorem-proving,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/first-order-theorem-proving.png,3915,1224,2000,1224,51,51,30.0,
heloc,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/heloc.png,6400,2000,2000,2000,22,22,30.0,
led24,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/led24.png,2048,640,2000,640,24,48,30.0,
mammography,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/mammography.png,7156,2237,2000,2000,6,6,30.0,
mobile_c36_oversampling,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/mobile_c36_oversampling.png,33126,10352,2000,2000,6,6,30.0,
okcupid_stem,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/okcupid_stem.png,17072,5336,2000,2000,13,163,30.0,
phoneme,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/phoneme.png,3458,1081,2000,1081,5,5,30.0,
pol,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/pol.png,6452,2017,2000,2000,26,26,30.0,
ringnorm,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/ringnorm.png,4736,1480,2000,1480,20,20,30.0,
segment,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/segment.png,1478,462,1478,462,17,17,30.0,
taiwanese_bankruptcy_prediction,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/taiwanese_bankruptcy_prediction.png,4364,1364,2000,1364,95,95,30.0,
wine-quality-red,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/wine-quality-red.png,1023,320,1023,320,4,4,30.0,
yeast,ok,1c_result_v2/1c_icl_ttt_epoch30_chunk/tsne_decrease/yeast.png,949,297,949,297,8,8,30.0,
