dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.5039419252701582,2.2384936809539795,4.975453615188599,ok,,1035,828,0,259,,0,1e-05,False,1.2545249462127686,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9441562404638388,0.9294777284745342,0.5778265839146273,0.8343142512257914,0.1663157519817883,41.38550066947937,13.066876888275146,ok,,26215,20972,0,6554,0.2332709580659866,24,1e-05,True,41.07421541213989,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores_unavailable,30,3,epoch_chunk,accuracy,0.949074957085638,0.949074957085638,0.949074957085638,0.949074957085638,0,True,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7601402103154732,0.7597970776020839,0.7595866094529601,0.914267040107967,0.5566381652496991,28.016088247299194,1.5463557243347168,ok,,7987,6389,0,1997,4.929297208786011,30,1e-05,True,27.97672843933105,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores=available:start_epoch=28 | attention_batches=3 | attention_query_total=3831 | attention_target_total=3831 | attention_shortfall_total=0,30,1,epoch_chunk,accuracy,0.7509386733416771,0.7878598247809763,0.7509386733416771,0.7878598247809763,22,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9883159766319533,0.9883271340154838,0.9880221426766824,0.9991232123247704,0.0337393937801818,62.61205673217773,20.736458778381348,ok,,31492,25193,0,7874,0.0348038654774427,39,1e-05,True,62.30641555786133,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores_unavailable,30,3,epoch_chunk,accuracy,0.98666454992856,0.98761708207652,0.98666454992856,0.98761708207652,5,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5868896925858951,0.5854293471721199,0.5676076282025122,0.7655048834120586,0.8738993338357763,97.1191635131836,37.247763872146606,ok,,44236,35388,0,11060,0.8683020174503326,52,1e-05,True,96.63144874572754,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores_unavailable,30,4,epoch_chunk,accuracy,0.5762884267631103,0.578887884267631,0.5762884267631103,0.578887884267631,5,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8134366268732538,0.8109041587712384,0.7823200242726998,0.884406747645415,0.4029123667785553,85.41559958457947,20.870081663131717,ok,,31492,25193,0,7874,0.4265850782394409,57,1e-05,True,84.9625825881958,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores_unavailable,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8109223686299413,0.8096523257659946,0.8109223686299413,11,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.8648358896033153,0.7440938627379305,0.8835653835653836,0.3118188969152236,19.115342140197757,2.844658851623535,ok,,8000,6400,0,2000,0.33514504134655,14,1e-05,True,19.010685682296756,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores_unavailable,30,1,epoch_chunk,accuracy,0.861875,0.865625,0.861875,0.865625,6,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7071286922033191,0.6856839121190645,0.7440940231514293,0.5769641433404031,15.091626405715942,0.4248263835906982,ok,,1072,857,0,268,1.5323042273521423,30,1e-05,True,15.054490089416504,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores=available:start_epoch=28 | attention_batches=3 | attention_query_total=513 | attention_target_total=513 | attention_shortfall_total=0,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7627906976744186,0.7581395348837209,0.7627906976744186,3,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9261143410852714,0.9261139118266248,0.9261132674271348,0.9802026715366676,0.1808002877281168,40.6029736995697,7.394529342651367,ok,,16512,13209,0,4128,0.2551664859056473,34,1e-05,True,40.43219709396362,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores_unavailable,30,2,epoch_chunk,accuracy,0.9182561307901907,0.9227974568574024,0.9182561307901907,0.9227974568574024,9,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7335,0.7331555552363161,0.7334795456259742,0.8013423126832042,0.5422731146365957,107.46582818031312,57.40744853019714,ok,,56000,44800,0,14000,0.5431685745716095,45,1e-05,True,106.84261322021484,full_train_epoch_chunks_attention_final_d,full train set chunked per epoch | validation=dataset_val_split | attention_train_d:last_epochs=3 | attention_scores_unavailable,30,5,epoch_chunk,accuracy,0.7323214285714286,0.7347321428571428,0.7323214285714286,0.7347321428571428,1,True,False,
