dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.9006849315068494,0.8909730560438711,0.6927083333333334,0.9299045138888888,0.2179117654989047,3.261883497238159,4.39054274559021,ok,
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.8945686900958466,0.8630217336967966,0.5397575622775801,0.8350756227758007,0.2660489939770002,2.3297312259674072,1.1644599437713623,ok,
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8213137344970143,0.77912702673977,0.5786357192712871,0.744631910139109,0.4279320687364633,2.016022205352783,4.389131307601929,ok,
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8380952380952381,0.826055452645048,0.6971522453450164,0.7582146768893757,0.4719344713794672,1.3190500736236572,0.5504491329193115,ok,
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8744075829383886,0.8525179663284063,0.6426416720534367,0.8663434604611076,0.2976476175952264,1.2238316535949707,0.9675016403198242,ok,
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.945945945945946,0.9330698623151452,0.6309178743961352,0.9067632850241546,0.1503533253512197,1.1883594989776611,0.7186808586120605,ok,
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,0.992,0.9921550779603876,0.9941520467836256,0.999334290543067,0.0566479811469895,1.2052364349365234,0.4322566986083984,ok,
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.965,0.9650118255320168,0.965,0.9985902777777778,0.1259283387129185,2.0738534927368164,5.190112829208374,ok,
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.87,0.8682805423993742,0.8699999999999999,0.9888888888888888,0.3085120540334374,1.6425747871398926,1.9737095832824707,ok,
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9034612407386928,0.8944170144998087,0.6911521247897464,0.913785891078854,0.2203294076373195,1.9331567287445068,31.037029266357425,ok,
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,1.0,1.0,1.0,1.0,2.749248746367287e-05,1.0928375720977783,0.5483419895172119,ok,
OpenML-ID-1464,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1464,binclass,598,120,150,4,2,0.7933333333333333,0.7725189517002383,0.64546783625731,0.7631578947368419,0.4703305409997627,0.9638311862945556,0.1827423572540283,ok,
