dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.8767123287671232,0.8191180881911808,0.5,0.5955946180555557,0.368806972224277,16.97735095024109,0.0291292667388916,ok,
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.8977635782747604,0.8493992104215747,0.5,0.6206628113879004,0.3289425827063647,11.42572546005249,0.001821756362915,ok,
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8112080845199816,0.7395613991283616,0.5218084991261721,0.7111613254048557,0.4449824175272509,11.528079271316528,0.0013594627380371,ok,
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.7619047619047619,0.6980079220516379,0.498630887185104,0.6569003285870756,0.5104368394731671,17.1404070854187,0.0014081001281738,ok,
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8459715639810427,0.7753834360493767,0.5,0.7285067873303166,0.3797191591859186,11.899349689483644,0.0013742446899414,ok,
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.9324324324324323,0.8998298998298998,0.5,0.5183574879227053,0.310506566604222,10.66144609451294,0.0010445117950439,ok,
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,0.888,0.8612546982429335,0.6711635410364992,0.7816518493983757,0.7175364602549682,11.160624742507936,0.0018765926361083,ok,
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.93,0.9302026225200212,0.93,0.9897986111111112,1.0729265071339824,11.826674461364746,0.0013744831085205,ok,
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.7075,0.6962723266883364,0.7075,0.9499375,1.5815669378158763,12.171034812927246,0.0014066696166992,ok,
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9094327103837222,0.904285459553886,0.731430979400175,0.9303359441675256,0.2009943034290518,13.098751068115234,0.0015792846679687,ok,
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,0.9963636363636365,0.9963620765502778,0.9959016393442623,0.999946426658095,0.2995852516577856,11.415327787399292,0.0013279914855957,ok,
OpenML-ID-1464,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1464,binclass,598,120,150,4,2,0.7533333333333333,0.6840720296805718,0.5241228070175439,0.6228070175438596,0.5612441205189342,10.623974084854126,0.0012531280517578,ok,
OpenML-ID-1468,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1468,multiclass,864,173,216,856,9,0.7268518518518519,0.7038724698869819,0.7268518518518517,0.9523775077160496,1.577139150777637,12.479756116867064,0.0018460750579833,ok,
OpenML-ID-1475,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1475,multiclass,4894,979,1224,51,6,0.5465686274509803,0.5308404426712028,0.4178549202574491,0.7780569674103376,1.2641564241097285,11.122668266296388,0.0014986991882324,ok,
OpenML-ID-1478,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1478,multiclass,8239,1648,2060,561,6,0.9825242718446602,0.982554570927111,0.9834897107087358,0.9984482633257672,0.1312970741180714,13.741045475006104,0.0017817020416259,ok,
OpenML-ID-1480,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1480,binclass,466,94,117,10,2,0.7094017094017094,0.5888034188034188,0.5,0.5364989369241672,0.6016702841379404,10.93526554107666,0.0012366771697998,ok,
OpenML-ID-1485,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1485,binclass,2080,416,520,500,2,0.5019230769230769,0.4461601727151228,0.5019230769230769,0.4989940828402368,0.7080379956140308,11.56315851211548,0.0012359619140625,ok,
OpenML-ID-1486,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1486,binclass,27572,5515,6893,118,2,0.9586537066589292,0.9584757019066616,0.9451533806494572,0.9922093629156064,0.1096939446403696,13.32497525215149,0.0017564296722412,ok,
OpenML-ID-1487,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1487,binclass,2027,406,507,72,2,0.9368836291913216,0.9063538164274496,0.5,0.7163157894736842,0.23287460855903,10.341617107391356,0.0017399787902832,ok,
OpenML-ID-1489,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1489,binclass,4323,865,1081,5,2,0.8603145235892692,0.8591586655246934,0.8236597188960642,0.9094009612367252,0.3351307695963789,10.773059606552124,0.0012650489807128,ok,
OpenML-ID-1494,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1494,binclass,844,169,211,41,2,0.8341232227488151,0.82759091706959,0.7847585513078471,0.8710261569416499,0.4291943527754152,9.85762357711792,0.0012140274047851,ok,
OpenML-ID-1497,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1497,multiclass,4364,873,1092,24,4,0.957875457875458,0.9578754658690672,0.9607941661513092,0.9935303087373386,0.2332100038655271,11.522539615631104,0.001432180404663,ok,
OpenML-ID-15,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-15,binclass,559,112,140,9,2,0.9642857142857144,0.9645308650833512,0.9678442028985508,0.973052536231884,0.3766739146857167,10.460909366607666,0.0012679100036621,ok,
OpenML-ID-1501,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1501,multiclass,1274,255,319,256,10,0.7836990595611285,0.775484188296542,0.7831653225806452,0.9634555343249288,1.5036440428776656,11.184355020523071,0.0014231204986572,ok,
OpenML-ID-151,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-151,binclass,36249,7250,9063,8,2,0.8803928059141565,0.8796210362062558,0.8723970864071535,0.9530861619787796,0.2780782681502832,12.461052179336548,0.0014965534210205,ok,
OpenML-ID-1510,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1510,binclass,455,91,114,30,2,0.9736842105263158,0.973616425775698,0.9692460317460316,0.99239417989418,0.3389932989095913,10.180774927139282,0.0012109279632568,ok,
OpenML-ID-1590,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1590,binclass,39073,7815,9769,14,2,0.860067560651039,0.8532823162203192,0.7677507606621925,0.9112602984814154,0.3127976464796093,13.847599267959597,0.0024166107177734,ok,
OpenML-ID-16,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-16,multiclass,1600,320,400,64,10,0.9,0.9000220192374503,0.8999999999999998,0.9787777777777776,1.4704139308610096,12.84905171394348,0.0013356208801269,ok,
OpenML-ID-18,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-18,multiclass,1600,320,400,6,10,0.6425,0.5961545947592459,0.6425,0.9331180555555556,1.5623349672904785,10.857550382614136,0.0013425350189208,ok,
OpenML-ID-182,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-182,multiclass,5144,1029,1286,36,6,0.8849144634525661,0.8788720205169809,0.8484480849825254,0.9827320002765156,0.3756479527318679,12.414366006851196,0.0015168190002441,ok,
OpenML-ID-188,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-188,multiclass,588,118,148,19,5,0.5743243243243243,0.5109742599646564,0.4799362136571439,0.7831064032221176,1.304553716431275,12.379640579223633,0.0012075901031494,ok,
OpenML-ID-22,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-22,multiclass,1600,320,400,47,10,0.79,0.7873756682388159,0.7899999999999999,0.9639930555555556,1.465617705435964,11.96577262878418,0.0013446807861328,ok,
OpenML-ID-23,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23,multiclass,1178,236,295,9,3,0.5389830508474577,0.5324456061421559,0.505962252230909,0.7168719107454967,0.9560439436712702,11.971519470214844,0.0013506412506103,ok,
OpenML-ID-23381,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23381,binclass,400,80,100,12,2,0.58,0.4258227848101266,0.5,0.4835796387520525,0.6952128411624018,12.495863676071169,0.0012059211730957,ok,
OpenML-ID-23517,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-23517,binclass,77056,15412,19264,21,2,0.5646283222591362,0.5635679895482499,0.5651500283122729,0.5926470675108433,0.682121057764668,16.20696759223938,0.0018825531005859,ok,
OpenML-ID-28,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-28,multiclass,4496,900,1124,64,10,0.9813167259786476,0.9813263641798052,0.9813276127115204,0.9981679042889492,0.4120872238799706,12.370316982269289,0.0016005039215087,ok,
OpenML-ID-29,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-29,binclass,552,111,138,15,2,0.8043478260869565,0.8002956989889387,0.7906110283159463,0.8737492016180541,0.5167635457488127,12.451005935668944,0.0067446231842041,ok,
OpenML-ID-3,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-3,binclass,2556,512,640,36,2,0.953125,0.9530698529411764,0.9522132206175884,0.986468239990607,0.2266444896678531,12.847752571105955,0.0012149810791015,ok,
