dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.928082191780822,0.9223541050590424,0.7680121527777778,0.9568142361111112,0.1881175482171035,20.872393369674683,0.4245896339416504,ok,,1166,932,0,292,,30,1e-05,True,13.049031496047974,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.9634188626907072,0.9634188626907072,,,0,True,False,
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.8945686900958466,0.8630217336967966,0.5397575622775801,0.8285698398576512,0.270726282653891,9.715412616729736,0.4572596549987793,ok,,1250,1000,0,313,,30,1e-05,True,9.715060710906982,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.7954155219780219,0.796875,,,2,True,False,
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.819935691318328,0.7771878221847508,0.5759756843181707,0.7446177070539284,0.4287552221373104,53.04189920425415,2.6253786087036133,ok,,8708,6966,0,2177,,120,1e-05,True,53.04130935668945,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,roc_auc,0.7474101608287484,0.7504810078460775,,,9,True,False,
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8285714285714286,0.8082314744079451,0.6577217962760131,0.7554764512595838,0.5008592726650074,14.282224416732788,0.5412247180938721,ok,,417,333,0,105,,30,1e-05,True,14.281799077987673,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.8854258121158912,0.8871817383669887,,,6,True,False,
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8649289099526066,0.8394829618560289,0.6181641887524241,0.8368024132730015,0.3198316035873061,17.88158631324768,0.424701452255249,ok,,1687,1349,0,422,,30,1e-05,True,17.881235122680664,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.8457167832167832,0.849112426035503,,,10,True,False,
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.9414414414414416,0.9199428109746336,0.5666666666666667,0.855877616747182,0.1858407577441402,8.311784505844116,0.70255446434021,ok,,887,709,0,222,,30,1e-05,True,8.311444997787476,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.7735943775100401,0.7735943775100402,,,2,True,False,
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,0.976,0.9765366459627328,0.9550715870135108,0.9961353848590546,0.0886876180306167,7.518698453903198,0.4029202461242676,ok,,500,400,0,125,,30,1e-05,True,7.518299341201782,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.9962761674718196,0.9962761674718196,,,0,True,False,
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.975,0.9749898377648712,0.975,0.9995625,0.0856067405636715,65.47010111808777,2.168787002563477,ok,,1600,1280,0,400,,30,1e-05,True,65.46969652175903,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.9985243055555556,0.998752170138889,,,14,True,False,
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.9025,0.9006316468784931,0.9025,0.992736111111111,0.2415261961822082,11.806851625442505,0.8711225986480713,ok,,1600,1280,0,400,,30,1e-05,True,11.80630373954773,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.9904622395833332,0.9904622395833332,,,0,True,False,
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9137454384606878,0.9092360089646034,0.7453522850619012,0.940176820195712,0.190231463649586,153.87680745124817,21.57545280456543,ok,,36168,28934,0,9043,,450,1e-05,True,153.87636828422546,tabpfn_finetune_epoch_chunks,dataset_val_split,30,15,tabpfn_finetuning_api,roc_auc,0.9469667195139824,0.9469667195139824,,,0,True,False,
