dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4555984555984556,0.4331092425019514,0.3723218299822578,0.8453974755559368,1.5292404207244032,0.0202364921569824,21.13809299468994,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7366049073610416,0.7360742909542572,0.7358373894032684,0.9037966037365848,0.5838582635937772,0.2900042533874511,1.284972906112671,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5870705244122966,0.5860661468225109,0.5687578767788751,0.7639725295868729,0.8767342756550028,1.4667847156524658,30.049047231674194,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.878,0.8673405338183178,0.7450624738760332,0.8837489261218074,0.3114398236319438,0.3905127048492431,1.9907433986663816,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9149709302325582,0.9149707555870809,0.9149703234317546,0.9755118137036848,0.2005510177056587,0.4862942695617676,5.108350992202759,ok,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8335419274092616,0.7630093605389437,0.5100905485783909,0.6271592731781371,0.4384556995575321,1.1008718013763428,10.798208236694336,ok,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.876303502124169,0.6896815136913856,0.9085869863282016,0.2475790568021094,0.2391366958618164,0.5782485008239746,ok,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.6653416304123677,0.7272492317309087,0.7321172972383527,0.5044478377633123,0.3871486186981201,2.3223934173583984,ok,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7468354430379747,0.7466879704090508,0.7459512735281187,0.823912498613274,0.5157487964601272,0.4554488658905029,3.2193825244903564,ok,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7140901312036508,0.7141500358970998,0.7142057126824811,0.7880496789074443,0.5582547546246146,0.97487473487854,21.90701699256897,ok,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.773841961852861,0.7727049536485077,0.7719220022590809,0.8530705665537124,0.4799524823120569,0.175865888595581,0.3586184978485107,ok,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7143183114660582,0.7143547677624108,0.7142238613794518,0.7854729264949397,0.5580865670917098,0.9749696254730223,21.966776847839355,ok,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7274961580138692,0.7275481111903065,0.7929288429555714,0.5523788296539169,0.1901013851165771,0.371640682220459,ok,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data178/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8736111111111111,0.8714669128333776,0.7756824454115169,0.9689907471769352,0.3275030091580027,0.6115097999572754,2.869346618652344,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data178/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.68125,0.6766908356115536,0.68125,0.7335156249999999,0.5885982103515615,0.2184066772460937,0.393693208694458,ok,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data178/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6073684210526316,0.5483766607998889,0.4071397826433856,0.69862245561449,0.7986315353914252,0.2222919464111328,0.889146089553833,ok,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data178/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8016701461377871,0.8030746638468523,0.7423512348341331,0.808921269428779,0.4309415149694089,0.6931004524230957,6.171918630599976,ok,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data178/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9011716057891108,0.900450294837879,0.8809948438146561,0.959766170021818,0.2318204871658229,3.220042943954468,22.161381483078003,ok,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data178/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,0.9989964366569868,0.9988039501624582,0.9999989833836788,0.0028721868008455,0.358288049697876,2.3007147312164307,ok,
MIC,/home/crc00006699/zh/tabiclv2/data178/MIC,binclass,1319,264,330,104,2,0.906060606060606,0.8928248423960259,0.7201138519924098,0.8902944690420972,0.2608177978900718,0.4764225482940674,1.1732168197631836,ok,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data178/Marketing_Campaign,binclass,1792,359,448,27,2,0.890625,0.8798192095170371,0.7081325655188624,0.9264700121440044,0.2364943923553659,0.2432177066802978,0.5791609287261963,ok,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data178/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8333333333333334,0.792531516065824,0.5459780392717908,0.774777352551951,0.3798248932153274,0.177396535873413,0.358212947845459,ok,
PieChart3,/home/crc00006699/zh/tabiclv2/data178/PieChart3,binclass,861,173,216,37,2,0.875,0.8166666666666667,0.5,0.8644914756025868,0.2733942168759353,0.1754305362701416,0.3779501914978027,ok,
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data178/PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8356831138786027,0.52,0.8947826086956522,0.2478613052320981,0.1748557090759277,0.3771617412567138,ok,
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data178/QSAR_biodegradation,binclass,843,169,211,41,2,0.8957345971563981,0.8940703276665646,0.8693661971830986,0.9490945674044264,0.2780007754839479,0.1944746971130371,0.5556433200836182,ok,
SDSS17,/home/crc00006699/zh/tabiclv2/data178/SDSS17,multiclass,80000,16000,20000,12,3,0.9766,0.9764901516811112,0.9719163063418852,0.9962557651930046,0.0762024310752941,3.567800283432007,101.23268342018127,ok,
Telecom_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Telecom_Churn_Dataset,binclass,2666,534,667,17,2,0.9655172413793104,0.9646456485762048,0.9071079761258816,0.939328992584554,0.1289179675449855,0.2633399963378906,0.6991512775421143,ok,
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/data178/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6524390243902439,0.5940230374200272,0.573671875,0.6715087890625,0.6237165479374588,0.1879441738128662,0.4820992946624756,ok,
abalone,/home/crc00006699/zh/tabiclv2/data178/abalone,multiclass,3341,669,836,8,3,0.645933014354067,0.6488763519495238,0.6435160852394591,0.8307873169028235,0.7427678411183041,0.2161257266998291,0.6205277442932129,ok,
ada,/home/crc00006699/zh/tabiclv2/data178/ada,binclass,3317,664,830,48,2,0.8590361445783132,0.8534888978248787,0.777803709235748,0.9174796178740352,0.3082467311519657,0.3958110809326172,1.7537972927093506,ok,
ada_prior,/home/crc00006699/zh/tabiclv2/data178/ada_prior,binclass,3649,730,913,14,2,0.8543263964950711,0.8464500301931709,0.7615783254774534,0.8956826909492558,0.3364758392680158,0.2702064514160156,0.8684892654418945,ok,
allbp,/home/crc00006699/zh/tabiclv2/data178/allbp,multiclass,3017,604,755,29,3,0.976158940397351,0.9729421618199914,0.5425977223761157,0.9873888763561092,0.064108303972475,0.349346399307251,1.095781326293945,ok,
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data178/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,1.0,0.0089407265725995,0.2104020118713379,0.4454472064971924,ok,
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data178/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.71,0.6803952312827849,0.5141090817799535,0.7608449961608571,0.6720419226386186,0.6690144538879395,1.8141381740570068,ok,
bank,/home/crc00006699/zh/tabiclv2/data178/bank,binclass,36168,7234,9043,16,2,0.9089903792989052,0.9047797656161952,0.7385600126891987,0.943498561220057,0.1859961650282517,4.109104871749878,31.049309730529785,ok,
baseball,/home/crc00006699/zh/tabiclv2/data178/baseball,multiclass,1072,215,268,16,3,0.9402985074626866,0.9294709011255926,0.5735930735930737,0.9722138223313254,0.1372446786309873,0.1890814304351806,0.3649585247039795,ok,
churn,/home/crc00006699/zh/tabiclv2/data178/churn,binclass,4000,800,1000,20,2,0.967,0.9659884683832752,0.9037269132010668,0.9303288501391194,0.1242002750597636,0.3289330005645752,1.200253963470459,ok,
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data178/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.9721407624633432,0.9664351571763908,0.634090909090909,0.9679924242424244,0.0688918611638266,9.43508505821228,6.088086843490601,ok,
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data178/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6203389830508474,0.6203687175261021,0.5944762648011112,0.7923918897142844,0.8238897485432511,0.1835901737213134,0.3651676177978515,ok,
customer_satisfaction_in_airline,/home/crc00006699/zh/tabiclv2/data178/customer_satisfaction_in_airline,binclass,103904,20781,25976,21,2,0.9643517092700956,0.9643978935796446,0.9656028411874996,0.9954440455495432,0.0843192752051811,12.067199945449827,287.2781934738159,ok,
default_of_credit_card_clients,/home/crc00006699/zh/tabiclv2/data178/default_of_credit_card_clients,binclass,24000,4800,6000,23,2,0.827,0.8062034847237952,0.6658183723424551,0.8003659367873711,0.415370416543759,4.209807872772217,19.40069580078125,ok,
dis,/home/crc00006699/zh/tabiclv2/data178/dis,binclass,3017,604,755,29,2,0.9880794701986756,0.9865309669098592,0.7069874383131449,0.98721399730821,0.0323212799444603,0.3385133743286133,1.080751895904541,ok,
drug_consumption,/home/crc00006699/zh/tabiclv2/data178/drug_consumption,multiclass,1507,302,377,12,7,0.403183023872679,0.2316968605998004,0.1428571428571428,0.5252006795310232,1.5088870100420535,0.1742274761199951,0.3657441139221191,ok,
eeg-eye-state,/home/crc00006699/zh/tabiclv2/data178/eeg-eye-state,binclass,11984,2397,2996,14,2,0.9933244325767692,0.9933244325767692,0.993254060285644,0.9996708089498536,0.0251912316827536,0.4545521736145019,4.2396080493927,ok,
estimation_of_obesity_levels,/home/crc00006699/zh/tabiclv2/data178/estimation_of_obesity_levels,multiclass,1688,338,423,16,7,0.9881796690307328,0.9881721771619996,0.987401933953658,0.99991975732633,0.0267585883027276,0.2300684452056884,0.4392154216766357,ok,
eye_movements_bin,/home/crc00006699/zh/tabiclv2/data178/eye_movements_bin,binclass,6086,1218,1522,20,2,0.6675427069645203,0.6670252377551145,0.6675427069645203,0.7392436123020922,0.5964503547102339,0.3260903358459472,2.044238567352295,ok,
gas-drift,/home/crc00006699/zh/tabiclv2/data178/gas-drift,multiclass,11128,2226,2782,128,6,0.9971243709561468,0.9971237335259612,0.9970352583973456,0.9998695475494348,0.0163983169235872,11.618406057357788,24.197911739349365,ok,
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data178/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9315068493150684,0.9312292066229928,0.8928122643880372,0.9782608695652174,0.1543305128688553,0.2959282398223877,0.4158799648284912,ok,
hill-valley,/home/crc00006699/zh/tabiclv2/data178/hill-valley,binclass,969,194,243,100,2,0.9506172839506172,0.9505821301527516,0.9505148353881588,0.9899403874813713,0.237765051432639,0.3533530235290527,0.8115146160125732,ok,
htru,/home/crc00006699/zh/tabiclv2/data178/htru,binclass,14318,2864,3580,8,2,0.9793296089385476,0.9792437326594832,0.9337968379683796,0.9867159609096092,0.0647731321935934,0.5727641582489014,4.136723279953003,ok,
in_vehicle_coupon_recommendation,/home/crc00006699/zh/tabiclv2/data178/in_vehicle_coupon_recommendation,binclass,10147,2030,2537,21,2,0.7824201813165156,0.7805420429523477,0.7718991253902812,0.8568515316753115,0.4653574690521918,0.7359943389892578,4.285400629043579,ok,
internet_usage,/home/crc00006699/zh/tabiclv2/data178/internet_usage,multiclass,8086,1618,2022,70,46,0.549455984174085,0.4735622545627541,0.1946450628040719,0.9323181100117396,1.5399886139925552,0.0246422290802001,235.56314945220947,ok,
jungle_chess_2pcs_raw_endgame_complete,/home/crc00006699/zh/tabiclv2/data178/jungle_chess_2pcs_raw_endgame_complete,multiclass,35855,7171,8964,6,3,0.8685854529228023,0.867438123228335,0.8128251201414652,0.9811467147311403,0.2067335931305241,0.928281545639038,17.20770263671875,ok,
