dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data178/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9456820262435154,0.9314045664943559,0.5848277482828239,0.8324559623129266,0.1708974343669099,1.7914156913757324,11.050464391708374,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data178/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9878079756159512,0.9878217075426855,0.9876349209922681,0.9991231408552825,0.03462999498869476,0.998633861541748,16.47319531440735,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data178/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8119126238252476,0.8079276020393741,0.7750688185556619,0.8788900535096875,0.4113757972080173,1.4439573287963867,16.717267274856567,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data178/Basketball_c,binclass,1072,215,268,11,2,0.6977611940298507,0.6955119286993451,0.672867942357666,0.7376565083864871,0.5823918401494111,0.17480182647705078,0.3608870506286621,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data178/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7352142857142857,0.7348582943487371,0.7351934237366282,0.7998165774911274,0.5440365454553601,3.426781177520752,51.36328387260437,ok,
Credit_c,/home/crc00006699/zh/tabiclv2/data178/Credit_c,multiclass,80000,16000,20000,22,3,0.7922,0.7924476829569771,0.7937361810495921,0.9110317693336208,0.5108341109304095,7.068853378295898,181.68929481506348,ok,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data178/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7575757575757576,0.7575757575757576,0.7565492321589882,0.8477491719361637,0.4698566525573171,0.3096752166748047,0.4425191879272461,ok,
Employee,/home/crc00006699/zh/tabiclv2/data178/Employee,binclass,3722,745,931,8,2,0.8571428571428571,0.8508486626313712,0.8100475654664485,0.8782707651391163,0.3516725066668791,0.2787961959838867,0.7000348567962646,ok,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464357973887771,0.7462870551892117,0.8300362383413533,0.5080316375534586,0.16423559188842773,0.3708672523498535,ok,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7520435967302452,0.7518520463797156,0.7524802471336066,0.8346699934652172,0.5013720122444831,0.19426321983337402,0.3961966037750244,ok,
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7243582430119795,0.7244092575658353,0.724370256856345,0.8002164676100607,0.5421572678486586,1.0051774978637695,21.855712175369263,ok,
