,average_rank,n_common_success_datasets,nemenyi_cd_alpha_0_05
TabICLv2-1C-TTT,4.222222222222222,180,1.2420325879346115
TabPFNv3,4.775,180,1.2420325879346115
TabPFN-2.5,5.322222222222222,180,1.2420325879346115
TabPFNv3-1C-TTT,5.383333333333334,180,1.2420325879346115
TabPFN-2.5-1C-TTT,5.844444444444444,180,1.2420325879346115
TabICLv1.1-TTT,6.063888888888889,180,1.2420325879346115
TabPFNv2,6.413888888888889,180,1.2420325879346115
LimiX-TTT,6.491666666666666,180,1.2420325879346115
LimiX,6.575,180,1.2420325879346115
TabICLv1.1,6.652777777777778,180,1.2420325879346115
Orion-MSP,9.194444444444445,180,1.2420325879346115
TabR,11.061111111111112,180,1.2420325879346115
