,average_rank,n_common_success_datasets,nemenyi_cd_alpha_0_05
TabICLv2-1C-TTT,4.05,180,1.2420325879346115
TabPFNv3,4.586111111111111,180,1.2420325879346115
TabPFNv3-1C-TTT,5.266666666666667,180,1.2420325879346115
TabPFN-2.5,5.444444444444445,180,1.2420325879346115
TabICLv1.1-TTT,6.008333333333334,180,1.2420325879346115
TabPFN-2.5-1C-TTT,6.111111111111111,180,1.2420325879346115
TabPFNv2,6.466666666666667,180,1.2420325879346115
LimiX,6.563888888888889,180,1.2420325879346115
LimiX-TTT,6.644444444444445,180,1.2420325879346115
TabICLv1.1,6.716666666666667,180,1.2420325879346115
Orion-MSP,9.280555555555555,180,1.2420325879346115
TabR,10.86111111111111,180,1.2420325879346115
