dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data172/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4555984555984556,0.4331092425019514,0.3723218299822578,0.8453974755559368,1.5292404207244032,0.0202364921569824,21.13809299468994,ok,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data172/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9456820262435154,0.931404566494356,0.5848277482828239,0.8324559623129266,0.1708974343669099,1.7914156913757324,11.050464391708374,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data172/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7366049073610416,0.7360742909542572,0.7358373894032684,0.9037966037365848,0.5838582635937772,0.2900042533874511,1.284972906112671,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data172/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9878079756159512,0.9878217075426856,0.987634920992268,0.9991231408552824,0.0346299949886947,0.998633861541748,16.47319531440735,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data172/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5870705244122966,0.5860661468225109,0.5687578767788751,0.7639725295868729,0.8767342756550028,1.4667847156524658,30.049047231674194,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data172/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8119126238252476,0.8079276020393741,0.7750688185556619,0.8788900535096875,0.4113757972080173,1.4439573287963867,16.717267274856567,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data172/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.878,0.8673405338183178,0.7450624738760332,0.8837489261218074,0.3114398236319438,0.3905127048492431,1.9907433986663816,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data172/Basketball_c,binclass,1072,215,268,11,2,0.6977611940298507,0.6955119286993451,0.672867942357666,0.7376565083864871,0.5823918401494111,0.1748018264770507,0.3608870506286621,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data172/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9149709302325582,0.9149707555870809,0.9149703234317546,0.9755118137036848,0.2005510177056587,0.4862942695617676,5.108350992202759,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data172/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7352142857142857,0.7348582943487371,0.7351934237366282,0.7998165774911274,0.5440365454553601,3.426781177520752,51.36328387260437,ok,
