dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data172/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.2818532818532818,0.1888579306962659,0.1402680652680652,0.636302471711879,2.117999261497087,6.193668603897095,0.0042183399200439,ok,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data172/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9407995117485504,0.9216902009399176,0.5401348103361713,0.7965893625885294,0.1851849026708406,7.947644948959351,0.0050914287567138,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data172/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7366049073610416,0.7360444595344915,0.7362500388266273,0.8976411188037038,0.6130477097371786,5.756149053573608,0.0035572052001953,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data172/BNG(breast-w),binclass,31492,6299,7874,9,2,0.982981965963932,0.98301838709214,0.9833419632739744,0.9984842751046402,0.0505870150534232,6.649439334869385,0.0054860115051269,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data172/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5721518987341773,0.5707325162143662,0.5517592332349813,0.7526345108411633,0.8954023805733016,7.234392404556274,0.0123708248138427,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data172/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8042926085852171,0.8020831001712755,0.7740321186236389,0.8701072848489999,0.4269856735130573,6.6402668952941895,0.0030808448791503,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data172/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8635,0.8506136110012221,0.7185822185822186,0.8561458222475171,0.3510042510194355,5.938479661941528,0.0026440620422363,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data172/Basketball_c,binclass,1072,215,268,11,2,0.664179104477612,0.6554683352014631,0.6249704701157571,0.6792463973541223,0.616524281638188,5.877777814865112,0.0016870498657226,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data172/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.8994670542635659,0.8994556370108833,0.8994619838289991,0.961589354228016,0.2556454002039851,5.99477744102478,0.0018720626831054,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data172/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7309285714285715,0.730180828954959,0.7308985651913682,0.7972580256352737,0.5471869733304243,7.83480978012085,0.0028278827667236,ok,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data172/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8315394242803504,0.755056435003232,0.5,0.6253153925426689,0.4385459532569665,6.559984445571899,0.002894639968872,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.7895833333333333,0.7887622478114537,0.7920606229143493,0.8562291434927697,0.4831592510426549,6.725128412246704,0.0034794807434082,ok,
