dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_split_strategy,ttt_split_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data172/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4555984555984556,0.4431640519265218,0.3793135385113995,,2.9586847839465853,20.844688415527344,20.64776945114136,ok,,1035,828,0,259,,0,5e-06,False,0.0359597206115722,0,0,,,,,,0,False,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT skipped because n_classes=11 exceeds model max_classes=10
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data172/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9450717119316449,0.9267400078592948,0.5560232019057182,0.8386059628470404,0.1695603824732858,495.26664638519287,7.766769170761108,ok,,26215,20972,0,6554,0.3589613437652588,1120,5e-06,True,487.1777756214142,30,140,accuracy,0.9469769216097654,0.9469769216097654,0.9469769216097654,0.9469769216097654,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data172/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7341011517275914,0.7336077800714836,0.7331072747601187,0.9002534383738073,0.596774753330749,137.35574054718018,0.7132349014282227,ok,,7987,6389,0,1997,0.669295072555542,344,5e-06,True,136.4505832195282,30,43,accuracy,0.7509386733416771,0.7509386733416771,0.7509386733416771,0.7509386733416771,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data172/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9865379730759462,0.986562271237355,0.986930160373957,0.9990751848290288,0.0372844725085856,823.3092684745789,12.217064142227173,ok,,31492,25193,0,7874,0.0143116936087608,1848,5e-06,True,810.7669250965118,30,168,accuracy,0.98666454992856,0.9868233052865534,0.98666454992856,0.9868233052865534,3,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
BNG(cmc),/home/crc00006699/zh/tabiclv2/data172/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5817359855334538,0.5806656989961386,0.5622726766738401,0.756774965718213,0.8889802231544038,1125.836906671524,17.800904273986816,ok,,44236,35388,0,11060,0.9209043383598328,2360,5e-06,True,1107.6763813495636,30,236,accuracy,0.5718806509945751,0.5732368896925859,0.5718806509945751,0.5732368896925859,2,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data172/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.7907035814071628,0.7835095816542132,0.7432309351942973,0.8570809217391193,0.4444051784504044,592.3826093673706,7.500671148300171,ok,,31492,25193,0,7874,0.6119952201843262,1344,5e-06,True,584.6095588207245,30,168,accuracy,0.7867915542149547,0.7867915542149547,0.7867915542149547,0.7867915542149547,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data172/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.879,0.8691611411360093,0.7502633604328519,0.8838299007790533,0.3112296201323199,374.3940935134888,1.305775165557861,ok,,8000,6400,0,2000,0.5201948881149292,860,5e-06,True,372.8642370700836,30,43,accuracy,0.870625,0.87375,0.870625,0.87375,12,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Basketball_c,/home/crc00006699/zh/tabiclv2/data172/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7023113622054402,0.6788920387432081,0.7391330025986297,0.5796214527427636,22.906658172607425,0.2119817733764648,ok,,1072,857,0,268,0.6135947704315186,54,5e-06,True,22.50507926940918,30,6,accuracy,0.7488372093023256,0.7534883720930232,0.7488372093023256,0.7534883720930232,1,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data172/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9188468992248062,0.9188464277439976,0.9188458238607357,0.9774629439014856,0.1927471194198181,438.4135105609894,3.118010997772217,ok,,16512,13209,0,4128,0.1830989122390747,1056,5e-06,True,435.04760813713074,30,89,accuracy,0.9091734786557676,0.9106872540115049,0.9091734786557676,0.9106872540115049,4,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data172/Cardiovascular-Disease-dataset,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"RuntimeError: CUDA error: invalid configuration argument
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",0,0,0,0,,0,,False,0.0,0,0,,,,,,0,False,False,,,
