dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_best_accuracy
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data172/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.444015444015444,0.4291542940161871,0.3617351943956222,0.836192218388283,1.5567253148002254,0.0251815319061279,27.11620330810547,ok,,1035,0,0,259,,0,5e-06,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,0,False,False,,,,,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data172/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9458346048214832,0.9299470619094712,0.5737641139585314,0.8231091835535663,0.1736074450261855,258.6032073497772,5.277316331863403,ok,,26215,20972,0,6554,,330,5e-06,True,254.42387533187863,tabpfn_finetune_epoch_chunks,dataset_val_split,30,11,tabpfn_finetuning_api,,,0,False,False,,,,,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data172/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7636454682023035,0.7632216608650894,0.7631429603861637,0.9208418442978608,0.5291906994790369,122.49586415290833,0.976698637008667,ok,,7987,6389,0,1997,,120,5e-06,True,122.48743343353271,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,,,,,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data172/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9888239776479552,0.9888336893795856,0.9884971288920048,0.9991452963964728,0.0334395126818577,266.31517004966736,7.329121112823486,ok,,31492,25193,0,7874,,390,5e-06,True,266.3145425319672,tabpfn_finetune_epoch_chunks,dataset_val_split,30,13,tabpfn_finetuning_api,,,0,False,False,,,,,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data172/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5861663652802893,0.5845636758054341,0.5658865992692795,0.765359899306507,0.8743646123977346,815.7465064525604,12.87961769104004,ok,,44236,35388,0,11060,,540,5e-06,True,815.7461447715759,tabpfn_finetune_epoch_chunks,dataset_val_split,30,18,tabpfn_finetuning_api,,,0,False,False,,,,,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data172/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8182626365252731,0.8155721024824271,0.7867013376816938,0.8846222938313365,0.4022456901212295,331.78463673591614,7.371370077133179,ok,,31492,25193,0,7874,,390,5e-06,True,331.78428196907043,tabpfn_finetune_epoch_chunks,dataset_val_split,30,13,tabpfn_finetuning_api,,,0,False,False,,,,,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data172/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8725,0.8642327204787729,0.7507561490612338,0.8852766479885125,0.3107257585636824,168.31606721878052,1.1068646907806396,ok,,8000,6400,0,2000,,120,5e-06,True,168.31559205055237,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,,,,,
Basketball_c,/home/crc00006699/zh/tabiclv2/data172/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7037074294809892,0.6826718639262934,0.7361209544058588,0.5830183218674987,60.59039521217346,0.4337725639343261,ok,,1072,857,0,268,,30,5e-06,True,60.59000897407532,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data172/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9219961240310076,0.9219961240310076,0.921996105720647,0.9785903835477848,0.1880929211435458,214.09060502052307,2.7016632556915283,ok,,16512,13209,0,4128,,210,5e-06,True,214.09028315544128,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api,,,0,False,False,,,,,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data172/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7337857142857143,0.7335355255532457,0.7337682804141323,0.7986594750724816,0.5489858159657298,505.9958407878876,19.583786249160767,ok,,56000,44800,0,14000,,690,5e-06,True,505.99541687965393,tabpfn_finetune_epoch_chunks,dataset_val_split,30,23,tabpfn_finetuning_api,,,0,False,False,,,,,
