dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.947930913211676,0.948345383759733,0.9876251390433816,0.1338622986904306,1.610375165939331,2.3057820796966557,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666668,0.954178607613258,0.9545328142380424,0.9837145439377084,0.1448962480922197,0.8803999423980713,0.9498982429504396,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479254832002988,0.948762513904338,0.9848442714126808,0.1500641186723091,0.7545108795166016,0.9606847763061525,ok,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5039249939135967,0.555393589513852,0.9165382385253906,10.232334613800049,ok,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.6851229508196721,0.3495558292356846,0.7158756256103516,0.6823313236236572,ok,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9754464285714286,0.9753567954097232,0.9662104152868742,0.9983994407241152,0.0468596528036349,0.7073714733123779,1.4061570167541504,ok,
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6881818181818182,0.6813295496915462,0.7258175302374197,0.7324554704665203,0.5066155919693109,0.733651876449585,3.5436246395111084,ok,
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.7394957983193278,0.7392749852642901,0.7408978437610463,0.8376811594202899,0.4918677311004393,0.6592099666595459,0.5387542247772217,ok,
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,54045,10809,13512,42,3,0.7694641799881586,0.7207129696286709,0.5030731070315219,0.8518142630133564,0.5832221255887513,2.7019364833831787,173.63544249534607,ok,
eucalyptus,/home/crc00006699/zh/tabiclv2/data200/eucalyptus,multiclass,588,118,148,19,5,0.7094594594594594,0.7143093248046808,0.6955241141287652,0.9346116690124068,0.6921213960332985,0.8715431690216064,0.5200517177581787,ok,
jasmine,/home/crc00006699/zh/tabiclv2/data200/jasmine,binclass,2387,478,597,144,2,0.7872696817420436,0.7829219461497864,0.7875075755875289,0.8480224910776414,0.4260156754515274,1.0968472957611084,3.970797538757324,ok,
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data200/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,0.0001761151398635,0.7909650802612305,8.544837474822998,ok,
philippine,/home/crc00006699/zh/tabiclv2/data200/philippine,binclass,4665,933,1167,308,2,0.715509854327335,0.7137111359282519,0.7154420921544209,0.8065788082426748,0.5265850933173715,1.9586756229400637,17.46850299835205,ok,
shrutime,/home/crc00006699/zh/tabiclv2/data200/shrutime,binclass,8000,1600,2000,10,2,0.8635,0.8507540053597661,0.7108189864674733,0.86700503312783,0.3245227114176185,0.8015928268432617,3.1953582763671875,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619654353574,0.9568270300333704,0.9928566462736372,0.1066945820984944,1.5757098197937012,2.367589235305786,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479254832002988,0.948762513904338,0.9888591490545052,0.1347636136009719,0.8756213188171387,0.971325159072876,ok,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9369747899159664,0.936946663204456,0.9358992651779982,0.9800242562602556,0.1608994195236786,0.7136268615722656,0.4399104118347168,ok,
