dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619654353574,0.9568270300333704,0.9928566462736373,0.10669458209849449,1.5757098197937012,2.367589235305786,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479254832002987,0.9487625139043381,0.9888591490545051,0.13476361360097197,0.8756213188171387,0.971325159072876,ok,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9369747899159664,0.9369466632044559,0.9358992651779982,0.9800242562602555,0.16089941952367864,0.7136268615722656,0.4399104118347168,ok,
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data200/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9468181818181818,0.9468185444305529,0.9468247061244629,0.9886193738424117,0.13938945533646616,0.8159408569335938,4.010534286499023,ok,
KDD,/home/crc00006699/zh/tabiclv2/data200/KDD,binclass,4025,805,1007,45,2,0.7845084409136047,0.7839744562397702,0.785203377125498,0.8676095790428847,0.4425256250316754,0.8393721580505371,2.328963279724121,ok,
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200/Performance-Prediction,binclass,1072,215,268,19,2,0.7686567164179104,0.7621220056268778,0.7307991154145,0.807722192337577,0.523745651446046,0.664395809173584,0.5483803749084473,ok,
VulNoneVul,/home/crc00006699/zh/tabiclv2/data200/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854183,0.5,0.8421694764862466,0.0500531214476666,0.6861221790313721,1.7423458099365234,ok,
adult,/home/crc00006699/zh/tabiclv2/data200/adult,binclass,32561,6513,16281,14,2,0.8538787543762668,0.8485382635574522,0.7659667713608425,0.9066010127337141,0.31578958053883716,1.0723350048065186,31.239261150360107,ok,
credit-g,/home/crc00006699/zh/tabiclv2/data200/credit-g,binclass,800,160,200,20,2,0.775,0.7497066040755361,0.6630952380952381,0.8404761904761905,0.4464117014729886,0.7896072864532471,0.615635871887207,ok,
helena,/home/crc00006699/zh/tabiclv2/data200/helena,multiclass,52156,10432,13040,27,100,0.4052914110429448,0.37298948395809484,0.24759686489224667,0.899203658835677,2.4666440860244196,1.8224003314971924,110.76534605026245,ok,
kr-vs-kp,/home/crc00006699/zh/tabiclv2/data200/kr-vs-kp,binclass,2556,512,640,36,2,0.9953125,0.9953128095413957,0.9953720010958476,0.9996281945912098,0.02102329583104722,0.8469867706298828,1.5040018558502197,ok,
ozone_level,/home/crc00006699/zh/tabiclv2/data200/ozone_level,binclass,2028,406,508,36,2,0.9803149606299213,0.9725192154161645,0.49899799599198397,0.8425740369628147,0.08202623548985868,0.8014485836029053,1.136620283126831,ok,
shill-bidding,/home/crc00006699/zh/tabiclv2/data200/shill-bidding,binclass,5056,1012,1265,3,2,0.9075098814229249,0.8808282462141996,0.5835907619888202,0.9022439755008158,0.21175556110333252,0.7143769264221191,0.6683943271636963,ok,
svmguide3,/home/crc00006699/zh/tabiclv2/data200/svmguide3,binclass,994,199,249,22,2,0.8433734939759037,0.8297505433922069,0.7134046052631579,0.8679641812865497,0.3649322494470295,0.7263622283935547,0.5288317203521729,ok,
