dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708394101442229,0.9716351501668521,0.9904755283648498,0.10686528369099474,1.0051863193511963,1.7722644805908203,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479291011032736,0.9486234705228032,0.9879032258064516,0.13651423355436493,0.2352735996246338,0.659959077835083,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666667,0.9541722367865184,0.9550889877641824,0.9895369855394884,0.12808298145454952,0.20562958717346191,0.6621360778808594,ok,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5012162989955471,0.5552135001793881,0.8189196586608887,7.399845361709595,ok,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7222950819672131,0.3306282355202132,0.19711828231811523,0.36556243896484375,ok,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,1.0,1.0,1.0,1.0,0.0030723175322081094,0.23700404167175293,0.9753336906433105,ok,
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6854545454545454,0.6765340827019289,0.7261631007487361,0.7344482604151112,0.5002085070582064,0.380812406539917,2.135031223297119,ok,
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.7605042016806722,0.7602292546330246,0.7620714033227289,0.8550371155885472,0.4664664670757988,0.16465020179748535,0.35407471656799316,ok,
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,54045,10809,13512,42,3,0.8405861456483126,0.8211283684603871,0.648412443268077,0.9271488561569875,0.4034768557863708,9.147974967956543,148.33177542686462,ok,
eucalyptus,/home/crc00006699/zh/tabiclv2/data200/eucalyptus,multiclass,588,118,148,19,5,0.6959459459459459,0.6985900465957786,0.6952062149736569,0.9428897858385341,0.5994037741865719,0.18647360801696777,0.34447288513183594,ok,
jasmine,/home/crc00006699/zh/tabiclv2/data200/jasmine,binclass,2387,478,597,144,2,0.8224455611390284,0.820146919335634,0.8226358555363515,0.8854515050167224,0.37985293632171874,1.113330602645874,3.0132815837860107,ok,
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data200/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,1.2265450403569009e-06,0.6089828014373779,6.062742233276367,ok,
philippine,/home/crc00006699/zh/tabiclv2/data200/philippine,binclass,4665,933,1167,308,2,0.8817480719794345,0.8816916069930592,0.8817670762940859,0.9556086844145772,0.27899346390720603,2.2392971515655518,14.557742834091187,ok,
shrutime,/home/crc00006699/zh/tabiclv2/data200/shrutime,binclass,8000,1600,2000,10,2,0.8705,0.8586224328593997,0.7229893070016117,0.882418587398634,0.3078916120212785,0.3767220973968506,1.973710298538208,ok,
