dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.7895833333333333,0.7887622478114537,0.7920606229143493,0.8562291434927697,0.48315925104265495,6.725128412246704,0.003479480743408203,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.7979166666666667,0.797233854730626,0.8002641824249166,0.8633029755283649,0.4745658545120252,5.504568099975586,0.0024309158325195312,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.7958333333333333,0.7941650953278859,0.7992213570634038,0.8607219827586207,0.48059598198048653,5.615705490112305,0.002130746841430664,ok,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5029436840803249,0.5539205701699915,5.995053052902222,0.004312038421630859,ok,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.4983606557377049,0.36459520305688176,5.228105068206787,0.001081228256225586,ok,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9151785714285714,0.9142069500611304,0.8848946451786985,0.9737655456619324,0.22795989604294783,5.648252248764038,0.0017807483673095703,ok,
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6681818181818182,0.6673792914915444,0.692190533074511,0.730924294460206,0.5316548118017417,5.599517345428467,0.0012726783752441406,ok,
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.6386554621848739,0.6366838402027478,0.6413573700954401,0.7070342877341816,0.6335303129926227,5.443346738815308,0.0013005733489990234,ok,
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,54045,10809,13512,42,3,0.8460627590290113,0.8350886932415696,0.6777045271069347,0.9305620012352097,0.3887530149595488,7.9076313972473145,0.005975246429443359,ok,
eucalyptus,/home/crc00006699/zh/tabiclv2/data200/eucalyptus,multiclass,588,118,148,19,5,0.4864864864864865,0.3938875751852851,0.388105305547166,0.7250608215015799,1.4107822009127495,5.237744331359863,0.0021321773529052734,ok,
jasmine,/home/crc00006699/zh/tabiclv2/data200/jasmine,binclass,2387,478,597,144,2,0.7738693467336684,0.7731118711391288,0.7739669143229109,0.8415299319880586,0.44744205034541934,5.8230226039886475,0.0024993419647216797,ok,
law-school-admission-bianry,/home/crc00006699/zh/tabiclv2/data200/law-school-admission-bianry,binclass,16640,3328,4160,11,2,1.0,1.0,1.0,1.0,0.0050264077233310965,5.818743944168091,0.0027768611907958984,ok,
philippine,/home/crc00006699/zh/tabiclv2/data200/philippine,binclass,4665,933,1167,308,2,0.7189374464438731,0.7174560557577764,0.7188755609859254,0.7979128973895063,0.5498260645651899,5.895902633666992,0.0021505355834960938,ok,
shrutime,/home/crc00006699/zh/tabiclv2/data200/shrutime,binclass,8000,1600,2000,10,2,0.859,0.8442693414019394,0.6972640761300555,0.8480452661737997,0.35432856501220344,5.246788024902344,0.0024733543395996094,ok,
