dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_split_strategy,ttt_split_reason
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.9604261207781286,0.9607202447163515,0.9896412680756396,0.12241694583547692,57.817312479019165,0.6389224529266357,ok,,1920,1536,0,480,0.4863942265510559,121,5e-06,True,56.89695620536804,30,11,accuracy,0.9557291666666666,0.9609375,0.9557291666666666,0.9609375,3,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479200608232866,0.9479282536151279,0.9863563681868743,0.13973970664070423,40.99132442474365,0.6339292526245117,ok,,1920,1536,0,480,0.8317574858665466,88,5e-06,True,40.0505473613739,30,11,accuracy,0.9557291666666666,0.9557291666666666,0.9557291666666666,0.9557291666666666,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95,0.9500104173900965,0.9507786429365962,0.9874687152391546,0.13561421678320715,40.65980911254883,0.6349427700042725,ok,,1920,1536,0,480,0.9329996109008789,88,5e-06,True,39.71438026428223,30,11,accuracy,0.9296875,0.9296875,0.9296875,0.9296875,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5041246426692216,0.5554071482076273,357.2671465873718,4.146127939224243,ok,,18838,15070,0,4710,0.6046447157859802,808,5e-06,True,352.85402059555054,30,101,accuracy,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7389344262295082,0.32540489290505903,28.592512845993042,0.2614607810974121,ok,,1378,1102,0,345,0.5020240545272827,64,5e-06,True,28.137916088104248,30,8,accuracy,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9977678571428571,0.9977704927524832,0.9984423676012462,0.9999509407118503,0.008489884769430927,103.69392704963684,0.8583981990814209,ok,,3581,2864,0,896,0.3331491947174072,240,5e-06,True,102.57663083076477,30,20,accuracy,0.9944211994421199,0.99860529986053,0.9944211994421199,0.99860529986053,4,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6895454545454546,0.6783698012511294,0.7337976492672625,0.7337178694084772,0.4988690446909186,159.49402451515198,1.3689234256744385,ok,,8799,7039,0,2200,0.36512064933776855,376,5e-06,True,157.90721559524536,30,47,accuracy,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.6727272727272727,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.7478991596638656,0.747952570858852,0.7484623541887593,0.8157652880876635,0.5188688328988171,39.76681613922119,0.27108097076416016,ok,,950,760,0,238,0.7158232927322388,90,5e-06,True,39.28496289253235,30,6,accuracy,0.7631578947368421,0.7789473684210526,0.7631578947368421,0.7789473684210526,7,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.55 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.10 GiB is free. Process 74670 has 22.46 GiB memory in use. Of the allocated memory 17.21 GiB is allocated by PyTorch, and 4.90 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,0,0,,0,,False,0.0,0,0,,,,,,0,False,False,,,
eucalyptus,/home/crc00006699/zh/tabiclv2/data200/eucalyptus,multiclass,588,118,148,19,5,0.7432432432432432,0.7486934292661848,0.7378762064808576,0.9427195882916195,0.6020541751255777,16.796528100967407,0.19692206382751465,ok,,588,470,0,148,1.693547248840332,35,5e-06,True,16.15264129638672,30,4,accuracy,0.6949152542372882,0.7033898305084746,0.6949152542372882,0.7033898305084746,1,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
jasmine,/home/crc00006699/zh/tabiclv2/data200/jasmine,binclass,2387,478,597,144,2,0.8241206030150754,0.8220438749594621,0.8243024847927094,0.8822136427914077,0.3829072665836932,101.02976536750793,2.6960268020629883,ok,,2387,1909,0,597,0.45421141386032104,104,5e-06,True,97.80932474136353,30,13,accuracy,0.8535564853556485,0.8535564853556485,0.8535564853556485,0.8535564853556485,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
