dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.975,0.9750052086950484,0.9758064516129032,0.9914314516129032,0.0998227916509003,6.393718719482422,0.6970057487487793,ok,,1920,1536,0,480,0.1507661938667297,10,1e-05,True,6.317091941833496,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9661458333333334,0.9635416666666666,0.9661458333333334,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583449106233212,0.9588431590656286,0.9896934093437152,0.1350823418080023,5.56112551689148,0.7027759552001953,ok,,1920,1536,0,480,0.1390792801976204,12,1e-05,True,5.491129159927368,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9609375,0.9635416666666666,0.9609375,0.9635416666666666,4,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619654353574,0.9568270300333704,0.990301724137931,0.1185630784023313,3.935383558273315,0.6931333541870117,ok,,1920,1536,0,480,0.0925443209707737,8,1e-05,True,3.8662848472595215,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9401041666666666,0.9401041666666666,0.9401041666666666,0.9401041666666666,0,True,False,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5041266060251466,0.555512055028185,15.302627086639404,8.213060140609741,ok,,18838,15070,0,4710,0.5377886891365051,16,1e-05,True,15.107384204864502,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0,True,False,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7300819672131148,0.3268082082004815,2.691502809524536,0.358067512512207,ok,,1378,1102,0,345,0.3144294768571853,8,1e-05,True,2.6509900093078613,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9094202898550724,0.9094202898550724,0.9094202898550724,0.9094202898550724,0,True,False,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9888392857142856,0.9888654436383928,0.9886427747933376,0.9995523339956336,0.024888783199205,5.3734283447265625,1.0811336040496826,ok,,3581,2864,0,896,0.0118856667540967,10,1e-05,True,5.304804563522339,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.98884239888424,0.99023709902371,0.98884239888424,0.99023709902371,2,True,False,
Shipping,/home/crc00006699/zh/tabiclv2/data200/Shipping,binclass,8799,1760,2200,9,2,0.6840909090909091,0.6758452158832639,0.7236737131764757,0.7397679131380789,0.4992658855856118,11.511215925216677,2.6046736240386963,ok,,8799,7039,0,2200,0.505371630191803,14,1e-05,True,11.42841362953186,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6727272727272727,0.6738636363636363,0.6727272727272727,0.6738636363636363,6,True,False,
Waterstress,/home/crc00006699/zh/tabiclv2/data200/Waterstress,binclass,950,190,238,22,2,0.7815126050420168,0.7814354555381475,0.7826793920113114,0.8451042771297279,0.4878654480925677,3.436051845550537,0.5849900245666504,ok,,950,760,0,238,0.4890841245651245,10,1e-05,True,3.3942983150482178,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7578947368421053,0.7631578947368421,0.7578947368421053,0.7631578947368421,2,True,False,
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,54045,10809,13512,42,3,0.8504292480757845,0.8301186215663382,0.6545994611613905,0.9353965686464786,0.3735466858979396,322.059894323349,144.2783703804016,ok,,54045,43236,0,13512,0.4975986778736114,150,1e-05,True,320.032526254654,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.8303265797021001,0.8628920344157647,0.8303265797021001,0.8628920344157647,30,False,False,
eucalyptus,/home/crc00006699/zh/tabiclv2/data200/eucalyptus,multiclass,588,118,148,19,5,0.7162162162162162,0.7200797122842804,0.6982824668871179,0.9406461982187582,0.5994283853244119,3.252284288406372,0.3768959045410156,ok,,588,470,0,148,0.5513888597488403,10,1e-05,True,3.2133867740631104,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7033898305084746,0.7203389830508474,0.7033898305084746,0.7203389830508474,2,True,False,
