dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9791666666666666,0.9791692006510168,0.9792825361512791,0.9972712736373749,0.06373266248994788,16.966035842895508,0.4594137668609619,ok,,1920,1536,0,480,,30,1e-05,True,12.343504428863525,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.9974910003272609,0.9980364350387259,,,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.968752036493972,0.9687847608453838,0.994368743047831,0.0954231716214418,10.75685167312622,0.447253942489624,ok,,1920,1536,0,480,,30,1e-05,True,10.756549596786499,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.9971364677648087,0.9983909676011782,,,3,True,False,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9285714285714286,0.9286007051845062,0.9282656773917386,0.9686808874937576,0.22534132057198372,7.594396114349365,0.4438192844390869,ok,,952,761,0,238,,30,1e-05,True,7.5940351486206055,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.9667325428194994,0.9667325428194994,,,0,True,False,
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data200/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.945,0.9450003750093753,0.9450064506744488,0.9902657215044246,0.13321327778231612,22.37702441215515,1.433213233947754,ok,,8800,7040,0,2200,,120,1e-05,True,22.376716375350952,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,roc_auc,0.99252615265401,0.9925855611520084,,,1,True,False,
KDD,/home/crc00006699/zh/tabiclv2/data200/KDD,binclass,4025,805,1007,45,2,0.8013902681231381,0.8007032533273376,0.8022034165778988,0.9030417800923186,0.37225488701079085,12.847999334335327,1.1881794929504395,ok,,4025,3220,0,1007,,60,1e-05,True,12.8476722240448,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,roc_auc,0.9250089635646551,0.9250089635646551,,,0,True,False,
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200/Performance-Prediction,binclass,1072,215,268,19,2,0.7425373134328358,0.7366111238221777,0.7059052059052059,0.7976211822365669,0.5294127165825593,10.849157333374023,0.42612242698669434,ok,,1072,857,0,268,,30,1e-05,True,10.848836183547974,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.691652629608834,0.7239378626239941,,,4,True,False,
VulNoneVul,/home/crc00006699/zh/tabiclv2/data200/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854183,0.5,0.8134427684117125,0.054252580626254626,8.977765321731567,0.7445876598358154,ok,,4553,3642,0,1139,,60,1e-05,True,8.977425336837769,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,roc_auc,0.8753607103218646,0.8753607103218646,,,0,True,False,
adult,/home/crc00006699/zh/tabiclv2/data200/adult,binclass,32561,6513,16281,14,2,0.8731650390025183,0.8695032324466679,0.7986169579473167,0.9273712540781487,0.27858536338312107,181.24165654182434,9.956921100616455,ok,,32561,26048,0,16281,,420,1e-05,True,181.24128079414368,tabpfn_finetune_epoch_chunks,dataset_val_split,30,14,tabpfn_finetuning_api,roc_auc,0.915169156641423,0.9260101550731515,,,8,True,False,
credit-g,/home/crc00006699/zh/tabiclv2/data200/credit-g,binclass,800,160,200,20,2,0.79,0.774077578051088,0.6976190476190476,0.8546428571428571,0.43598267641392774,11.76029920578003,0.45020484924316406,ok,,800,640,0,200,,30,1e-05,True,11.759938955307007,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,roc_auc,0.8011532738095238,0.8050595238095238,,,4,True,False,
helena,/home/crc00006699/zh/tabiclv2/data200/helena,multiclass,52156,10432,13040,27,100,0.42914110429447855,0.399866727987533,0.2845366453650302,0.907223549189435,2.3557913932771695,0.0444035530090332,844.1829073429108,ok,,52156,0,0,13040,,0,1e-05,False,0.0,,TTT skipped because n_classes > 10 requires ManyClass baseline inference,0,0,,,,,,,0,False,False,
