dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.503941898782927,2.460662603378296,5.521832942962647,ok,,1035,828,0,259,,0,0.0001,False,1.2863333225250244,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9449191333536772,0.9318332970251072,0.5918526273060366,0.8367211818871311,0.1674493206497976,36.40782260894776,13.18310046195984,ok,,26215,20972,0,6554,0.2141092866659164,27,0.0001,True,36.12757015228272,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.949074957085638,0.950028609574671,0.949074957085638,0.950028609574671,1,True,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7541311967951928,0.7538622579336066,0.7535928684836005,0.9109377703269668,0.5634032943731115,13.804668188095093,1.7540767192840576,ok,,7987,6389,0,1997,0.5366256535053253,15,0.0001,True,13.759039402008057,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7509386733416771,0.7753441802252816,0.7509386733416771,0.7753441802252816,7,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9888239776479552,0.9888327269037872,0.9884093643610968,0.9991451534574972,0.0335631680375968,41.30079221725464,21.00058960914612,ok,,31492,25193,0,7874,0.0506284087896347,30,0.0001,True,40.88548278808594,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.98666454992856,0.9872995713605334,0.98666454992856,0.9872995713605334,2,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5867992766726944,0.5865389395180483,0.5709945396444035,0.7633735270515758,0.8773945811549388,82.5535728931427,37.22510576248169,ok,,44236,35388,0,11060,0.8860960900783539,56,0.0001,True,82.01255011558533,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5762884267631103,0.577870705244123,0.5762884267631103,0.577870705244123,6,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8187706375412751,0.8165686532089819,0.7893183537808623,0.8850362691955141,0.4021082888995209,86.10627889633179,20.998087406158447,ok,,31492,25193,0,7874,0.3982077240943908,60,0.0001,True,85.64057564735413,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8123511668518812,0.8096523257659946,0.8123511668518812,12,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8775,0.8676304468520064,0.7484071128138925,0.885026783331868,0.3113112596897743,30.39235019683838,2.9291133880615234,ok,,8000,6400,0,2000,0.330438882112503,22,0.0001,True,30.228244304656982,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.861875,0.87125,0.861875,0.87125,14,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7071286922033191,0.6856839121190645,0.7458953460902433,0.5727499646808228,6.205276250839233,0.6618883609771729,ok,,1072,857,0,268,0.8801303505897522,10,0.0001,True,6.144456148147583,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7674418604651163,0.7581395348837209,0.7674418604651163,2,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9229651162790696,0.9229634887799982,0.9229629855672232,0.9803148756072344,0.1796476989503758,28.71451091766357,7.367482423782349,ok,,16512,13209,0,4128,0.2203746438026428,24,0.0001,True,28.555185556411743,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9182561307901907,0.92188919164396,0.9182561307901907,0.92188919164396,4,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7332142857142857,0.7328776597071787,0.7331940761450044,0.801290761645963,0.5428246639882572,76.06244945526123,57.38165831565857,ok,,56000,44800,0,14000,0.5408353805541992,45,0.0001,True,75.31305623054504,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7323214285714286,0.7326785714285714,0.7323214285714286,0.7326785714285714,1,True,False,
