dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.5039419252701582,1.3631980419158936,3.984354496002197,ok,,1035,828,0,259,,0,1e-05,False,0.7731938362121582,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9441562404638388,0.9294777284745342,0.5778265839146273,0.8343142512257914,0.1663157519817883,23.490763902664185,12.845505237579346,ok,,26215,20972,0,6554,0.2295246720314026,24,1e-05,True,23.26270437240601,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,log_loss,-0.1542128169677913,-0.1542128169677913,0.949074957085638,0.949074957085638,0,True,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7721582373560341,0.7718663804985515,0.7717309659673708,0.9231518822799004,0.5248335127112291,20.026370763778687,1.3939945697784424,ok,,7987,6389,0,1997,0.5522798001766205,30,1e-05,True,19.992345571517944,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,log_loss,-0.5941042876046917,-0.543911839644906,0.7509386733416771,0.7784730913642053,24,False,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.988203791954268,0.9881886308483034,0.9991707395340976,0.03264042699739,60.11671185493469,20.483015298843384,ok,,31492,25193,0,7874,0.0256700543686747,57,1e-05,True,59.862250328063965,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,log_loss,-0.0392525626919802,-0.0379887246349779,0.98666454992856,0.9868233052865534,11,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5876130198915009,0.5863093891419099,0.5690747176525748,0.7651696353001447,0.8739884140062523,52.951358795166016,36.90247678756714,ok,,44236,35388,0,11060,0.9030056595802308,44,1e-05,True,52.55188488960266,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,log_loss,-0.8853186807281571,-0.8840300929005124,0.5762884267631103,0.5769665461121157,3,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8150876301752603,0.8124850325769151,0.7837557533252012,0.8846420442247964,0.402321037794122,80.77205848693848,20.529200077056885,ok,,31492,25193,0,7874,0.4312803745269775,75,1e-05,True,80.44140958786011,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,log_loss,-0.4166065411120053,-0.412160515503129,0.8096523257659946,0.8107636132719479,17,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.8648358896033153,0.7440938627379305,0.8832468832468832,0.312015037762682,10.37760066986084,2.816244602203369,ok,,8000,6400,0,2000,0.3342449516057968,12,1e-05,True,10.287584781646729,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,log_loss,-0.3197603986177302,-0.3175559417431259,0.861875,0.86875,4,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.6996191714905836,0.6777699031419797,0.7436806047720291,0.578142398832161,3.0211541652679443,0.4161505699157715,ok,,1072,857,0,268,0.5338771641254425,8,1e-05,True,2.9884884357452397,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,log_loss,-0.5145395832030911,-0.5145395832030911,0.7581395348837209,0.7581395348837209,0,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9263565891472868,0.9263563817049548,0.9263558676508388,0.9801701605245892,0.1809076702730326,28.389386653900143,7.2019758224487305,ok,,16512,13209,0,4128,0.2550896108150482,34,1e-05,True,28.247098684310917,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,log_loss,-0.1967958029496163,-0.19061035487292,0.9182561307901907,0.9227974568574024,9,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.733,0.7326857850268226,0.7329804842385255,0.801098200358596,0.5423138867765693,64.23546004295349,56.839181423187256,ok,,56000,44800,0,14000,0.5437237322330475,45,1e-05,True,63.733561992645264,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,log_loss,-0.5435764404627519,-0.5430643620888911,0.7323214285714286,0.7338392857142857,1,True,False,
