dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.49034749034749037,0.4709621259507563,0.40159974903290413,0.8512095632231967,1.5039419252701582,1.1087186336517334,7.274966716766357,ok,
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9441562404638388,0.9294777284745342,0.5778265839146273,0.8343142512257914,0.1663157519817883,0.7764403820037842,12.812223196029663,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7336004006009014,0.7330988191192322,0.7326163567434275,0.9027895681284225,0.5860072345642322,0.6935830116271973,1.5632257461547852,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239523,0.9880774596607574,0.9880918254272,0.9990907651773497,0.0343236415690793,0.7678811550140381,20.156115770339966,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5874321880650994,0.5861486167429909,0.5695522496274562,0.7647013047461507,0.8750451390694162,1.0781090259552002,36.04328918457031,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8148336296672594,0.8127924569695848,0.7858749171640029,0.8827866104146994,0.4067285411439342,1.1173646450042725,20.61250925064087,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.8648358896033153,0.7440938627379305,0.8819736531600938,0.313754796589385,0.7843000888824463,3.015510320663452,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.6996191714905836,0.6777699031419797,0.7436806047720291,0.578142398832161,0.5134201049804688,0.4911987781524658,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9217538759689923,0.9217535866844322,0.9217549139162389,0.979632613826687,0.18357207786756083,0.6868801116943359,7.351747512817383,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7322142857142857,0.7317897470574969,0.7321916268380823,0.800756373716367,0.5431197788010976,1.1400878429412842,55.97494149208069,ok,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data200/Click_prediction_small,binclass,31958,6392,7990,3,2,0.7178973717146433,0.7328824852598665,0.5617061232559201,0.6068707714699518,0.48529554167815603,0.6108896732330322,7.395643949508667,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9770833333333333,0.97708960094233,0.9776835372636263,0.9959156006674083,0.0669761434036654,0.6258542537689209,1.1229429244995117,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9833333333333333,0.9833353605208134,0.9834538375973303,0.9974798387096775,0.05343879950781434,0.573716402053833,0.9858241081237793,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9625,0.9625097671511172,0.9631535038932146,0.9923873748609566,0.10971898676079954,0.6777961254119873,1.0068035125732422,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708409321175279,0.9712180200222469,0.9954115684093437,0.08683862072752238,0.5420925617218018,0.993725061416626,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666667,0.9666753509914604,0.9670467185761957,0.9932216351501668,0.10028363013141509,0.5424950122833252,1.0186831951141357,ok,
Credit_c,/home/crc00006699/zh/tabiclv2/data200/Credit_c,multiclass,80000,16000,20000,22,3,0.81865,0.8186470082745152,0.8265399238222978,0.9311157153828115,0.42450290280152586,2.1103358268737793,115.23913931846619,ok,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data200/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8819285508425728,0.7204332667371802,0.9132487170446978,0.24365334366666874,0.5532064437866211,0.9799709320068359,ok,
