dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.5039419252701582,2.503844976425171,6.906179428100586,ok,,1035,828,0,259,,0,1e-05,False,1.640498161315918,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,random,none,tabicl_encoded_l2,,,,True
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9452242905096124,0.9314083587933876,0.5870614124106694,0.8356991016205014,0.1662902302870781,46.92553853988648,13.426563024520874,ok,,26215,20972,0,6554,0.1987721696496009,30,1e-05,True,46.6575562953949,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.949074957085638,0.9496471485790576,0.949074957085638,0.9496471485790576,2,True,False,,random,none,tabicl_encoded_l2,,,,True
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7606409614421632,0.7603114897154727,0.7599932775802495,0.9150206476518375,0.5531915232621494,37.90387487411499,2.8483667373657227,ok,,7987,6389,0,1997,0.5694987773895264,28,1e-05,True,37.85896158218384,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7509386733416771,0.7884856070087609,0.7509386733416771,0.7884856070087609,20,True,False,,random,none,tabicl_encoded_l2,,,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.9881997477294914,0.9878375727246708,0.999123748345928,0.033712882043672,74.81806564331055,35.51261043548584,ok,,31492,25193,0,7874,0.034272750839591,39,1e-05,True,74.41608262062073,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.98666454992856,0.9874583267185268,0.98666454992856,0.9874583267185268,5,True,False,,random,none,tabicl_encoded_l2,,,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5888788426763111,0.5875566557841353,0.5702532158123012,0.7658900393063596,0.8734631393554404,150.30054545402527,63.000643253326416,ok,,44236,35388,0,11060,0.8685050010681152,76,1e-05,True,149.80343508720398,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5762884267631103,0.578887884267631,0.5762884267631103,0.578887884267631,11,True,False,,random,none,tabicl_encoded_l2,,,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8149606299212598,0.8123665696940964,0.7836584959822718,0.8846684848416264,0.4023078276056918,149.52103400230408,32.22099256515503,ok,,31492,25193,0,7874,0.4227778613567352,78,1e-05,True,148.7058973312378,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8110811239879346,0.8096523257659946,0.8110811239879346,18,True,False,,random,none,tabicl_encoded_l2,,,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8642013812308549,0.7428653615094293,0.8835823496840446,0.311672893057053,21.07196521759033,4.779286623001099,ok,,8000,6400,0,2000,0.3139209449291229,12,1e-05,True,20.956639051437374,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.861875,0.868125,0.861875,0.868125,4,True,False,,random,none,tabicl_encoded_l2,,,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7071286922033191,0.6856839121190645,0.7438577840774864,0.5770337650764711,10.843469619750977,1.3594059944152832,ok,,1072,857,0,268,0.5480332374572754,11,1e-05,True,10.796122550964355,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7627906976744186,0.7581395348837209,0.7627906976744186,3,True,False,,random,none,tabicl_encoded_l2,,,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9251453488372092,0.9251451950894812,0.9251447444247136,0.9802613556739932,0.1805656571374119,44.29561448097229,9.515101909637451,ok,,16512,13209,0,4128,0.237394094467163,30,1e-05,True,44.09607625007629,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9182561307901907,0.9227974568574024,0.9182561307901907,0.9227974568574024,7,True,False,,random,none,tabicl_encoded_l2,,,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7340714285714286,0.7337054763795483,0.734050321322554,0.8009140778494948,0.5426513205942364,189.961900472641,92.6239242553711,ok,,56000,44800,0,14000,0.584277480840683,85,1e-05,True,189.10379934310916,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7323214285714286,0.7352678571428571,0.7323214285714286,0.7352678571428571,9,True,False,,random,none,tabicl_encoded_l2,,,,True
