dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_l2_sp_lambda,ttt_l2_sp_loss,ttt_ce_loss,ttt_total_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/decrease_dataset/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8141986283972568,0.81167650393623,0.783160643721905,0.8844822617623913,0.4026781613497016,132.09463810920715,36.23438262939453,ok,,31492,25193,0,7874,0.4245608896017074,0.0001,0.1164561584591865,0.4245492368936538,0.4245608896017074,57,1e-05,True,131.4464716911316,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8115573900619146,0.8096523257659946,0.8115573900619146,11,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/decrease_dataset/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687585479270056,0.9692018909899888,0.9949422969966628,0.0922383126619527,31.601288318634037,1.8791484832763672,ok,,1920,1536,0,480,0.1185286119580268,0.0001,0.0582557655870914,0.118522785604,0.1185286119580268,22,1e-05,True,31.500037670135494,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9609375,0.9765625,0.9609375,0.9765625,14,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/decrease_dataset/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666668,0.9604261207781286,0.9607202447163516,0.9934649610678532,0.1022543430612749,26.390148639678955,2.10232162475586,ok,,1920,1536,0,480,0.1220332272350788,0.0001,0.0426655076444149,0.1220289580523967,0.1220332272350788,16,1e-05,True,26.223926305770878,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.953125,0.9583333333333334,0.953125,0.9583333333333334,8,True,False,
Employee,/home/crc00006699/zh/tabiclv2/decrease_dataset/Employee,binclass,3722,745,931,8,2,0.8603651987110634,0.8539249123234809,0.8125025572831424,0.8791837152209492,0.3524646772265335,20.0134859085083,2.3217849731445312,ok,,3722,2977,0,931,0.3711906373500824,0.0001,0.0287725403904914,0.3711877465248108,0.3711906373500824,16,1e-05,True,19.941734075546265,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8523489932885906,0.8577181208053691,0.8523489932885906,0.8577181208053691,8,True,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/decrease_dataset/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7146605818596692,0.7146273862041327,0.7143112635810474,0.7901794829063824,0.5516434824061467,119.5442533493042,42.9862380027771,ok,,35060,28048,0,8765,0.5481855571269989,0.0001,0.101316712796688,0.5481754243373871,0.5481855571269989,45,1e-05,True,119.19158506393433,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7154877353108956,0.7162007986309185,0.7154877353108956,0.7162007986309185,7,True,False,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/decrease_dataset/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.792733543259859,0.7423891897576108,0.8229927966770072,0.4557647879388685,20.437732458114624,0.9237179756164552,ok,,1200,960,0,300,0.4594343155622482,0.0001,0.0558343902230262,0.4594287425279617,0.4594343155622482,19,1e-05,True,20.394533157348636,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7666666666666667,0.7791666666666667,0.7666666666666667,0.7791666666666667,11,True,False,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/decrease_dataset/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6042105263157894,0.5566516115287967,0.4152391353187701,0.7068082137598563,0.7904754454202013,36.68897795677185,2.3517556190490723,ok,,3796,3036,0,950,0.8199494183063507,0.0001,0.0437320172786712,0.8199450671672821,0.8199494183063507,26,1e-05,True,36.59540104866028,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6092105263157894,0.6171052631578947,0.6092105263157894,0.6171052631578947,18,True,False,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/decrease_dataset/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8006263048016702,0.8031676555601823,0.7472523552930173,0.8109752923984591,0.4296105550716068,37.73828148841858,16.34567880630493,ok,,15326,12260,0,3832,,0.0001,,,,0,1e-05,False,35.73539161682129,full_train_epoch_chunks,"full train set chunked per epoch | validation=dataset_val_split | TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 5.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.61 GiB memory in use. Process 1755 has 7.85 GiB memory in use. Of the allocated memory 7.29 GiB is allocated by PyTorch, and 246.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 5.38 MiB is free. Process 73754 has 3.10 GiB memory in use. Process 96281 has 12.61 GiB memory in use. Process 1755 has 7.85 GiB memory in use. Of the allocated memory 7.29 GiB is allocated by PyTorch, and 246.99 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
PhishingWebsites,/home/crc00006699/zh/tabiclv2/decrease_dataset/PhishingWebsites,binclass,8844,1769,2211,30,2,0.9796472184531886,0.9796279672375264,0.978497239675724,0.9987425189409638,0.0455937756400752,41.451743364334106,7.281882047653198,ok,,8844,7075,0,2211,0.054473016411066,0.0001,0.0467366129159927,0.0544683411717414,0.054473016411066,14,1e-05,True,41.0062038898468,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9762577727529678,0.9785189372526852,0.9762577727529678,0.9785189372526852,6,True,False,
Water_Quality_and_Potability,/home/crc00006699/zh/tabiclv2/decrease_dataset/Water_Quality_and_Potability,binclass,2620,524,656,8,2,0.6509146341463414,0.5916049162774212,0.57171875,0.6672558593750001,0.6240448552917943,19.162006855010983,1.847240686416626,ok,,2620,2096,0,656,0.6433037519454956,0.0001,0.038813978433609,0.6432998776435852,0.6433037519454956,16,1e-05,True,19.116663694381717,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6335877862595419,0.6412213740458015,0.6335877862595419,0.6412213740458015,8,True,False,
