dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.49034749034749037,0.4709621259507563,0.40159974903290413,0.8512095632231967,1.5039419252701582,5.305577993392944,10.985416412353516,ok,,1035,828,0,259,,0,0.005,False,2.766904830932617,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7359307359307359,0.7356618719252352,0.7339656729900632,0.83935561577838,0.48769354666455156,37.48702311515808,2.9370434284210205,ok,,920,736,0,231,0.6322019696235657,20,0.005,True,37.30045223236084,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7445652173913043,0.75,0.7445652173913043,0.75,10,True,False,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.749274129655601,0.7495692984019486,0.8396898948494029,0.49633549589979975,14.352349042892456,1.9900457859039307,ok,,1466,1172,0,367,0.5904838442802429,12,0.005,True,14.272440195083618,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.717687074829932,0.7108843537414966,0.717687074829932,2,True,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7272531562094675,0.727607507721549,0.7930921834164885,0.553130949246042,17.816494464874268,1.6531708240509033,ok,,1467,1173,0,367,0.5664335489273071,12,0.005,False,16.2740695476532,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.704082 baseline_accuracy=0.700680 tolerance=0.005,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7040816326530612,0.7006802721088435,0.7040816326530612,2,True,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.72880859375,0.6028112384241748,27.635461807250977,1.6762402057647705,ok,,1280,1024,0,320,0.6398084759712219,20,0.005,True,27.388763666152954,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.65234375,0.66015625,0.65234375,0.66015625,10,True,False,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9537815126050421,0.9536614172576187,0.9511664407505172,0.9830919597631447,0.1517899535606789,16.674782276153564,1.8977859020233154,ok,,952,761,0,238,0.5372982323169708,10,0.005,False,15.11271071434021,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.910995 baseline_accuracy=0.910995 tolerance=0.005,30,1,epoch_chunk,accuracy,0.9109947643979057,0.9109947643979057,0.9109947643979057,0.9109947643979057,0,True,False,
MIC,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/MIC,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,RuntimeError: mat1 and mat2 shapes cannot be multiplied (1055x101 and 104x26),0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,
PieChart3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8745835782872821,0.26784830053264297,14.154392957687378,2.0480358600616455,ok,,861,688,0,216,0.4407566040754318,10,0.005,False,12.986900329589844,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.884393 baseline_accuracy=0.884393 tolerance=0.005,30,1,epoch_chunk,accuracy,0.884393063583815,0.884393063583815,0.884393063583815,0.884393063583815,0,True,False,
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8432935485567066,0.5372826086956521,0.893695652173913,0.2497936363810419,12.11605453491211,1.7844555377960205,ok,,834,667,0,209,0.5371043682098389,10,0.005,False,11.081243753433228,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.892216 baseline_accuracy=0.892216 tolerance=0.005,30,1,epoch_chunk,accuracy,0.8922155688622755,0.8922155688622755,0.8922155688622755,0.8922155688622755,0,True,False,
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002823,1.375157717489065,2.3913209438323975,6.765829086303711,ok,,1091,872,0,273,,0,0.005,False,1.2800087928771973,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,0.9999242768178149,0.010528673171386626,20.15521502494812,2.0834217071533203,ok,,672,537,0,169,1.3267930150032043,10,0.005,False,18.27863574028015,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=1.000000 baseline_accuracy=1.000000 tolerance=0.005,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,
banknote_authentication,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/banknote_authentication,binclass,1097,220,275,4,2,0.5381818181818182,0.44139184931811665,0.4919639987142398,0.526786670952534,0.6867512734265135,10.124187469482422,0.5312144756317139,ok,,1097,877,0,275,0.6933501362800598,10,0.005,False,9.212803840637207,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.581818 baseline_accuracy=0.581818 tolerance=0.005,30,1,epoch_chunk,accuracy,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.5818181818181818,0,True,False,
car-evaluation,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/car-evaluation,multiclass,1382,277,346,21,4,0.9855491329479769,0.985510846572902,0.9699959131777314,0.999793889515924,0.019834393665581863,22.64823603630066,1.5868308544158936,ok,,1382,1105,0,346,1.0954261422157288,21,0.005,True,22.5657799243927,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9855595667870036,0.9927797833935018,0.9855595667870036,0.9927797833935018,11,True,False,
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6372881355932203,0.6356221051172173,0.6106558709719377,0.7948118572256018,0.8236246965571389,10.769881963729858,0.995042085647583,ok,,1178,942,0,295,0.9778649806976318,11,0.005,False,9.669320344924927,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.546610 baseline_accuracy=0.542373 tolerance=0.005,30,1,epoch_chunk,accuracy,0.5423728813559322,0.5466101694915254,0.5423728813559322,0.5466101694915254,1,True,False,
drug_consumption,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/drug_consumption,multiclass,1507,302,377,12,7,0.40318302387267907,0.23169686059980046,0.14285714285714285,0.5297343818540019,1.5125163592279736,9.386122941970825,1.0600223541259766,ok,,1507,1205,0,377,1.6495445370674133,10,0.005,False,8.385655641555786,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.403974 baseline_accuracy=0.403974 tolerance=0.005,30,1,epoch_chunk,accuracy,0.40397350993377484,0.40397350993377484,0.40397350993377484,0.40397350993377484,0,True,False,
golf_play_dataset_extended,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/golf_play_dataset_extended,binclass,876,176,219,9,2,0.9452054794520548,0.9452054794520548,0.9174415682332244,0.9805227444081428,0.1500835663409379,8.496835231781006,1.217430830001831,ok,,876,700,0,219,0.6097202897071838,10,0.005,False,7.519316673278809,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | Retouche identity guard bypassed adapter: best_accuracy=0.914773 baseline_accuracy=0.914773 tolerance=0.005,30,1,epoch_chunk,accuracy,0.9147727272727273,0.9147727272727273,0.9147727272727273,0.9147727272727273,0,True,False,
