benchmark,data_root,datasets_discovered,model_key,display_name,strategy,status,returncode,command,out_dir,elapsed_seconds,error
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabicl,TabICL v1.1,inference,fail,1,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/benchmark.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabicl --workers 2 --random-state 42 --verbose --gpus 2,3 --checkpoint-version tabicl-classifier-v1.1-20250506.ckpt",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabicl,4402.97177696228,returncode=1
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabiclv2,TabICL v2,inference,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/benchmark.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabiclv2 --workers 2 --random-state 42 --verbose --gpus 2,3 --checkpoint-version tabicl-classifier-v2-20260212.ckpt",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabiclv2,6301.01081776619,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabpfnv25,TabPFN v2.5,inference,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/TabPFN-main/benchmark_infer.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabpfnv25 --workers 2 --random-state 42 --verbose --gpus 2,3 --model-version v2.5",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabpfnv25,13064.512749195099,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabpfnv3,TabPFN v3,inference,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/TabPFN-main/benchmark_infer.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabpfnv3 --workers 2 --random-state 42 --verbose --gpus 2,3 --model-version v3",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabpfnv3,7711.195785522461,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,limix,LimiX,inference,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/LimiX/benchmark_infer.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/limix --workers 2 --random-state 42 --verbose --gpus 2,3",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/limix,1698.6510825157166,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabr,TaBR,inference,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/tabular-dl-tabr/benchmark_infer.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabr --workers 2 --random-state 42 --verbose --gpus 2,3",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/tabr,648.7352080345154,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,orion_msp,Orion-MSP,inference,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/Orion-MSP/benchmark_infer.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/orion_msp --workers 2 --random-state 42 --verbose --gpus 2,3",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/inference/orion_msp,4225.045747280121,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabicl,TabICL v1.1,ttt,fail,1,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/1C_Chunk_TTT.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabicl --workers 2 --random-state 42 --verbose --gpu-groups '' --gpus 2,3 --checkpoint-version tabicl-classifier-v1.1-20250506.ckpt",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabicl,12766.706860542297,returncode=1
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabiclv2,TabICL v2,ttt,fail,1,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/1C_Chunk_TTT.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabiclv2 --workers 2 --random-state 42 --verbose --gpu-groups '' --gpus 2,3 --checkpoint-version tabicl-classifier-v2-20260212.ckpt",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabiclv2,12862.86208319664,returncode=1
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabpfnv25,TabPFN v2.5,ttt,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/TabPFN-main/Tabpfn_1c_ttt.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabpfnv25 --workers 2 --random-state 42 --verbose --gpus 2,3 --model-version v2.5 --ttt",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabpfnv25,7188.032253742218,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,tabpfnv3,TabPFN v3,ttt,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/TabPFN-main/Tabpfn_1c_ttt.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabpfnv3 --workers 2 --random-state 42 --verbose --gpus 2,3 --model-version v3 --ttt",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/tabpfnv3,5578.341288089752,
tabzilla,/home/crc00006699/zh/tabiclv2/tabzilla,36,limix,LimiX,ttt,ok,0,"/home/crc00006699/anaconda3/envs/tabicl/bin/python /home/crc00006699/zh/tabiclv2/baseline_compare/LimiX/limix_ttt.py --data-root /home/crc00006699/zh/tabiclv2/tabzilla --out-dir /home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/limix --workers 2 --random-state 42 --verbose --gpus 2,3 --ttt-holdout",/home/crc00006699/zh/tabiclv2/Experiment_TTT_pipeline/results_tabzilla/tabzilla/ttt/limix,4736.205207586288,
