,average_rank,n_common_success_datasets,nemenyi_cd_alpha_0_05
TabICLv2-TTT,4.163522012578617,159,1.321510691919803
TabICLv2,4.566037735849057,159,1.321510691919803
TabPFNv3,4.8930817610062896,159,1.321510691919803
TabPFNv3-1C-TTT,5.462264150943396,159,1.321510691919803
TabPFN-2.5,5.540880503144654,159,1.321510691919803
TabICLv1.1-TTT,6.2421383647798745,159,1.321510691919803
TabPFNv2,6.40566037735849,159,1.321510691919803
LimiX-TTT,6.688679245283019,159,1.321510691919803
LimiX,6.710691823899371,159,1.321510691919803
TabICLv1.1,6.814465408805032,159,1.321510691919803
Orion-MSP,9.361635220125786,159,1.321510691919803
TabR,11.150943396226415,159,1.321510691919803
