,average_rank,n_common_success_datasets,nemenyi_cd_alpha_0_05
TabICLv2-TTT,4.028301886792453,159,1.321510691919803
TabICLv2,4.361635220125786,159,1.321510691919803
TabPFNv3,4.69496855345912,159,1.321510691919803
TabPFNv3-1C-TTT,5.468553459119497,159,1.321510691919803
TabPFN-2.5,5.682389937106918,159,1.321510691919803
TabICLv1.1-TTT,6.163522012578617,159,1.321510691919803
TabPFNv2,6.455974842767295,159,1.321510691919803
LimiX,6.849056603773585,159,1.321510691919803
TabICLv1.1,6.90566037735849,159,1.321510691919803
LimiX-TTT,6.981132075471698,159,1.321510691919803
Orion-MSP,9.471698113207546,159,1.321510691919803
TabR,10.937106918238994,159,1.321510691919803
