dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data172/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4401544401544401,0.4255966359560198,0.361587034474735,0.8400633182952482,1.5675443986836688,1.0692644119262695,9.684451818466188,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data172/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7406109163745619,0.7401066097461912,0.7400630329879799,0.905007070102001,0.5797542303833819,0.4229521751403808,1.3942289352416992,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data172/BNG(cmc),multiclass,44236,8848,11060,9,3,0.58625678119349,0.5847474316752808,0.566542288197421,0.7644258435935104,0.8759053212627751,0.8143680095672607,34.056819438934326,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data172/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,0.8660633873225355,0.7426054714190308,0.876085638797503,0.3190977541687081,0.4354391098022461,2.526214838027954,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data172/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9127906976744186,0.912789551269666,0.9127890340473628,0.9738080958288488,0.2076581547666026,0.4577257633209228,6.705828666687012,ok,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data172/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8320400500625782,0.7564984569206378,0.5017820992563423,0.6256481733286936,0.4387433936739975,0.5281808376312256,7.050905704498291,ok,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data172/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,0.8706553447746426,0.6857445058173698,0.8927997806244369,0.2687244876206567,0.4144332408905029,0.7049205303192139,ok,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data172/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6781818181818182,0.6681595140108896,0.7254503787036409,0.7345644242682876,0.5061888562701272,0.5417108535766602,2.875384330749512,ok,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data172/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7448101265822785,0.7446275845147947,0.7438393411099561,0.8224389737816328,0.5173041297872298,0.4739553928375244,3.030442237854004,ok,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7120365088419852,0.7120899490779407,0.7123779963453489,0.7843511764639058,0.5595027464855552,0.7078471183776855,23.16008996963501,ok,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7656675749318801,0.7653010159569658,0.7646394387967421,0.8386837881219903,0.4965720149478934,0.4958841800689697,0.4693682193756103,ok,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6838562464346833,0.6832745018006112,0.685358181667342,0.750729616390933,0.5925680221368912,0.6528301239013672,23.199922800064087,ok,
