dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data178/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.49034749034749037,0.464063805792815,0.3940357607336216,0.8502683549332501,1.506348411886219,0.03285956382751465,177.51194071769714,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data178/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7386079118678017,0.7379918745589957,0.7375126368748646,0.9033541964012256,0.5863945615040238,0.2948462963104248,0.945138692855835,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data178/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5800180831826401,0.5772710020245431,0.5586242990388183,0.7568147810476953,0.8868247259558616,3.7095277309417725,25.297106504440308,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data178/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.878,0.866962685273468,0.743233217809489,0.8833347985890359,0.3134808601285649,0.40808534622192383,1.8065414428710938,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data178/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9186046511627907,0.9186042690313715,0.9186036931101302,0.9766252865253003,0.19605125263688142,0.6517388820648193,5.456871509552002,ok,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data178/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8330413016270338,0.7602692074742521,0.5065311583902355,0.6274741066133025,0.43876957727730276,1.0974504947662354,7.539467096328735,ok,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data178/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8950892857142857,0.8788480227078094,0.6861558349982372,0.9049046108042466,0.2527332386174147,0.23502731323242188,0.48316478729248047,ok,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data178/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6786363636363636,0.6679574546475612,0.7269285292938279,0.7326123038112502,0.5046944503512213,0.4076497554779053,2.086089849472046,ok,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data178/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7483544303797468,0.7478695652810446,0.7467863907732384,0.8260639784040529,0.513829086976428,1.0128557682037354,3.5938708782196045,ok,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data178/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7118083285795779,0.7118465626532838,0.7122567600256677,0.7841749890592885,0.5594944268434456,4.120588302612305,24.34176254272461,ok,
