dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.5039419252701582,3.5911428928375244,7.526187419891357,ok,,1035,828,0,259,,0,1e-05,False,2.07018518447876,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.838452273411623,0.4882865503768324,17.96844983100891,1.8376350402832031,ok,,920,736,0,231,0.5013747811317444,8,1e-05,True,17.873656272888184,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7445652173913043,0.7445652173913043,0.7445652173913043,0,True,False,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7629427792915532,0.7628794105394981,0.7632329353056496,0.8417839957226876,0.4963292381285014,11.577163696289062,1.3471388816833496,ok,,1466,1172,0,367,0.5515074133872986,14,1e-05,True,11.51348090171814,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,6,True,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7302452316076294,0.7300247602130641,0.7303248990258968,0.7919933475885008,0.5544035044891017,11.634727478027344,1.2750451564788818,ok,,1467,1173,0,367,0.5712502002716064,12,1e-05,True,11.517863988876345,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7142857142857143,0.7006802721088435,0.7142857142857143,4,True,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.675,0.6693032314479908,0.675,0.7393359375,0.5958214436308862,17.630643844604492,1.1328942775726318,ok,,1280,1024,0,320,0.6074287593364716,16,1e-05,True,17.49464511871338,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.65234375,0.66015625,0.65234375,0.66015625,8,True,False,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.953781512605042,0.9536614172576188,0.9511664407505172,0.9830919597631448,0.1517899535606789,8.268980503082275,1.3693742752075195,ok,,952,761,0,238,0.1594035699963569,8,1e-05,True,8.222739458084106,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9109947643979056,0.9109947643979056,0.9109947643979056,0.9109947643979056,0,True,False,
MIC,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/MIC,binclass,1319,264,330,104,2,0.906060606060606,0.8955868413554079,0.7361374657389838,0.8818258486190175,0.2687378151203937,35.756571531295776,2.2592616081237797,ok,,1319,1055,0,330,0.2868031114339828,15,1e-05,True,35.291977405548096,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8674242424242424,0.8787878787878788,0.8674242424242424,0.8787878787878788,7,True,False,
PieChart3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8849696257103665,0.2623592711751934,18.238176822662357,2.059162378311157,ok,,861,688,0,216,0.2651471793651581,14,1e-05,True,18.115548849105835,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.884393063583815,0.8901734104046243,0.884393063583815,0.8901734104046243,6,True,False,
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8432935485567066,0.5372826086956521,0.893695652173913,0.2497936363810419,12.766981840133669,1.9903943538665767,ok,,834,667,0,209,0.29112009704113,8,1e-05,True,12.474596977233888,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8922155688622755,0.8922155688622755,0.8922155688622755,0.8922155688622755,0,True,False,
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002824,1.375157717489065,2.2511703968048096,6.675120115280151,ok,,1091,872,0,273,,0,1e-05,False,1.134934902191162,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=7 | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
