dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok,ttt_upper_enabled,ttt_upper_selection,ttt_upper_pool_size,ttt_upper_final_epochs,ttt_upper_shift_score,ttt_upper_alpha,ttt_upper_alpha_reason,ttt_upper_stage1_steps,ttt_upper_stage2_steps,ttt_upper_fallback_reason,ttt_upper_used_test_features
Basketball_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.6996191714905836,0.6777699031419797,0.7436806047720291,0.578142398832161,116.65598225593567,0.44704413414001465,ok,,1072,857,0,268,0.6075625419616699,23,1e-05,True,116.59746599197388,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.126251 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7581395348837209,0.7581395348837209,0.7581395348837209,0,True,False,,f_hybrid_upper,test,standardized_l2,3.1828609431425527,0.68804384683153,,True,True,f_hybrid_upper,429,8,0.12625066782102976,0.0,validation_best_accuracy,22,1,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7520435967302452,0.7519514805828373,0.7518119170676647,0.8337343313728985,0.5040584215061394,197.83473229408264,0.5108339786529541,ok,,1467,1173,0,367,0.6159133911132812,23,1e-05,True,197.79227232933044,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.096436 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,9,True,False,,f_hybrid_upper,test,standardized_l2,2.8614917425669155,0.8979250570369678,,True,True,f_hybrid_upper,587,8,0.09643552217502936,1.0,validation_best_accuracy,22,1,,True
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7874659400544959,0.7871334795888758,0.7864574044349325,0.8559687295642352,0.4746308477656318,198.84889316558838,0.515864372253418,ok,,1465,1172,0,367,0.6067489981651306,23,1e-05,True,198.80889678001404,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.109503 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7508532423208191,0.7508532423208191,0.7508532423208191,0.7508532423208191,0,True,False,,f_hybrid_upper,test,standardized_l2,2.8691434122780013,0.8520374620897708,,True,True,f_hybrid_upper,586,8,0.10950315603618806,0.0,validation_best_accuracy,22,1,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.8227561911772437,0.4535342158146845,138.36067414283752,0.3894369602203369,ok,,1200,960,0,300,0.49413633346557617,23,1e-05,True,138.324960231781,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.121180 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7666666666666667,0.775,0.7666666666666667,0.775,3,True,False,,f_hybrid_upper,test,standardized_l2,2.4862212498528136,0.526741299497827,,True,True,f_hybrid_upper,480,8,0.1211799049695928,1.0,validation_best_accuracy,22,1,,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6842238962003302,0.684375,0.7597265625,0.5670224624765797,149.2424762248993,0.5773355960845947,ok,,1280,1024,0,320,0.5523073077201843,21,1e-05,True,149.15628910064697,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.219393 actual_upper_final_epochs=10,30,1,epoch_chunk,accuracy,0.671875,0.671875,0.671875,0.671875,0,True,False,,f_hybrid_upper,test,standardized_l2,4.383938019347151,0.8050058516809845,,True,True,f_hybrid_upper,512,10,0.21939301723915985,0.0,validation_best_accuracy,20,1,,True
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.49836065573770494,0.7363114754098361,0.3333703719485832,178.20030188560486,0.5377426147460938,ok,,1378,1102,0,345,0.33648134768009186,23,1e-05,True,178.14515233039856,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.062901 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.9130434782608695,0.9166666666666666,0.9130434782608695,0.9166666666666666,10,True,False,,f_hybrid_upper,test,standardized_l2,3.4930505725950582,0.5642943391837381,,True,True,f_hybrid_upper,551,8,0.062901026422134,1.0,validation_best_accuracy,22,1,,True
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Performance-Prediction,binclass,1072,215,268,19,2,0.746268656716418,0.7391015545585111,0.7067718606180144,0.8073336919490766,0.5237281248945164,119.70675563812256,0.472592830657959,ok,,1072,857,0,268,0.6316906213760376,23,1e-05,True,119.64663338661194,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.102618 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.6976744186046512,0,True,False,,f_hybrid_upper,test,standardized_l2,4.310987052261612,0.9937240336769898,,True,True,f_hybrid_upper,429,8,0.10261762837031295,0.0,validation_best_accuracy,22,1,,True
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,0.675,0.8609259259259259,0.4636700740948883,41.20034337043762,0.4988100528717041,ok,,614,491,0,154,0.5927786529064178,23,1e-05,True,41.16799330711365,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.000000 reason=validation_best_accuracy | upper_shift_score=0.156091 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7723577235772358,0.7723577235772358,0.7723577235772358,0.7723577235772358,0,True,False,,f_hybrid_upper,test,standardized_l2,2.795393110165112,0.6011066648637307,,True,True,f_hybrid_upper,246,8,0.1560905364245471,0.0,validation_best_accuracy,22,1,,True
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.8844403574544338,0.8587525150905433,0.9526156941649899,0.2674053065734377,89.68270254135132,1.2181096076965332,ok,,843,674,0,211,0.33539652824401855,28,1e-05,True,89.52298045158386,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=0.250000 reason=validation_best_accuracy | upper_shift_score=0.065578 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.863905325443787,0.8698224852071006,0.863905325443787,0.8698224852071006,20,True,False,,f_hybrid_upper,test,standardized_l2,5.873624499516435,2.578101839557257,,True,True,f_hybrid_upper,337,8,0.06557822978300387,0.25,validation_best_accuracy,22,6,,True
Waterstress,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Waterstress,binclass,950,190,238,22,2,0.8025210084033614,0.802405941629764,0.803852951572994,0.8897136797454931,0.4195547303463954,93.53928828239441,0.970862865447998,ok,,950,760,0,238,0.5815185308456421,23,1e-05,True,93.45818614959717,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_hybrid_upper c_source=test c_metric=standardized_l2 | upper_selection=f_hybrid_upper upper_final_epochs=10 rollback_gate=validation | upper_alpha=1.000000 reason=validation_best_accuracy | upper_shift_score=0.128084 actual_upper_final_epochs=8,30,1,epoch_chunk,accuracy,0.7947368421052632,0.8263157894736842,0.7947368421052632,0.8263157894736842,3,True,False,,f_hybrid_upper,test,standardized_l2,4.991334190207538,2.1153108272302927,,True,True,f_hybrid_upper,380,8,0.12808386937800367,1.0,validation_best_accuracy,22,1,,True
