dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_gate_decision,ttt_gate_reason,ttt_gate_confidence_mean,ttt_gate_confidence_p10,ttt_gate_entropy_mean,ttt_gate_entropy_norm_mean,ttt_gate_stability_mean,ttt_gate_probe_seconds
Basketball_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7071286922033191,0.6856839121190645,0.7443302622253721,0.5769501650221012,9.546849489212036,0.434131383895874,ok,,1072,857,0,268,0.5636492371559143,11,1e-05,True,7.8774330615997314,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.794694>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7627906976744186,0.7581395348837209,0.7627906976744186,3,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.794694>threshold=0.450000,0.7145934540834,0.5459043264389039,0.5508397203757904,0.7946937329108162,0.988339552238806,1.6113688945770264
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8321748945523673,0.5061551590364243,4.485484600067139,0.49744582176208496,ok,,1467,1173,0,367,0.5105012655258179,8,1e-05,True,3.4262967109680176,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.721952>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7108843537414966,0.7108843537414966,0.7108843537414966,0,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.721952>threshold=0.450000,0.7563290435221929,0.5488347291946412,0.5004193138726885,0.7219524624891853,0.976158038147139,1.0128116607666016
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7874659400544959,0.7871334795888758,0.7864574044349325,0.8543190060043994,0.4776357526890799,7.515035390853882,0.5325632095336914,ok,,1465,1172,0,367,0.5398975014686584,16,1e-05,True,6.577934980392456,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.730190>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7508532423208191,0.764505119453925,0.7508532423208191,0.764505119453925,8,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.730190>threshold=0.450000,0.7525812621337516,0.5563988089561462,0.5061292481585374,0.7301901563671815,0.9782016348773842,0.8983256816864014
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.792733543259859,0.7423891897576108,0.8233871391766128,0.4551387870039574,8.503828525543213,0.3509521484375,ok,,1200,960,0,300,0.4588795155286789,19,1e-05,True,7.6317877769470215,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.647810>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7666666666666667,0.7833333333333333,0.7666666666666667,0.7833333333333333,11,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.647810>threshold=0.450000,0.7862693711121878,0.560493117570877,0.44902752188746947,0.6478097790497126,0.9891666666666666,0.834686279296875
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6808011265842591,0.68125,0.75791015625,0.5538710025827074,10.383429288864136,0.6294991970062256,ok,,1280,1024,0,320,0.5427049100399017,18,1e-05,True,9.290698289871216,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.739832>threshold=0.450000,30,1,epoch_chunk,accuracy,0.671875,0.69140625,0.671875,0.69140625,10,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.739832>threshold=0.450000,0.7484850656241179,0.5844687819480896,0.5128127294421763,0.7398323816709615,0.953515625,1.0151524543762207
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.49836065573770494,0.7392622950819672,0.32511107072890744,1.4626514911651611,0.5485215187072754,ok,,1378,1102,0,345,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.911264>=0.700000; entropy_norm_mean=0.373008<=0.450000; stability_mean=0.999638>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.911264>=0.700000; entropy_norm_mean=0.373008<=0.450000; stability_mean=0.999638>=0.800000,0.91126352444939,0.7911608219146729,0.25854930315280333,0.3730077974838466,0.9996376811594203,0.9228248596191406
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Performance-Prediction,binclass,1072,215,268,19,2,0.746268656716418,0.7391015545585111,0.7067718606180144,0.8073336919490766,0.5237281248945164,5.232818365097046,0.477095365524292,ok,,1072,857,0,268,0.6389708817005157,8,1e-05,True,4.322569847106934,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.790867>threshold=0.450000,30,1,epoch_chunk,accuracy,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.6976744186046512,0,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.790867>threshold=0.450000,0.7163737164949303,0.5345046162605286,0.5481872486423232,0.7908670250948447,0.9822761194029851,0.8516170978546143
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7337662337662337,0.7256102474747123,0.6842592592592592,0.8594444444444445,0.4625481395295076,5.900117635726929,0.5058515071868896,ok,,614,491,0,154,0.4157066345214844,14,1e-05,True,4.984670162200928,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.610741>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7723577235772358,0.7967479674796748,0.7723577235772358,0.7967479674796748,6,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.610741>threshold=0.450000,0.8056731483378967,0.5684816300868988,0.4233332323520496,0.6107407549577974,0.9918831168831169,0.8812375068664551
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/QSAR_biodegradation,binclass,843,169,211,41,2,0.8909952606635071,0.8890044360150116,0.8623239436619718,0.9516096579476861,0.2711651325733701,1.9967098236083984,1.2834692001342773,ok,,843,674,0,211,,0,1e-05,False,0.0,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=skip_low_risk: low-risk baseline; confidence_mean=0.897491>=0.700000; entropy_norm_mean=0.359494<=0.450000; stability_mean=0.987559>=0.800000,0,0,,,,,,,0,False,False,,skip_low_risk,low-risk baseline; confidence_mean=0.897491>=0.700000; entropy_norm_mean=0.359494<=0.450000; stability_mean=0.987559>=0.800000,0.8974912954732706,0.6785570383071899,0.24918191265833675,0.3594935096714092,0.9875592417061612,1.3537497520446777
Waterstress,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Waterstress,binclass,950,190,238,22,2,0.8025210084033614,0.8024896309882462,0.8035701661364439,0.8904206433368682,0.419798172678083,6.785077810287476,0.995466947555542,ok,,950,760,0,238,0.505168229341507,12,1e-05,True,5.5637476444244385,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; entropy_norm_mean=0.566184>threshold=0.450000,30,1,epoch_chunk,accuracy,0.7947368421052632,0.8052631578947368,0.7947368421052632,0.8052631578947368,4,True,False,,apply_uncertain,uncertain baseline; entropy_norm_mean=0.566184>threshold=0.450000,0.821273574308187,0.5852307438850403,0.3924490318392349,0.5661842720361392,0.9669117647058824,1.1598687171936035
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.4090909090909091,0.38869061155646517,0.39334366601575677,0.7425328779703959,1.3396983512582554,5.548067331314087,0.8052222728729248,ok,,880,704,0,220,1.3559356927871704,10,1e-05,True,4.393361568450928,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | risk_gate=apply_uncertain: uncertain baseline; confidence_mean=0.504076<threshold=0.700000; entropy_norm_mean=0.753811>threshold=0.450000,30,1,epoch_chunk,accuracy,0.5227272727272727,0.5284090909090909,0.5227272727272727,0.5284090909090909,2,True,False,,apply_uncertain,uncertain baseline; confidence_mean=0.504076<threshold=0.700000; entropy_norm_mean=0.753811>threshold=0.450000,0.5040763901038603,0.34785883128643036,1.2132122045409495,0.7538111257153732,0.9482954545454545,1.0999054908752441
