dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.49034749034749037,0.4709621259507563,0.40159974903290413,0.8512095632231967,1.5039419252701582,1.8397092819213867,4.712371110916138,ok,,1035,828,0,259,,0,1e-05,False,1.040560007095337,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.838452273411623,0.48828655037683244,7.409715414047241,0.8751671314239502,ok,,920,736,0,231,0.41765065491199493,8,1e-05,True,7.353201866149902,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7445652173913043,0.7445652173913043,0.7445652173913043,0,True,False,
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7520435967302452,0.752017822593216,0.7522574704449594,0.8391552307966494,0.4972173542336928,6.270756244659424,0.5598886013031006,ok,,1466,1172,0,367,0.5088269412517548,13,1e-05,True,6.2096521854400635,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,5,True,False,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7411444141689373,0.7408442805973467,0.7412390116417201,0.7924982181040627,0.5534841693661261,7.49579930305481,0.5283725261688232,ok,,1467,1173,0,367,0.5304609835147858,18,1e-05,True,7.4531121253967285,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7006802721088435,0.717687074829932,0.7006802721088435,0.717687074829932,10,True,False,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.730703125,0.6012733419057941,6.124205589294434,0.5620617866516113,ok,,1280,1024,0,320,0.6510195434093475,10,1e-05,True,6.044677972793579,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.65234375,0.65625,0.65234375,0.65625,2,True,False,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9537815126050421,0.9536614172576187,0.9511664407505172,0.9830919597631447,0.1517899535606789,3.7426679134368896,0.7857365608215332,ok,,952,761,0,238,0.26184625923633575,8,1e-05,True,3.7032597064971924,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9109947643979057,0.9109947643979057,0.9109947643979057,0.9109947643979057,0,True,False,
MIC,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/MIC,binclass,1319,264,330,104,2,0.9090909090909091,0.8995772562318263,0.7459413873076113,0.8833719867875466,0.2644560252864975,10.877695322036743,1.5343422889709473,ok,,1319,1055,0,330,0.2985806465148926,8,1e-05,True,10.521944284439087,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8674242424242424,0.8674242424242424,0.8674242424242424,0.8674242424242424,0,True,False,
PieChart3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8745835782872821,0.26784830053264297,5.891819000244141,1.2428715229034424,ok,,861,688,0,216,0.25657305121421814,8,1e-05,True,5.803761005401611,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.884393063583815,0.884393063583815,0.884393063583815,0.884393063583815,0,True,False,
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PizzaCutter3,binclass,834,167,209,37,2,0.8899521531100478,0.8463166234064067,0.54,0.8917391304347826,0.25113686455360695,7.023951292037964,1.2115130424499512,ok,,834,667,0,209,0.2380002662539482,11,1e-05,True,6.90291428565979,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8922155688622755,0.8982035928143712,0.8922155688622755,0.8982035928143712,3,True,False,
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002823,1.375157717489065,1.4661900997161865,5.521225214004517,ok,,1091,872,0,273,,0,1e-05,False,0.6545066833496094,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
