dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_col_attn_enabled,ttt_col_attn_ratio,ttt_col_attn_random_ratio,ttt_col_attn_score_mean,ttt_col_attn_score_std,ttt_col_attn_selected_attention_count,ttt_col_attn_selected_random_count,ttt_col_attn_fallback_reason,ttt_col_attn_label_coverage_ok
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4903474903474903,0.4709621259507563,0.4015997490329041,0.8512095632231967,1.5039419252701582,1.8184361457824707,4.541669845581055,ok,,1035,828,0,259,,0,1e-05,False,0.9779775142669678,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400 | TTT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,True,0.6,0.4,,,0,0,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7316017316017316,0.7316017316017316,0.7304652213188798,0.8390545016561277,0.5067433574346079,15.682712316513062,0.9479491710662842,ok,,920,736,0,231,0.3927500694990158,24,1e-05,True,15.624201536178589,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7771739130434783,0.7445652173913043,0.7771739130434783,16,True,False,,True,0.6,0.4,0.997191527127679,0.0039217087028637,2112,1416,,True
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7520435967302452,0.752050961425567,0.752034693756312,0.8337937384898712,0.5059152391116551,8.28995394706726,0.576723575592041,ok,,1466,1172,0,367,0.5045787990093231,18,1e-05,True,8.229117631912231,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,10,True,False,,True,0.6,0.4,0.9866830650840842,0.0114603833305958,2520,1692,,True
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7193460490463215,0.7191166697166224,0.7194256355428843,0.792988239486814,0.5532270115806589,5.623783826828003,0.5130434036254883,ok,,1467,1173,0,367,0.5413289964199066,11,1e-05,True,5.582708835601807,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7040816326530612,0.7006802721088435,0.7040816326530612,3,True,False,,True,0.6,0.4,0.9922416289601108,0.006735454076906,1540,1034,,True
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.7283203125000001,0.6026621843575768,5.709127187728882,0.5672144889831543,ok,,1280,1024,0,320,0.6207260489463806,8,1e-05,True,5.61022686958313,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.65234375,0.65234375,0.65234375,0.65234375,0,True,False,,True,0.6,0.4,0.9990019511577546,0.0012483640244429,976,656,,True
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.953781512605042,0.9536614172576188,0.9511664407505172,0.982877933937362,0.1520390489205341,5.881401538848877,0.8146297931671143,ok,,952,761,0,238,0.3785023838281631,11,1e-05,True,5.831912994384766,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.9109947643979056,0.9162303664921466,0.9109947643979056,0.9162303664921466,3,True,False,,True,0.6,0.4,0.9974876930981732,0.0028042176737859,1001,671,,True
MIC,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/MIC,binclass,1319,264,330,104,2,0.9090909090909092,0.8995772562318263,0.7459413873076113,0.8833368472837163,0.264513109895316,13.559831857681274,1.5272657871246338,ok,,1319,1055,0,330,0.4272879660129547,10,1e-05,True,13.210540294647217,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.8674242424242424,0.8712121212121212,0.8674242424242424,0.8712121212121212,2,True,False,,True,0.6,0.4,0.9997710092372804,0.0004033871769191,1270,840,,True
PieChart3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PieChart3,binclass,861,173,216,37,2,0.8842592592592593,0.8504784688995214,0.5687830687830688,0.8736037624926514,0.2665437295506367,10.381180763244627,1.2431981563568115,ok,,861,688,0,216,0.43638876080513,14,1e-05,True,10.293134450912476,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.884393063583815,0.8959537572254336,0.884393063583815,0.8959537572254336,6,True,False,,True,0.6,0.4,0.9937035209257484,0.0074663312899024,1148,770,,True
PizzaCutter3,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/PizzaCutter3,binclass,834,167,209,37,2,0.8851674641148325,0.8432935485567066,0.5372826086956521,0.893695652173913,0.2497936363810419,6.312464475631714,1.1316649913787842,ok,,834,667,0,209,0.4531536400318146,8,1e-05,True,6.211317300796509,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.8922155688622755,0.8922155688622755,0.8922155688622755,0.8922155688622755,0,True,False,,True,0.6,0.4,0.9934991039055632,0.0075683990004508,640,424,,True
UJI_Pen_Characters,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/UJI_Pen_Characters,multiclass,1091,219,273,80,35,0.5384615384615384,0.5267602845208057,0.5493589743589743,0.9655602451002824,1.375157717489065,1.4828691482543943,4.813754320144653,ok,,1091,872,0,273,,0,1e-05,False,0.8243803977966309,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400 | TTT training skipped because n_classes=35 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,,True,0.6,0.4,,,0,0,,True
