dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
stage1_graph_scm_0000_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0000_seed42,multiclass,584,59,440,36,5,0.6363636363636364,0.6155676377336613,0.5968947484770907,0.8879268880785828,0.8302327976262496,11.424911975860596,1.0338149070739746,ok,,584,525,0,440,0.8863887190818787,True,0.1,True,15,1e-05,True,11.334199666976929,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.6271186440677966,0.6779661016949152,0.6271186440677966,0.6779661016949152,7,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0001_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0001_seed42,multiclass,584,59,440,36,3,0.8477272727272728,0.848131770716998,0.8205730641129563,0.9536704303408426,0.38575349205565923,4.330248117446899,1.0642554759979248,ok,,584,525,0,440,0.39454735815525055,True,0.1,True,8,1e-05,True,4.240707635879517,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.864406779661017,0.864406779661017,0.864406779661017,0.864406779661017,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0002_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0002_seed42,multiclass,584,59,440,36,5,0.6659090909090909,0.6647523295255269,0.6555054455931669,0.9123695992581876,0.7691801837181912,4.460535287857056,1.0351674556732178,ok,,584,525,0,440,0.7216708362102509,True,0.1,True,8,1e-05,True,4.3689703941345215,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.7288135593220338,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0003_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0003_seed42,binclass,584,59,440,36,2,1.0,1.0,1.0,1.0,4.695825235411942e-05,4.260183334350586,1.0675547122955322,ok,,584,525,0,440,6.656987352471333e-06,True,0.1,True,8,1e-05,True,4.169596433639526,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0004_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0004_seed42,multiclass,458,46,566,36,5,0.2597173144876325,0.1804156708821266,0.239127631167506,0.5849768558644737,1.5751291547323776,4.039644479751587,0.9992210865020752,ok,,458,412,0,566,1.4805521368980408,True,0.1,True,8,1e-05,True,3.955491781234741,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.32608695652173914,0.32608695652173914,0.32608695652173914,0.32608695652173914,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0005_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0005_seed42,multiclass,458,46,566,36,5,0.9982332155477032,0.9982320954589424,0.9980582524271846,0.9999966138426114,0.00866250459360625,4.078116416931152,1.0122101306915283,ok,,458,412,0,566,0.00025851770624285564,True,0.1,True,8,1e-05,True,3.993479013442993,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0006_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0006_seed42,multiclass,458,46,566,35,6,0.7773851590106007,0.7787705882035824,0.7728479557706183,0.9663304414113413,0.5379597411720543,6.516918659210205,0.995316743850708,ok,,458,412,0,566,0.6154656112194061,True,0.1,True,14,1e-05,True,6.431057691574097,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.7391304347826086,0.7608695652173914,0.7391304347826086,0.7608695652173914,6,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0007_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0007_seed42,binclass,458,46,566,30,2,1.0,1.0,1.0,1.0,3.15751886450064e-05,3.8089287281036377,0.9090988636016846,ok,,458,412,0,566,3.2375498904002598e-06,True,0.1,True,8,1e-05,True,3.7386486530303955,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0008_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0008_seed42,multiclass,769,77,255,68,4,0.788235294117647,0.788427382237439,0.7876774996340212,0.9438654733385498,0.5804229977820856,20.177078247070312,0.7428078651428223,ok,,769,692,0,255,0.5173324644565582,True,0.1,True,30,1e-05,True,19.99917483329773,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.7922077922077922,0.8441558441558441,0.7922077922077922,0.8441558441558441,22,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0009_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0009_seed42,binclass,769,77,255,66,2,1.0,1.0,1.0,1.0,6.446656729892293e-07,6.0591113567352295,0.738459587097168,ok,,769,692,0,255,1.276316822895751e-06,True,0.1,True,8,1e-05,True,5.896413087844849,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0010_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0010_seed42,multiclass,769,77,255,68,4,0.44313725490196076,0.41009329578717446,0.3893483709273183,0.680624260037991,1.259883391975475,8.746568441390991,0.7246344089508057,ok,,769,692,0,255,1.1451044082641602,True,0.1,True,12,1e-05,True,8.577134609222412,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.5194805194805194,0.5454545454545454,0.5194805194805194,0.5454545454545454,4,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0011_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0011_seed42,binclass,769,77,255,58,2,1.0,1.0,1.0,1.0,1.7023915615863217e-06,6.286831378936768,1.41131591796875,ok,,769,692,0,255,9.061633647888812e-07,True,0.1,True,8,1e-05,True,6.13464093208313,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0012_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0012_seed42,multiclass,402,41,622,50,4,0.5466237942122186,0.387814292568695,0.5,0.8044077393982639,0.8153111173522897,4.728729009628296,1.209747314453125,ok,,402,361,0,622,0.8233727514743805,True,0.1,True,8,1e-05,True,4.6096296310424805,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.5365853658536586,0.5365853658536586,0.5365853658536586,0.5365853658536586,0,True,False,,random,none,standardized_l2,,,,True
stage1_graph_scm_0013_seed42,/home/crc00006699/zh/tabiclv2/results/tabiclv2_prior_data/graph_scm_3stage_512_seed42/stage1_graph_scm_0013_seed42,multiclass,402,41,622,56,3,0.9372990353697749,0.9372473067470758,0.9428424288440519,0.9917453368515083,0.15528972659193893,4.90994668006897,1.2718451023101807,ok,,402,361,0,622,0.22624043375253677,True,0.1,True,8,1e-05,True,4.789538621902466,full_train_epoch_chunks,full train set chunked per epoch | validation=auto_stratified_validation | wise_ft=alpha0.1 rows=1024<2000,30,1,epoch_chunk,accuracy,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,0,True,False,,random,none,standardized_l2,,,,True
