dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.910958904109589,0.9074272635916472,0.7582465277777778,0.9615885416666666,0.1931365283043396,31.652916431427,0.6980726718902588,ok,,1166,932,0,292,0.1355278417468071,True,0.1,True,15,1e-05,True,31.534055709838867,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1458<2000,30,1,epoch_chunk,accuracy,0.9188034188034188,0.9444444444444444,0.9188034188034188,0.9444444444444444,7,True,False,,f_mmd,test,tabicl_encoded_l2,1.3386554346502206e+16,7506599665.471687,,True
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.9009584664536742,0.8713234468060816,0.5571619217081851,0.8381895017793595,0.2606795836391838,8.78386116027832,0.7000632286071777,ok,,1250,1000,0,313,0.2225284054875373,True,0.1,True,14,1e-05,True,8.663580894470215,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1563<2000,30,1,epoch_chunk,accuracy,0.884,0.892,0.884,0.892,6,True,False,,f_mmd,test,tabicl_encoded_l2,1.1742054428405165e+17,85670871936.30743,,True
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8190169958658705,0.7844219340583226,0.5916585957071513,0.7663822442497796,0.4208662413783171,33.26134467124939,3.748695611953736,ok,,8708,6966,0,2177,0.3788813501596451,True,0.1,False,25,1e-05,True,33.02815127372742,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10885>=2000,30,1,epoch_chunk,accuracy,0.8249138920780712,0.8340987370838117,0.8249138920780712,0.8340987370838117,17,True,False,,f_mmd,test,tabicl_encoded_l2,3.7513228310876337e+21,0.0,,True
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8285714285714286,0.8134646962233169,0.6744249726177437,0.7620481927710844,0.4731515487789107,3.5448403358459477,0.4990899562835693,ok,,417,333,0,105,0.3074625134468078,True,0.1,True,8,1e-05,True,3.489417314529419,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=522<2000,30,1,epoch_chunk,accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,True,False,,f_mmd,test,tabicl_encoded_l2,7.190355087654289e+17,14878203147.037434,,True
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8720379146919431,0.855423482647913,0.6601163542340013,0.856711915535445,0.3029108468222224,4.003362655639648,0.692237377166748,ok,,1687,1349,0,422,0.2753767520189285,True,0.1,False,8,1e-05,True,3.920511960983277,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2109>=2000,30,1,epoch_chunk,accuracy,0.878698224852071,0.878698224852071,0.878698224852071,0.878698224852071,0,True,False,,f_mmd,test,tabicl_encoded_l2,340375654565199.0,690737053.9580213,,True
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.945945945945946,0.9366302968198704,0.6618357487922705,0.8974235104669888,0.1535726349395333,3.824524164199829,0.874643087387085,ok,,887,709,0,222,0.2306215390563011,True,0.1,True,8,1e-05,True,3.7589528560638423,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1109<2000,30,1,epoch_chunk,accuracy,0.9325842696629212,0.9325842696629212,0.9325842696629212,0.9325842696629212,0,True,False,,f_mmd,test,tabicl_encoded_l2,1.0671705639633428e+20,1554944255987.7375,,True
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,1.0,1.0,1.0,1.0,0.0130813703969648,6.440268754959106,0.2824182510375976,ok,,500,400,0,125,0.0234565865248441,True,0.1,True,23,1e-05,True,6.415502309799194,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=625<2000,30,1,epoch_chunk,accuracy,0.96,1.0,0.96,1.0,15,True,False,,f_mmd,test,tabicl_encoded_l2,4.937135442431999,0.2943685445152396,,True
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.9825,0.9824984372558212,0.9825,0.9997569444444444,0.0771713910993146,18.513103008270264,3.9072751998901367,ok,,1600,1280,0,400,0.0308631993830204,True,0.1,False,8,1e-05,True,17.847399950027466,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.984375,0.984375,0.984375,0.984375,0,True,False,,f_mmd,test,tabicl_encoded_l2,13013849.621398136,2277.249018827322,,True
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.9225,0.9219429313938418,0.9225,0.9951458333333332,0.206466226985294,10.775046825408936,1.4107918739318848,ok,,1600,1280,0,400,0.2415000349283218,True,0.1,False,11,1e-05,True,10.527812719345093,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.90625,0.909375,0.90625,0.909375,3,True,False,,f_mmd,test,tabicl_encoded_l2,0.0096586534695277,0.0011815665286688,,True
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.912086696892624,0.9093332249612,0.7583520850176311,0.939787444085259,0.1908669789158024,107.22223210334778,28.059256315231323,ok,,36168,28934,0,9043,0.1788911670446396,True,0.1,False,75,1e-05,True,106.69054007530212,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=45211>=2000,30,3,epoch_chunk,accuracy,0.8149018523638374,0.9163671551009124,0.8149018523638374,0.9163671551009124,17,True,False,,f_mmd,test,tabicl_encoded_l2,1179749607122.0818,31563311.435979083,,True
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,1.0,1.0,1.0,1.0,3.3301359055421487e-06,2.940931797027588,0.1678164005279541,ok,,1097,877,0,275,1.519066927357926e-06,True,0.1,True,8,1e-05,True,2.9153096675872803,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=tabicl_encoded_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1372<2000,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,f_mmd,test,tabicl_encoded_l2,169.36225348004157,30.373382942220257,,True
