dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.910958904109589,0.9074272635916472,0.7582465277777778,0.9618055555555556,0.1938312474456011,34.53995656967163,0.6634740829467773,ok,,1166,932,0,292,0.1143652871251106,True,0.1,True,19,1e-05,True,34.422051429748535,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft=alpha0.1 rows=1458<2000,30,1,epoch_chunk,accuracy,0.9188034188034188,0.9273504273504274,0.9188034188034188,0.9273504273504274,11,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.9009584664536742,0.8713234468060816,0.5571619217081851,0.8383563167259787,0.2606521922778339,8.886103391647339,0.6868801116943359,ok,,1250,1000,0,313,0.2185995578765869,True,0.1,True,14,1e-05,True,8.77086615562439,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft=alpha0.1 rows=1563<2000,30,1,epoch_chunk,accuracy,0.884,0.896,0.884,0.896,6,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8222324299494718,0.7888501857371497,0.5981663140694409,0.7636410488099167,0.4254550362631522,31.084599018096924,3.7305614948272714,ok,,8708,6966,0,2177,0.4081199914216995,True,0.1,False,23,1e-05,True,30.85234951972961,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft_skipped rows=10885>=2000,30,1,epoch_chunk,accuracy,0.8249138920780712,0.8346727898966705,0.8249138920780712,0.8346727898966705,15,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8285714285714286,0.8134646962233169,0.6744249726177437,0.7620481927710844,0.4731783064653891,4.456244707107544,0.7168314456939697,ok,,417,333,0,105,0.2995254099369049,True,0.1,True,11,1e-05,True,4.401119709014893,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft=alpha0.1 rows=522<2000,30,1,epoch_chunk,accuracy,0.8571428571428571,0.8690476190476191,0.8571428571428571,0.8690476190476191,3,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8720379146919431,0.855423482647913,0.6601163542340013,0.856711915535445,0.3029108468222224,4.048035621643066,0.6990504264831543,ok,,1687,1349,0,422,0.3413582742214203,True,0.1,False,8,1e-05,True,3.966757297515869,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft_skipped rows=2109>=2000,30,1,epoch_chunk,accuracy,0.878698224852071,0.878698224852071,0.878698224852071,0.878698224852071,0,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.945945945945946,0.9366302968198704,0.6618357487922705,0.8974235104669888,0.1535726349395333,3.7872936725616455,0.8720831871032715,ok,,887,709,0,222,0.1889992207288742,True,0.1,True,8,1e-05,True,3.7223458290100098,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft=alpha0.1 rows=1109<2000,30,1,epoch_chunk,accuracy,0.9325842696629212,0.9325842696629212,0.9325842696629212,0.9325842696629212,0,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,1.0,1.0,1.0,1.0,0.0160092551408922,3.632334232330322,0.2849931716918945,ok,,500,400,0,125,0.0296199340373277,True,0.1,True,12,1e-05,True,3.608390092849731,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft=alpha0.1 rows=625<2000,30,1,epoch_chunk,accuracy,0.96,0.97,0.96,0.97,4,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.9825,0.9824984372558212,0.9825,0.9997569444444444,0.0771713910993146,18.363727807998657,4.326985836029053,ok,,1600,1280,0,400,0.0268258033320307,True,0.1,False,8,1e-05,True,17.713271141052246,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.984375,0.984375,0.984375,0.984375,0,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.92,0.919276344013186,0.92,0.9954236111111112,0.2073574430975512,20.437934160232544,1.3761866092681885,ok,,1600,1280,0,400,0.2017282918095588,True,0.1,False,22,1e-05,True,20.19396662712097,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.90625,0.915625,0.90625,0.915625,14,True,False,,random,none,tabicl_encoded_l2,,,,True
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9126396107486454,0.9100081930580678,0.7607150339779336,0.9400807634352218,0.1900937558154215,95.0513482093811,27.92420196533203,ok,,36168,28934,0,9043,0.1808393821120262,True,0.1,False,66,1e-05,True,94.52156352996826,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | wise_ft_skipped rows=45211>=2000,30,3,epoch_chunk,accuracy,0.8149018523638374,0.9178877522808958,0.8149018523638374,0.9178877522808958,14,True,False,,random,none,tabicl_encoded_l2,,,,True
