dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.9178082191780822,0.9119671273510396,0.7502170138888888,0.9592013888888888,0.177268083809762,15.281279802322388,0.4446046352386474,ok,,1166,932,0,292,,30,1e-05,True,10.668144941329956,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9273504273504274,0.9273504273504274,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.8945686900958466,0.8670690747212215,0.5536032028469751,0.8396352313167259,0.2623866179656264,7.9083123207092285,0.4351224899291992,ok,,1250,1000,0,313,,30,1e-05,True,7.907942056655884,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9,0.9,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8180983004134129,0.7833276291550653,0.590186209210092,0.7530360785417083,0.4299900219602173,40.09369921684265,1.4943299293518066,ok,,8708,6966,0,2177,,30,1e-05,True,40.093321323394775,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8180252583237658,0.830654420206659,,,15,True,False,,random,none,,,,,,True
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8285714285714286,0.8022070626003209,0.6410186199342826,0.7565717415115006,0.5073623233745677,11.90218448638916,0.445561408996582,ok,,417,333,0,105,,30,1e-05,True,11.901631832122805,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8571428571428571,0.8809523809523809,,,5,True,False,,random,none,,,,,,True
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8744075829383886,0.865286414933066,0.6992673992673992,0.853393665158371,0.3138463278563671,9.380319356918337,0.427772045135498,ok,,1687,1349,0,422,,30,1e-05,True,9.379853963851929,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8668639053254438,0.8727810650887574,,,2,True,False,,random,none,,,,,,True
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.9369369369369368,0.926068679623182,0.6260869565217392,0.9057971014492754,0.1609349471828511,7.549949169158935,0.4448750019073486,ok,,887,709,0,222,,30,1e-05,True,7.549425363540649,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9606741573033708,0.9606741573033708,,,0,True,False,,random,none,,,,,,True
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,0.992,0.9921556935817804,0.9942528735632185,1.0,0.0174038852482723,13.154771327972412,0.4682831764221191,ok,,500,400,0,125,,30,1e-05,True,13.154136657714844,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.97,1.0,,,7,True,False,,random,none,,,,,,True
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.9775,0.977492574033173,0.9775,0.9995833333333334,0.0862339135254473,20.998647212982178,1.007159948348999,ok,,1600,1280,0,400,,30,1e-05,True,20.99827218055725,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.98125,0.984375,,,3,True,False,,random,none,,,,,,True
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.925,0.9242038588121432,0.925,0.9943541666666668,0.2166207490727293,11.998507499694824,0.4784572124481201,ok,,1600,1280,0,400,,30,1e-05,True,11.998029232025146,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.90625,0.9125,,,3,True,False,,random,none,,,,,,True
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9115337830366028,0.909695923883627,0.7662384456678578,0.9406431955947646,0.1880159202324467,162.60800170898438,9.830335855484009,ok,,36168,28934,0,9043,,90,1e-05,True,162.60753893852234,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.9138789051700305,0.916781863422726,,,11,True,False,,random,none,,,,,,True
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,1.0,1.0,1.0,1.0,1.355462783179764e-05,7.500890254974365,0.4195427894592285,ok,,1097,877,0,275,,30,1e-05,True,7.500388145446777,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,1.0,1.0,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1464,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1464,binclass,598,120,150,4,2,0.78,0.7256470588235294,0.5701754385964912,0.7821637426900585,0.4616748030914431,9.788146495819092,0.4119737148284912,ok,,598,478,0,150,,30,1e-05,True,9.787786722183228,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8,0.8083333333333333,,,3,True,False,,random,none,,,,,,True
OpenML-ID-1468,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1468,multiclass,864,173,216,856,9,0.925925925925926,0.925868522966798,0.925925925925926,0.9948640046296297,0.3799415975226597,41.59366822242737,1.4651892185211182,ok,,864,691,0,216,,30,1e-05,True,41.59328150749207,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8959537572254336,0.9017341040462428,,,3,True,False,,random,none,,,,,,True
OpenML-ID-1475,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1475,multiclass,4894,979,1224,51,6,0.6225490196078431,0.6002848506602243,0.4836482864507608,0.8467716580244214,1.063944478273841,12.94669246673584,1.3965671062469482,ok,,4894,3915,0,1224,,30,1e-05,True,12.946309804916382,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6210418794688458,0.6210418794688458,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1478,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1478,multiclass,8239,1648,2060,561,6,0.9990291262135922,0.9990290295629314,0.9990636704119852,0.9999951824458096,0.011286178136169,1.4469749927520752,16.150954484939575,ok,,8239,0,0,2060,,0,1e-05,False,0.0,,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.59 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.15 GiB is free. Process 7577 has 22.42 GiB memory in use. Of the allocated memory 19.04 GiB is allocated by PyTorch, and 3.06 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.59 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.15 GiB is free. Process 7577 has 22.42 GiB memory in use. Of the allocated memory 19.04 GiB is allocated by PyTorch, and 3.06 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",random,none,,,,,,True
OpenML-ID-1480,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1480,binclass,466,94,117,10,2,0.7008547008547008,0.6709183423454246,0.5721119773210489,0.6906449326718639,0.5592344775700052,10.626669645309448,0.4404258728027344,ok,,466,372,0,117,,30,1e-05,True,10.62621784210205,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7127659574468085,0.776595744680851,,,3,True,False,,random,none,,,,,,True
OpenML-ID-1485,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1485,binclass,2080,416,520,500,2,0.9,0.8999940824900882,0.9,0.9627810650887574,0.2463375101067417,260.85575675964355,7.250566720962524,ok,,2080,1664,0,520,,30,1e-05,True,260.85536766052246,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9206730769230768,0.9206730769230768,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1486,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1486,binclass,27572,5515,6893,118,2,0.9731611780066736,0.9731875940687608,0.9681087007016556,0.9963314395056768,0.0700758689245969,204.39980578422544,13.82809853553772,ok,,27572,22057,0,6893,,90,1e-05,True,204.39901661872864,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.973164097914778,0.973164097914778,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1487,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1487,binclass,2027,406,507,72,2,0.9526627218934912,0.9438411998460644,0.668717105263158,0.9433552631578948,0.1261703268604286,9.96034860610962,1.245110273361206,ok,,2027,1621,0,507,,30,1e-05,True,9.959906816482544,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9507389162561576,0.9507389162561576,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1489,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1489,binclass,4323,865,1081,5,2,0.902867715078631,0.9020639727158464,0.8749896774406659,0.9579004740119246,0.2526389048244742,12.326447010040283,0.5710110664367676,ok,,4323,3458,0,1081,,30,1e-05,True,12.325946569442747,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.922543352601156,0.9271676300578034,,,4,True,False,,random,none,,,,,,True
OpenML-ID-1494,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1494,binclass,844,169,211,41,2,0.8530805687203792,0.8522738321325255,0.8302816901408451,0.9390342052313884,0.2899058909520242,8.179412126541138,0.4431374073028564,ok,,844,675,0,211,,30,1e-05,True,8.178952693939209,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8816568047337278,0.8816568047337278,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1497,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1497,multiclass,4364,873,1092,24,4,0.98992673992674,0.9899333005135054,0.9895098948670378,0.9998315847862432,0.0283918166285774,32.28500437736511,0.8606445789337158,ok,,4364,3491,0,1092,,30,1e-05,True,32.284613609313965,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9782359679266897,0.986254295532646,,,20,True,False,,random,none,,,,,,True
OpenML-ID-15,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-15,binclass,559,112,140,9,2,0.9642857142857144,0.9645308650833512,0.9678442028985508,0.9947916666666666,0.1525056124035446,13.822852373123167,0.4240322113037109,ok,,559,447,0,140,,30,1e-05,True,13.822413206100464,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9553571428571428,0.9642857142857144,,,7,True,False,,random,none,,,,,,True
OpenML-ID-1501,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1501,multiclass,1274,255,319,256,10,0.9561128526645768,0.95614060038877,0.9561491935483872,0.9990623399897594,0.1382909437309349,44.610283851623535,1.189786672592163,ok,,1274,1019,0,319,,30,1e-05,True,44.60988640785217,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9372549019607844,0.9529411764705882,,,10,True,False,,random,none,,,,,,True
OpenML-ID-151,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-151,binclass,36249,7250,9063,8,2,0.9215491559086396,0.92144019296347,0.918411476968524,0.980546430714216,0.1789209206724582,207.76762914657596,9.19118857383728,ok,,36249,28999,0,9063,,90,1e-05,True,207.76715278625488,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.892551724137931,0.9288275862068964,,,26,False,False,,random,none,,,,,,True
OpenML-ID-1510,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1510,binclass,455,91,114,30,2,0.9736842105263158,0.973616425775698,0.9692460317460316,0.9957010582010584,0.0758722396600152,7.835546731948851,0.4413731098175049,ok,,455,364,0,114,,30,1e-05,True,7.83507227897644,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.978021978021978,0.978021978021978,,,0,True,False,,random,none,,,,,,True
OpenML-ID-1590,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1590,binclass,39073,7815,9769,14,2,0.877162452656362,0.8713227903681068,0.7918858344214736,0.9314472157248452,0.271650720470603,192.66070246696472,10.932337999343872,ok,,39073,31258,0,9769,,120,1e-05,True,192.6602222919464,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,4,tabpfn_finetuning_api_random,acc,0.8661548304542547,0.8770313499680102,,,14,True,False,,random,none,,,,,,True
