dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,model_family,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.9143835616438356,0.9075644107845744,0.736328125,0.9599609375,0.176674820618111,10.291815757751465,1.712627410888672,ok,,1166,932,0,292,,30,1e-05,True,6.679843187332153,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9273504273504274,0.9273504273504274,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-1050,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1050,binclass,1250,250,313,37,2,0.8945686900958466,0.8670690747212215,0.5536032028469751,0.8405249110320284,0.2608145074802987,10.150969743728638,1.705301284790039,ok,,1250,1000,0,313,,30,1e-05,True,6.537822961807251,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9,0.9,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8226917776757005,0.7828783977182,0.5849073958846223,0.7518633095082217,0.4311767900762586,10.565056562423706,5.063139915466309,ok,,8708,6966,0,2177,,30,1e-05,True,10.564749240875244,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8180252583237658,0.8185993111366245,,,2,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-1063,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1063,binclass,417,84,105,21,2,0.8095238095238095,0.7869238604532722,0.6289704271631983,0.7565717415115006,0.4893938844683658,4.000296115875244,1.7017645835876465,ok,,417,333,0,105,,30,1e-05,True,3.9999029636383057,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8571428571428571,0.8571428571428571,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8862559241706162,0.8740361214294864,0.6999784529196293,0.8501616031027797,0.315067011365908,6.200849771499634,1.664985179901123,ok,,1687,1349,0,422,,30,1e-05,True,6.200541257858276,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8668639053254438,0.8698224852071006,,,5,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-1068,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1068,binclass,887,178,222,21,2,0.9324324324324323,0.9186724718639612,0.5927536231884059,0.9061191626409018,0.1603543300607176,4.090291500091553,1.7213139533996582,ok,,887,709,0,222,,30,1e-05,True,4.089904069900513,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9606741573033708,0.9606741573033708,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,0.984,0.9846570918884886,0.988404920346844,0.997337826088727,0.0536564032774681,3.920178413391113,1.6506390571594238,ok,,500,400,0,125,,30,1e-05,True,3.91963005065918,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.97,0.97,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-12,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-12,multiclass,1600,320,400,216,10,0.98,0.9799656196280668,0.98,0.9995277777777778,0.092297110524939,10.244730472564695,3.96512508392334,ok,,1600,1280,0,400,,30,1e-05,True,10.24442434310913,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.98125,0.98125,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.925,0.924467217515998,0.925,0.9947430555555556,0.2153766644556066,5.259787321090698,1.924358606338501,ok,,1600,1280,0,400,,30,1e-05,True,5.259488821029663,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.90625,0.90625,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
OpenML-ID-1461,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1461,binclass,36168,7234,9043,16,2,0.9127501935198497,0.91022610802578,0.7620075685388363,0.9413772041860152,0.1876172961033983,43.33106303215027,37.87674164772034,ok,,36168,28934,0,9043,,90,1e-05,True,43.330617904663086,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,acc,0.9151230301354714,0.9151230301354714,,,0,True,False,,tabpfnv3,last_layers,tabpfnv3_all,2567808,0.0483096164546729,
