dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,model_family,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank
OpenML-ID-1049,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1049,binclass,1166,234,292,37,2,0.9143835616438356,0.9075644107845744,0.736328125,0.9599609375,0.176674820618111,11.960803031921388,1.7223856449127195,ok,,1166,932,0,292,,30,1e-05,True,8.104640245437622,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9273504273504274,0.9273504273504274,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1053,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1053,binclass,8708,1742,2177,21,2,0.8226917776757005,0.7828783977182,0.5849073958846223,0.7518863049794664,0.4315053887961108,15.502246141433716,5.106250524520874,ok,,8708,6966,0,2177,,30,1e-05,True,15.501938104629517,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8180252583237658,0.8185993111366245,,,2,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1067,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1067,binclass,1687,338,422,21,2,0.8886255924170616,0.8760570642864607,0.701379013143719,0.850635638870933,0.3150353030290054,5.538334369659424,1.7242791652679443,ok,,1687,1349,0,422,,30,1e-05,True,5.537846326828003,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8668639053254438,0.8668639053254438,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-11,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-11,multiclass,500,100,125,4,3,0.984,0.9846570918884886,0.988404920346844,0.997337826088727,0.0536564032774681,5.725567102432251,1.6651346683502195,ok,,500,400,0,125,,30,1e-05,True,5.725270509719849,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.97,0.97,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-14,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-14,multiclass,1600,320,400,76,10,0.925,0.924467217515998,0.925,0.9947430555555556,0.2153766644556066,6.863168478012085,1.914770603179932,ok,,1600,1280,0,400,,30,1e-05,True,6.86287522315979,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.90625,0.90625,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1462,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1462,binclass,1097,220,275,4,2,1.0,1.0,1.0,1.0,1.3591695763713832e-05,4.94607138633728,1.7220032215118408,ok,,1097,877,0,275,,30,1e-05,True,4.945613861083984,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,1.0,1.0,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1468,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1468,multiclass,864,173,216,856,9,0.9305555555555556,0.9316109165425857,0.9305555555555556,0.996479552469136,0.3812413047086626,30.88721251487732,4.313913345336914,ok,,864,691,0,216,,30,1e-05,True,30.88688898086548,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.8959537572254336,0.8959537572254336,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1478,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1478,multiclass,8239,1648,2060,561,6,0.9990291262135922,0.9990290295629314,0.9990636704119852,0.9999935765944128,0.0120983171108332,3.3764798641204834,63.42678570747376,ok,,8239,0,0,2060,,0,1e-05,False,0.0,,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.57 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.53 GiB is free. Process 63822 has 22.04 GiB memory in use. Of the allocated memory 17.59 GiB is allocated by PyTorch, and 4.13 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,,,,,,,0,False,True,"TTT OOM; used original model parameters for inference: OutOfMemoryError: CUDA out of memory. Tried to allocate 1.57 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.53 GiB is free. Process 63822 has 22.04 GiB memory in use. Of the allocated memory 17.59 GiB is allocated by PyTorch, and 4.13 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1485,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1485,binclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"TabPFNCUDAOutOfMemoryError: CUDA out of memory with 520 test samples.

This is issue is usually caused by one of the following two reasons:

1) Large test set — split into batches:

    predictions = []
    for i in range(0, len(X_test), 100):
        pred = model.predict_proba(X_test[i:i + 100])
        predictions.append(pred)
    predictions = np.vstack(predictions)

   Only with fit_mode='fit_with_cache', test rows are chunked
   automatically — lower the TABPFN_MAX_BATCHED_TEST_ROWS
   environment variable (currently 32768) to
   reduce peak memory without changing your code.

2) Large training set — batching won't help.
   Subsample your training data; see https://docs.priorlabs.ai
   for further guidance.

Your sizes: 2,080 train / 520 test samples, 500 features.
Not sure which? If model.predict_proba(X_test[:1]) also fails, it's (2).

Original error: CUDA out of memory. Tried to allocate 2.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 2.00 MiB is free. Process 63822 has 23.56 GiB memory in use. Of the allocated memory 22.56 GiB is allocated by PyTorch, and 667.46 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,0,0,,0,,False,0.0,,,0,0,,,,,,,0,False,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
OpenML-ID-1487,/home/crc00006699/zh/tabiclv2/openml_cc18/OpenML-ID-1487,binclass,2027,406,507,72,2,0.9566074950690336,0.9485210998588924,0.6853947368421053,0.9461184210526316,0.1232450812031773,7.441532135009766,2.166579484939575,ok,,2027,1621,0,507,,30,1e-05,True,7.441191434860229,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,acc,0.9507389162561576,0.9507389162561576,,,0,True,False,,tabpfnv3,ln_head_embedding,tabpfnv3_all,558976,0.0105163299465408,
