dataset,model,method,metric,n,mean,std,min,max,source_path
data184,TabICLv2,Infer,accuracy,184,0.855980781727776,0.12595158521116068,0.403183023872679,1.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,balanced_accuracy,184,0.7816109614753697,0.17029783314664704,0.1428571428571428,1.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,coverage_adaptation_applied,1,0.0,0.0,0.0,0.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,coverage_failed,1,0.0,0.0,0.0,0.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,coverage_fallback,1,0.0,0.0,0.0,0.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,coverage_result_rows,1,184.0,0.0,184.0,184.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,coverage_status_ok,1,184.0,0.0,184.0,184.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,f1,184,0.847821457399531,0.13556501060011114,0.2316968605998004,1.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,fit_seconds,184,0.5572538077831268,0.31401346002428304,0.349747896194458,2.5492498874664307,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,log_loss,184,0.3221235380640994,0.27103377411346274,6.781481732274945e-07,1.5124260275679522,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,predict_seconds,184,10.95925714140353,34.01069510518201,0.1726157665252685,264.2149729728699,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,Infer,roc_auc,184,0.9039119540590761,0.1034812424866686,0.5000013498071985,1.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv
data184,TabICLv2,FT,accuracy,184,0.8584201794310193,0.12600094936456757,0.403183023872679,1.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2028/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed3/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2025/all_classification_results.csv
data184,TabICLv2,FT,balanced_accuracy,184,0.7853483551561447,0.17038497456166338,0.1428571428571428,1.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2028/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed3/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2025/all_classification_results.csv
data184,TabICLv2,FT,coverage_adaptation_applied,1,184.0,0.0,184.0,184.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2028/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed3/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2025/all_classification_results.csv
data184,TabICLv2,FT,coverage_failed,1,0.0,0.0,0.0,0.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2028/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed3/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2025/all_classification_results.csv
data184,TabICLv2,FT,coverage_fallback,1,0.0,0.0,0.0,0.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2028/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed3/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2025/all_classification_results.csv
data184,TabICLv2,FT,coverage_result_rows,1,184.0,0.0,184.0,184.0,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2028/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed3/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2025/all_classification_results.csv
