dataset,model,method,reference_method,metric,shared_status_ok,method_mean,reference_mean,delta,wins,losses,ties
data184,TabICLv2,FT,Infer,accuracy,184,0.8584201794310193,0.855980781727776,0.0024393977032434308,83,67,34
data184,TabICLv2,FT,Infer,balanced_accuracy,184,0.7853483551561447,0.7816109614753697,0.003737393680775033,91,68,25
data184,TabICLv2,FT,Infer,f1,184,0.8505016556608211,0.847821457399531,0.0026801982612903773,88,75,21
data184,TabICLv2,FT,Infer,roc_auc,184,0.905662928185033,0.9039119540590761,0.0017509741259569133,113,63,8
data184,TabICLv2,FT,Infer,log_loss,184,0.317202043506888,0.3221235380640994,-0.004921494557211377,111,73,0
data184,TabICLv2,F-aware FT,FT,accuracy,184,0.8591831738308788,0.8584201794310193,0.000762994399859527,78,75,31
data184,TabICLv2,F-aware FT,FT,balanced_accuracy,184,0.7853553614193672,0.7853483551561447,7.006263222640163e-06,74,87,23
data184,TabICLv2,F-aware FT,FT,f1,184,0.8511703384465868,0.8505016556608211,0.0006686827857657515,82,82,20
data184,TabICLv2,F-aware FT,FT,roc_auc,184,0.9062477761880795,0.905662928185033,0.0005848480030464919,98,79,7
data184,TabICLv2,F-aware FT,FT,log_loss,184,0.3161148498817165,0.317202043506888,-0.0010871936251714367,97,87,0
data184,TabICLv2,LoRA,Infer,accuracy,184,0.8565021807963519,0.855980781727776,0.0005213990685759251,70,61,53
data184,TabICLv2,LoRA,Infer,balanced_accuracy,184,0.7819453883644766,0.7816109614753697,0.0003344268891070295,71,66,47
data184,TabICLv2,LoRA,Infer,f1,184,0.8483269525663595,0.847821457399531,0.0005054951668288522,74,66,44
data184,TabICLv2,LoRA,Infer,roc_auc,184,0.9039823547966334,0.9039119540590761,7.040073755711508e-05,97,80,7
data184,TabICLv2,LoRA,Infer,log_loss,184,0.3217385607758008,0.3221235380640994,-0.00038497728829854817,98,86,0
data184,TabICLv2,LoRA,FT,accuracy,184,0.8565021807963519,0.8584201794310193,-0.0019179986346675056,75,82,27
data184,TabICLv2,LoRA,FT,balanced_accuracy,184,0.7819453883644766,0.7853483551561447,-0.0034029667916680036,74,89,21
data184,TabICLv2,LoRA,FT,f1,184,0.8483269525663595,0.8505016556608211,-0.002174703094461525,81,84,19
data184,TabICLv2,LoRA,FT,roc_auc,184,0.9039823547966334,0.905662928185033,-0.0016805733883997983,70,108,6
data184,TabICLv2,LoRA,FT,log_loss,184,0.3217385607758008,0.317202043506888,0.004536517268912827,75,109,0
data184,TabICLv2,ln_head_embedding,Infer,accuracy,184,0.8564881567510494,0.855980781727776,0.000507375023273441,64,61,59
data184,TabICLv2,ln_head_embedding,Infer,balanced_accuracy,184,0.7819447288590855,0.7816109614753697,0.00033376738371593577,73,63,48
data184,TabICLv2,ln_head_embedding,Infer,f1,184,0.8483492619696205,0.847821457399531,0.0005278045700895825,69,70,45
data184,TabICLv2,ln_head_embedding,Infer,roc_auc,184,0.9044509296289476,0.9039119540590761,0.0005389755698713217,100,77,7
data184,TabICLv2,ln_head_embedding,Infer,log_loss,184,0.3212599784687027,0.3221235380640994,-0.0008635595953967336,104,80,0
data184,TabICLv2,ln_head_embedding,FT,accuracy,184,0.8564881567510494,0.8584201794310193,-0.0019320226799699899,73,82,29
data184,TabICLv2,ln_head_embedding,FT,balanced_accuracy,184,0.7819447288590855,0.7853483551561447,-0.0034036262970590972,73,89,22
data184,TabICLv2,ln_head_embedding,FT,f1,184,0.8483492619696205,0.8505016556608211,-0.002152393691200795,79,85,20
data184,TabICLv2,ln_head_embedding,FT,roc_auc,184,0.9044509296289476,0.905662928185033,-0.0012119985560855916,66,111,7
data184,TabICLv2,ln_head_embedding,FT,log_loss,184,0.3212599784687027,0.317202043506888,0.004057934961814642,77,107,0
data184,TabICLv2,Last-block,Infer,accuracy,184,0.8560832600016406,0.855980781727776,0.00010247827386462337,64,62,58
data184,TabICLv2,Last-block,Infer,balanced_accuracy,184,0.7814442199426788,0.7816109614753697,-0.00016674153269085262,66,70,48
data184,TabICLv2,Last-block,Infer,f1,184,0.847899398220806,0.847821457399531,7.794082127514247e-05,68,70,46
data184,TabICLv2,Last-block,Infer,roc_auc,184,0.9039333191925113,0.9039119540590761,2.1365133435026557e-05,85,92,7
data184,TabICLv2,Last-block,Infer,log_loss,184,0.3220839696010165,0.3221235380640994,-3.9568463082901694e-05,93,91,0
data184,TabICLv2,Last-block,FT,accuracy,184,0.8560832600016406,0.8584201794310193,-0.0023369194293788075,69,87,28
data184,TabICLv2,Last-block,FT,balanced_accuracy,184,0.7814442199426788,0.7853483551561447,-0.0039041352134658856,69,94,21
data184,TabICLv2,Last-block,FT,f1,184,0.847899398220806,0.8505016556608211,-0.002602257440015235,76,89,19
data184,TabICLv2,Last-block,FT,roc_auc,184,0.9039333191925113,0.905662928185033,-0.0017296089925218868,66,111,7
data184,TabICLv2,Last-block,FT,log_loss,184,0.3220839696010165,0.317202043506888,0.004881926094128475,77,107,0
data184,TabICLv2,LoCalPFN,FT,accuracy,95,0.7996668975360263,0.8154656413018149,-0.01579874376578834,17,73,5
data184,TabICLv2,LoCalPFN,FT,balanced_accuracy,95,0.7250378484820459,0.7459153091489751,-0.02087746066692935,16,76,3
data184,TabICLv2,LoCalPFN,FT,f1,95,0.7866914552877062,0.8041279484503047,-0.017436493162598547,17,75,3
data184,TabICLv2,LoCalPFN,FT,roc_auc,95,0.8498967549884643,0.8674637588150744,-0.01756700382660982,11,83,1
data184,TabICLv2,LoCalPFN,FT,log_loss,95,0.4369584473747597,0.40498488664737786,0.03197356072738185,8,87,0
OpenML-CC18,TabICLv2,FT,Infer,accuracy,64,0.888616102082782,0.886849953177297,0.001766148905485031,10,8,46
OpenML-CC18,TabICLv2,FT,Infer,balanced_accuracy,64,0.8393938807866242,0.836589341574863,0.00280453921176127,11,7,46
OpenML-CC18,TabICLv2,FT,Infer,f1,64,0.8842143597195347,0.8823691285580822,0.001845231161452349,11,9,44
OpenML-CC18,TabICLv2,FT,Infer,roc_auc,64,0.9304197731758568,0.9298579227457288,0.000561850430128007,23,10,31
OpenML-CC18,TabICLv2,FT,Infer,log_loss,64,0.2558591011730413,0.2588837219057982,-0.003024620732757004,32,21,11
OpenML-CC18,TabICLv2,F-aware FT,FT,accuracy,64,0.8891502382439507,0.888616102082782,0.0005341361611686767,12,5,47
OpenML-CC18,TabICLv2,F-aware FT,FT,balanced_accuracy,64,0.8396182948122546,0.8393938807866242,0.00022441402563031648,11,7,46
OpenML-CC18,TabICLv2,F-aware FT,FT,f1,64,0.88466483160769,0.8842143597195347,0.00045047188815545633,12,8,44
OpenML-CC18,TabICLv2,F-aware FT,FT,roc_auc,64,0.9305080524457296,0.9304197731758568,8.827926987299214e-05,19,17,28
OpenML-CC18,TabICLv2,F-aware FT,FT,log_loss,64,0.2552494649754206,0.2558591011730413,-0.0006096361976206711,22,19,23
OpenML-CC18,TabICLv2,LoRA,Infer,accuracy,65,0.888559430371321,0.8884764374141297,8.299295719131393e-05,6,6,53
OpenML-CC18,TabICLv2,LoRA,Infer,balanced_accuracy,65,0.8388733901111738,0.8389876344380859,-0.00011424432691204795,4,8,53
OpenML-CC18,TabICLv2,LoRA,Infer,f1,65,0.8840877020929089,0.8840645315430268,2.3170549882251407e-05,4,8,53
OpenML-CC18,TabICLv2,LoRA,Infer,roc_auc,65,0.930913301863878,0.9309361294802242,-2.2827616346134436e-05,10,10,45
OpenML-CC18,TabICLv2,LoRA,Infer,log_loss,65,0.25506970590042544,0.25529730171216025,-0.00022759581173484325,19,15,31
OpenML-CC18,TabICLv2,LoRA,FT,accuracy,64,0.8869342428994444,0.888616102082782,-0.0016818591833376029,9,10,45
OpenML-CC18,TabICLv2,LoRA,FT,balanced_accuracy,64,0.8364733121803429,0.8393938807866242,-0.0029205686062813187,7,12,45
OpenML-CC18,TabICLv2,LoRA,FT,f1,64,0.8823926611478063,0.8842143597195347,-0.0018216985717281874,9,12,43
OpenML-CC18,TabICLv2,LoRA,FT,roc_auc,64,0.9298347384478771,0.9304197731758568,-0.0005850347279795498,9,25,30
OpenML-CC18,TabICLv2,LoRA,FT,log_loss,64,0.258652569909505,0.2558591011730413,0.002793468736463804,17,36,11
OpenML-CC18,TabICLv2,ln_head_embedding,Infer,accuracy,65,0.8884539319733626,0.8884764374141297,-2.250544076724238e-05,5,8,52
OpenML-CC18,TabICLv2,ln_head_embedding,Infer,balanced_accuracy,65,0.8391535194771553,0.8389876344380859,0.0001658850390694176,8,8,49
OpenML-CC18,TabICLv2,ln_head_embedding,Infer,f1,65,0.8840351940005202,0.8840645315430268,-2.9337542506521975e-05,9,8,48
OpenML-CC18,TabICLv2,ln_head_embedding,Infer,roc_auc,65,0.9309935121351499,0.9309361294802242,5.73826549257656e-05,17,8,40
OpenML-CC18,TabICLv2,ln_head_embedding,Infer,log_loss,65,0.25494834939209726,0.25529730171216025,-0.0003489523200630218,27,16,22
