dataset,model,metric,method,shared_status_ok,average_rank
data184,TabICLv2,accuracy,F-aware FT,95,3.5473684210526315
data184,TabICLv2,accuracy,FT,95,3.626315789473684
data184,TabICLv2,accuracy,Infer,95,3.8789473684210525
data184,TabICLv2,accuracy,Last-block,95,3.789473684210526
data184,TabICLv2,accuracy,LoCalPFN,95,5.678947368421053
data184,TabICLv2,accuracy,LoRA,95,3.663157894736842
data184,TabICLv2,accuracy,ln_head_embedding,95,3.8157894736842106
data184,TabICLv2,balanced_accuracy,F-aware FT,95,3.536842105263158
data184,TabICLv2,balanced_accuracy,FT,95,3.473684210526316
data184,TabICLv2,balanced_accuracy,Infer,95,3.905263157894737
data184,TabICLv2,balanced_accuracy,Last-block,95,3.8473684210526318
data184,TabICLv2,balanced_accuracy,LoCalPFN,95,5.778947368421052
data184,TabICLv2,balanced_accuracy,LoRA,95,3.6894736842105265
data184,TabICLv2,balanced_accuracy,ln_head_embedding,95,3.768421052631579
data184,TabICLv2,f1,F-aware FT,95,3.5789473684210527
data184,TabICLv2,f1,FT,95,3.6473684210526316
data184,TabICLv2,f1,Infer,95,3.8526315789473684
data184,TabICLv2,f1,Last-block,95,3.7736842105263158
data184,TabICLv2,f1,LoCalPFN,95,5.705263157894737
data184,TabICLv2,f1,LoRA,95,3.6473684210526316
data184,TabICLv2,f1,ln_head_embedding,95,3.794736842105263
data184,TabICLv2,roc_auc,F-aware FT,95,3.0473684210526315
data184,TabICLv2,roc_auc,FT,95,3.2421052631578946
data184,TabICLv2,roc_auc,Infer,95,3.9263157894736844
data184,TabICLv2,roc_auc,Last-block,95,4.036842105263158
data184,TabICLv2,roc_auc,LoCalPFN,95,6.242105263157895
data184,TabICLv2,roc_auc,LoRA,95,3.6894736842105265
data184,TabICLv2,roc_auc,ln_head_embedding,95,3.8157894736842106
data184,TabICLv2,log_loss,F-aware FT,95,3.1578947368421053
data184,TabICLv2,log_loss,FT,95,3.3684210526315788
data184,TabICLv2,log_loss,Infer,95,3.8947368421052633
data184,TabICLv2,log_loss,Last-block,95,3.8526315789473684
data184,TabICLv2,log_loss,LoCalPFN,95,6.4526315789473685
data184,TabICLv2,log_loss,LoRA,95,3.6736842105263157
data184,TabICLv2,log_loss,ln_head_embedding,95,3.6
OpenML-CC18,TabICLv2,accuracy,F-aware FT,64,3.2734375
OpenML-CC18,TabICLv2,accuracy,FT,64,3.4765625
OpenML-CC18,TabICLv2,accuracy,Infer,64,3.515625
OpenML-CC18,TabICLv2,accuracy,Last-block,64,3.5390625
OpenML-CC18,TabICLv2,accuracy,LoRA,64,3.5546875
OpenML-CC18,TabICLv2,accuracy,ln_head_embedding,64,3.640625
OpenML-CC18,TabICLv2,balanced_accuracy,F-aware FT,64,3.2421875
OpenML-CC18,TabICLv2,balanced_accuracy,FT,64,3.3671875
OpenML-CC18,TabICLv2,balanced_accuracy,Infer,64,3.5546875
OpenML-CC18,TabICLv2,balanced_accuracy,Last-block,64,3.5625
OpenML-CC18,TabICLv2,balanced_accuracy,LoRA,64,3.6953125
OpenML-CC18,TabICLv2,balanced_accuracy,ln_head_embedding,64,3.578125
OpenML-CC18,TabICLv2,f1,F-aware FT,64,3.296875
OpenML-CC18,TabICLv2,f1,FT,64,3.4375
OpenML-CC18,TabICLv2,f1,Infer,64,3.4765625
OpenML-CC18,TabICLv2,f1,Last-block,64,3.625
OpenML-CC18,TabICLv2,f1,LoRA,64,3.6171875
OpenML-CC18,TabICLv2,f1,ln_head_embedding,64,3.546875
OpenML-CC18,TabICLv2,roc_auc,F-aware FT,64,3.140625
OpenML-CC18,TabICLv2,roc_auc,FT,64,3.0625
OpenML-CC18,TabICLv2,roc_auc,Infer,64,3.7734375
OpenML-CC18,TabICLv2,roc_auc,Last-block,64,3.7265625
OpenML-CC18,TabICLv2,roc_auc,LoRA,64,3.8359375
OpenML-CC18,TabICLv2,roc_auc,ln_head_embedding,64,3.4609375
OpenML-CC18,TabICLv2,log_loss,F-aware FT,64,3.0078125
OpenML-CC18,TabICLv2,log_loss,FT,64,3.046875
OpenML-CC18,TabICLv2,log_loss,Infer,64,3.8125
OpenML-CC18,TabICLv2,log_loss,Last-block,64,3.78125
OpenML-CC18,TabICLv2,log_loss,LoRA,64,3.8828125
OpenML-CC18,TabICLv2,log_loss,ln_head_embedding,64,3.46875
Graph-SCM,TabICLv2,accuracy,F-aware FT,512,1.9765625
Graph-SCM,TabICLv2,accuracy,FT,512,1.98046875
Graph-SCM,TabICLv2,accuracy,Infer,512,2.04296875
Graph-SCM,TabICLv2,balanced_accuracy,F-aware FT,512,1.9658203125
Graph-SCM,TabICLv2,balanced_accuracy,FT,512,1.966796875
Graph-SCM,TabICLv2,balanced_accuracy,Infer,512,2.0673828125
Graph-SCM,TabICLv2,f1,F-aware FT,512,1.974609375
Graph-SCM,TabICLv2,f1,FT,512,1.9853515625
Graph-SCM,TabICLv2,f1,Infer,512,2.0400390625
Graph-SCM,TabICLv2,roc_auc,F-aware FT,512,1.9677734375
Graph-SCM,TabICLv2,roc_auc,FT,512,1.9248046875
Graph-SCM,TabICLv2,roc_auc,Infer,512,2.107421875
Graph-SCM,TabICLv2,log_loss,F-aware FT,512,1.9111328125
Graph-SCM,TabICLv2,log_loss,FT,512,1.8857421875
Graph-SCM,TabICLv2,log_loss,Infer,512,2.203125
data184,TabPFNv3,accuracy,F-aware FT,2,2.0
data184,TabPFNv3,accuracy,FT,2,2.0
data184,TabPFNv3,accuracy,Infer,2,6.5
data184,TabPFNv3,accuracy,Last-block,2,2.5
data184,TabPFNv3,accuracy,LoCalPFN,2,6.0
data184,TabPFNv3,accuracy,LoRA,2,4.0
data184,TabPFNv3,accuracy,ln_head_embedding,2,5.0
data184,TabPFNv3,balanced_accuracy,F-aware FT,2,2.0
data184,TabPFNv3,balanced_accuracy,FT,2,3.0
data184,TabPFNv3,balanced_accuracy,Infer,2,5.0
data184,TabPFNv3,balanced_accuracy,Last-block,2,4.0
data184,TabPFNv3,balanced_accuracy,LoCalPFN,2,4.0
data184,TabPFNv3,balanced_accuracy,LoRA,2,5.25
data184,TabPFNv3,balanced_accuracy,ln_head_embedding,2,4.75
data184,TabPFNv3,f1,F-aware FT,2,2.0
data184,TabPFNv3,f1,FT,2,2.0
data184,TabPFNv3,f1,Infer,2,5.5
data184,TabPFNv3,f1,Last-block,2,4.0
data184,TabPFNv3,f1,LoCalPFN,2,3.5
data184,TabPFNv3,f1,LoRA,2,5.25
data184,TabPFNv3,f1,ln_head_embedding,2,5.75
data184,TabPFNv3,roc_auc,F-aware FT,2,2.0
data184,TabPFNv3,roc_auc,FT,2,4.0
data184,TabPFNv3,roc_auc,Infer,2,4.0
data184,TabPFNv3,roc_auc,Last-block,2,3.0
data184,TabPFNv3,roc_auc,LoCalPFN,2,6.0
data184,TabPFNv3,roc_auc,LoRA,2,5.0
data184,TabPFNv3,roc_auc,ln_head_embedding,2,4.0
data184,TabPFNv3,log_loss,F-aware FT,2,1.5
data184,TabPFNv3,log_loss,FT,2,3.5
data184,TabPFNv3,log_loss,Infer,2,4.5
data184,TabPFNv3,log_loss,Last-block,2,3.0
data184,TabPFNv3,log_loss,LoCalPFN,2,6.5
data184,TabPFNv3,log_loss,LoRA,2,4.5
data184,TabPFNv3,log_loss,ln_head_embedding,2,4.5
OpenML-CC18,TabPFNv3,accuracy,F-aware FT,59,3.3559322033898304
OpenML-CC18,TabPFNv3,accuracy,FT,59,3.5677966101694913
OpenML-CC18,TabPFNv3,accuracy,Infer,59,3.1186440677966103
OpenML-CC18,TabPFNv3,accuracy,Last-block,59,3.76271186440678
OpenML-CC18,TabPFNv3,accuracy,LoRA,59,3.542372881355932
OpenML-CC18,TabPFNv3,accuracy,ln_head_embedding,59,3.652542372881356
OpenML-CC18,TabPFNv3,balanced_accuracy,F-aware FT,59,3.5338983050847457
OpenML-CC18,TabPFNv3,balanced_accuracy,FT,59,3.406779661016949
OpenML-CC18,TabPFNv3,balanced_accuracy,Infer,59,3.1610169491525424
OpenML-CC18,TabPFNv3,balanced_accuracy,Last-block,59,3.7203389830508473
OpenML-CC18,TabPFNv3,balanced_accuracy,LoRA,59,3.542372881355932
OpenML-CC18,TabPFNv3,balanced_accuracy,ln_head_embedding,59,3.635593220338983
OpenML-CC18,TabPFNv3,f1,F-aware FT,59,3.4237288135593222
OpenML-CC18,TabPFNv3,f1,FT,59,3.5762711864406778
OpenML-CC18,TabPFNv3,f1,Infer,59,2.9745762711864407
OpenML-CC18,TabPFNv3,f1,Last-block,59,3.7457627118644066
OpenML-CC18,TabPFNv3,f1,LoRA,59,3.5762711864406778
OpenML-CC18,TabPFNv3,f1,ln_head_embedding,59,3.7033898305084745
OpenML-CC18,TabPFNv3,roc_auc,F-aware FT,59,3.8559322033898304
OpenML-CC18,TabPFNv3,roc_auc,FT,59,3.457627118644068
OpenML-CC18,TabPFNv3,roc_auc,Infer,59,2.2457627118644066
OpenML-CC18,TabPFNv3,roc_auc,Last-block,59,3.7966101694915255
OpenML-CC18,TabPFNv3,roc_auc,LoRA,59,3.694915254237288
OpenML-CC18,TabPFNv3,roc_auc,ln_head_embedding,59,3.9491525423728815
OpenML-CC18,TabPFNv3,log_loss,F-aware FT,59,4.093220338983051
OpenML-CC18,TabPFNv3,log_loss,FT,59,3.73728813559322
OpenML-CC18,TabPFNv3,log_loss,Infer,59,2.0847457627118646
OpenML-CC18,TabPFNv3,log_loss,Last-block,59,3.6779661016949152
OpenML-CC18,TabPFNv3,log_loss,LoRA,59,3.610169491525424
OpenML-CC18,TabPFNv3,log_loss,ln_head_embedding,59,3.7966101694915255
Graph-SCM,TabPFNv3,accuracy,F-aware FT,512,1.9609375
Graph-SCM,TabPFNv3,accuracy,FT,512,1.9609375
Graph-SCM,TabPFNv3,accuracy,Infer,512,2.078125
Graph-SCM,TabPFNv3,balanced_accuracy,F-aware FT,512,1.9619140625
Graph-SCM,TabPFNv3,balanced_accuracy,FT,512,1.9560546875
Graph-SCM,TabPFNv3,balanced_accuracy,Infer,512,2.08203125
Graph-SCM,TabPFNv3,f1,F-aware FT,512,1.955078125
Graph-SCM,TabPFNv3,f1,FT,512,1.9541015625
Graph-SCM,TabPFNv3,f1,Infer,512,2.0908203125
Graph-SCM,TabPFNv3,roc_auc,F-aware FT,512,1.966796875
Graph-SCM,TabPFNv3,roc_auc,FT,512,1.9765625
Graph-SCM,TabPFNv3,roc_auc,Infer,512,2.056640625
Graph-SCM,TabPFNv3,log_loss,F-aware FT,512,1.986328125
Graph-SCM,TabPFNv3,log_loss,FT,512,1.990234375
Graph-SCM,TabPFNv3,log_loss,Infer,512,2.0234375
data184,LimiX-2M,accuracy,FT,83,1.5421686746987953
data184,LimiX-2M,accuracy,Infer,83,1.4578313253012047
data184,LimiX-2M,balanced_accuracy,FT,83,1.5421686746987953
data184,LimiX-2M,balanced_accuracy,Infer,83,1.4578313253012047
data184,LimiX-2M,f1,FT,83,1.5662650602409638
data184,LimiX-2M,f1,Infer,83,1.4337349397590362
data184,LimiX-2M,roc_auc,FT,83,1.5421686746987953
data184,LimiX-2M,roc_auc,Infer,83,1.4578313253012047
data184,LimiX-2M,log_loss,FT,83,1.5180722891566265
data184,LimiX-2M,log_loss,Infer,83,1.4819277108433735
