dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank,model_family
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9447665547757095,0.9302484636824631,0.5806270496619059,0.8355837330285324,0.1657719428093112,50.076740741729736,12.772165536880493,ok,,26215,20972,0,6554,0.22062112390995026,57,1e-05,True,49.850425720214844,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9490749570856379,0.950028609574671,0.9490749570856379,0.950028609574671,11,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7336004006009014,0.7330981870160941,0.7326163567434275,0.9028323744727512,0.586042807128688,6.819965362548828,1.3603849411010742,ok,,7987,6389,0,1997,0.6005592942237854,11,1e-05,True,6.783283233642578,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7509386733416771,0.7521902377972466,0.7509386733416771,0.7521902377972466,3,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.9882047979308952,0.9882763953792117,0.9990971974312437,0.03426151810864379,44.675785541534424,20.372329235076904,ok,,31492,25193,0,7874,0.0430933590978384,45,1e-05,True,44.42198586463928,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9866645499285601,0.9871408160025401,0.9866645499285601,0.9871408160025401,7,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5861663652802893,0.5848975153051571,0.5676912206981365,0.7649154844834346,0.8747764927646111,67.36733937263489,36.63465666770935,ok,,44236,35388,0,11060,0.8829557001590729,60,1e-05,True,66.97509598731995,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5762884267631103,0.5782097649186256,0.5762884267631103,0.5782097649186256,7,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8148336296672594,0.8127924569695848,0.7858749171640029,0.8827866104146994,0.4067285411439342,25.652166843414307,20.43925905227661,ok,,31492,25193,0,7874,0.43619677424430847,24,1e-05,True,25.3379008769989,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8096523257659946,0.8096523257659946,0.8096523257659946,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.8646485918873154,0.7431792347046584,0.8824417637976959,0.3130610587670477,13.163759231567383,2.749739170074463,ok,,8000,6400,0,2000,0.3610592633485794,17,1e-05,True,13.077148199081421,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.861875,0.865,0.861875,0.865,9,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.7002842928216062,0.6796598157335223,0.7438577840774864,0.5768083152248881,4.501964569091797,0.3841707706451416,ok,,1072,857,0,268,0.6040752828121185,16,1e-05,True,4.470599412918091,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7674418604651163,0.7581395348837209,0.7674418604651163,8,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9212693798449613,0.9212689224392804,0.9212706524150283,0.979710311624506,0.18322933928642446,25.602957010269165,7.1628265380859375,ok,,16512,13209,0,4128,0.2648032009601593,34,1e-05,True,25.465269327163696,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9182561307901907,0.9197699061459279,0.9182561307901907,0.9197699061459279,9,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7335714285714285,0.7328960175549605,0.7335427701364148,0.8010897819885002,0.5434337974506116,69.88876366615295,57.00929355621338,ok,,56000,44800,0,14000,0.5398253202438354,55,1e-05,True,69.39348673820496,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7323214285714286,0.7348214285714286,0.7323214285714286,0.7348214285714286,3,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8329161451814768,0.7611109044068115,0.5076407631414864,0.6272200481637568,0.4379684838233991,30.852856397628784,7.304643630981445,ok,,31958,25566,0,7990,0.42322054505348206,36,1e-05,True,30.766112565994263,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8324468085106383,0.8322903629536921,0.8324468085106383,4,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9770833333333333,0.97708960094233,0.9776835372636263,0.9958982202447164,0.06704641886808102,5.758609294891357,0.8926167488098145,ok,,1920,1536,0,480,0.09503763169050217,13,1e-05,True,5.68475341796875,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9661458333333334,0.96875,0.9661458333333334,0.96875,5,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9833333333333333,0.9833353605208134,0.9834538375973303,0.9974624582869854,0.05362360192431707,5.535844326019287,0.8880462646484375,ok,,1920,1536,0,480,0.12910908460617065,12,1e-05,True,5.465959787368774,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9661458333333334,0.9635416666666666,0.9661458333333334,4,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9625,0.9625097671511172,0.9631535038932146,0.9923873748609566,0.10971898676079954,3.7523818016052246,0.9506537914276123,ok,,1920,1536,0,480,0.096864964812994,8,1e-05,True,3.68338942527771,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.96875,0.96875,0.96875,0.96875,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708409321175279,0.9712180200222469,0.9954115684093436,0.08694123222190231,4.558195114135742,0.8861713409423828,ok,,1920,1536,0,480,0.13345524668693542,10,1e-05,True,4.488519191741943,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9609375,0.9635416666666666,0.9609375,0.9635416666666666,2,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666667,0.9666753509914604,0.9670467185761957,0.9932390155728588,0.10032924017729868,6.602659463882446,0.9005684852600098,ok,,1920,1536,0,480,0.12694565206766129,15,1e-05,True,6.5352232456207275,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.953125,0.9557291666666666,0.953125,0.9557291666666666,7,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.82085,0.820830023368299,0.830858082353669,0.9319188320808776,0.4203103866098304,311.37049889564514,117.2822380065918,ok,,80000,64000,0,20000,0.7113671600818634,182,1e-05,True,309.8365340232849,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,accuracy,0.812875,0.817375,0.812875,0.817375,18,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.8819285508425728,0.7204332667371802,0.9132487170446978,0.24365334366666874,3.6985716819763184,0.7566747665405273,ok,,1792,1433,0,448,0.28261490166187286,8,1e-05,True,3.635586738586426,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8913649025069638,0.8913649025069638,0.8913649025069638,0.8913649025069638,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.838452273411623,0.48828654893543694,2.712765693664551,0.8871521949768066,ok,,920,736,0,231,0.4281512647867203,8,1e-05,True,2.672292709350586,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7445652173913043,0.7445652173913043,0.7445652173913043,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6763636363636364,0.6643989307797264,0.7263047265614603,0.7300028936203827,0.5037283852257943,8.792979001998901,3.076875686645508,ok,,8799,7039,0,2200,0.4985136389732361,10,1e-05,True,8.704821348190308,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6823863636363636,0.6829545454545455,0.6823863636363636,0.6829545454545455,2,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8592910848549946,0.8525054685391413,0.810195887888707,0.8778078968903437,0.3554862357260402,5.628837823867798,1.0615787506103516,ok,,3722,2977,0,931,0.3870662897825241,14,1e-05,True,5.583388328552246,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8523489932885906,0.8550335570469799,0.8523489932885906,0.8550335570469799,6,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7544303797468355,0.7541545270475859,0.7532469933724767,0.8263356739899499,0.5124602387620092,16.19093608856201,3.467470169067383,ok,,7896,6316,0,1975,0.5263676941394806,15,1e-05,True,16.02583956718445,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7487341772151899,0.7512658227848101,0.7487341772151899,0.7512658227848101,7,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8316402304996138,0.5063799018731765,3.204880475997925,0.5004689693450928,ok,,1467,1173,0,367,0.5399859845638275,11,1e-05,True,3.1755926609039307,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,3,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7168282943525385,0.7166500788976798,0.7161627686050199,0.7895567560548071,0.5529570687674815,34.906107664108276,24.468320608139038,ok,,35060,28048,0,8765,0.5484904646873474,30,1e-05,True,34.60953903198242,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7154877353108956,0.7173416999429549,0.7154877353108956,0.7173416999429549,2,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7493188010899182,0.749274129655601,0.7495692984019486,0.8396304877324304,0.4965184895440437,4.064382553100586,0.4977996349334717,ok,,1466,1172,0,367,0.5335311889648438,14,1e-05,True,4.03197717666626,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,6,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.782016348773842,0.7815679029797274,0.7808394269068426,0.8556714820759763,0.4746578772230997,3.4001400470733643,0.5084128379821777,ok,,1465,1172,0,367,0.5736989378929138,12,1e-05,True,3.3725619316101074,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7508532423208191,0.757679180887372,0.7508532423208191,0.757679180887372,4,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7207073588134626,0.7207129694684378,0.7204762318689225,0.8005024906438654,0.540611073522808,64.5132086277008,24.602672815322876,ok,,35060,28048,0,8765,0.5772263705730438,57,1e-05,True,64.24574112892151,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7183399885909869,0.7197661152310325,0.7183399885909869,0.7197661152310325,11,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7110096976611523,0.711026863696687,0.7108212517488698,0.7867031803166058,0.5545875239680316,39.91842269897461,24.58890438079834,ok,,35060,28048,0,8765,0.5818564593791962,33,1e-05,True,39.58479905128479,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7007986309184255,0.71406160867085,0.7007986309184255,0.71406160867085,3,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7070165430690245,0.7070125551699793,0.7059721251398847,0.7858340152754335,0.5549286913186079,29.248368740081787,24.604437112808228,ok,,35060,28048,0,8765,0.5685342252254486,24,1e-05,True,28.92342448234558,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7102110667427267,0.7102110667427267,0.7102110667427267,0.7102110667427267,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7275204359673024,0.7272531562094675,0.727607507721549,0.793196127346163,0.5531182957288643,3.0899384021759033,0.5103580951690674,ok,,1467,1173,0,367,0.6051702797412872,10,1e-05,True,3.0613765716552734,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7040816326530612,0.7006802721088435,0.7040816326530612,2,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7159155733029093,0.7158882806377188,0.7154630943663618,0.7900355774485146,0.5537973846450552,28.35549306869507,24.652512311935425,ok,,35060,28048,0,8765,0.5652521550655365,24,1e-05,True,28.073463439941406,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7139189960068454,0.7139189960068454,0.7139189960068454,0.7139189960068454,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data184/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8791666666666667,0.8773704055474667,0.7965378040041882,0.9704543789116463,0.3156933918031613,8.981593370437622,3.4484269618988037,ok,,8640,6912,0,2160,0.32656604051589966,8,1e-05,True,8.82337212562561,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8674768518518519,0.8674768518518519,0.8674768518518519,0.8674768518518519,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data184/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.8231505336768494,0.4538117058789082,2.3703866004943848,0.29262781143188477,ok,,1200,960,0,300,0.4412402808666229,8,1e-05,True,2.3451602458953857,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6727529066015349,0.6781250000000001,0.728984375,0.6022763108880843,5.263715982437134,0.5112977027893066,ok,,1280,1024,0,320,0.6655226945877075,15,1e-05,True,5.20641016960144,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.65234375,0.65625,0.65234375,0.65625,7,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6842238962003302,0.684375,0.7597265625,0.5670224624765797,3.0352652072906494,0.5146255493164062,ok,,1280,1024,0,320,0.5019325613975525,8,1e-05,True,2.979618787765503,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.671875,0.671875,0.671875,0.671875,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data184/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6147368421052631,0.5695262646275574,0.4311806850344764,0.7084044059764215,0.7903143501520962,3.807431936264038,1.2430622577667236,ok,,3796,3036,0,950,0.824505627155304,8,1e-05,True,3.758294105529785,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6092105263157894,0.6092105263157894,0.6092105263157894,0.6092105263157894,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data184/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8273417721518987,0.8260853739124627,0.802370869395916,0.9674377739901914,0.4795279464544412,10.297095775604248,3.993936777114868,ok,,7898,6318,0,1975,0.6678471267223358,8,1e-05,True,10.083483219146729,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7879746835443038,0.7879746835443038,0.7879746835443038,0.7879746835443038,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data184/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.800365344467641,0.8031215694177479,0.7481278673429091,0.8107219744243476,0.42974197653507934,20.051584482192993,6.962967872619629,ok,,15326,12260,0,3832,0.4435184746980667,24,1e-05,True,19.839894771575928,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.8036529680365296,0.8049575994781474,0.8036529680365296,0.8049575994781474,4,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data184/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9537815126050421,0.9536614172576187,0.9511664407505172,0.9830919597631447,0.1517899535606789,2.409296989440918,0.7453043460845947,ok,,952,761,0,238,0.2644689679145813,8,1e-05,True,2.3817381858825684,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9109947643979057,0.9109947643979057,0.9109947643979057,0.9109947643979057,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data184/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9044796691936595,0.9038057978420256,0.8849647425796934,0.9630149393626878,0.2224646849778987,52.52332663536072,19.448200464248657,ok,,29020,23216,0,7255,0.32201650738716125,48,1e-05,True,52.08109521865845,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9016195727084769,0.903342522398346,0.9016195727084769,0.903342522398346,8,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Insurance,/home/crc00006699/zh/tabiclv2/data184/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5050075392867521,0.5557533628160399,14.998518705368042,9.01633620262146,ok,,18838,15070,0,4710,0.5388211309909821,16,1e-05,True,14.802091598510742,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data184/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9440909090909091,0.9440914289155365,0.9441031083076918,0.9900876151182982,0.1315291099809698,15.348170757293701,3.6752021312713623,ok,,8800,7040,0,2200,0.10584410652518272,14,1e-05,True,15.198391675949097,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9517045454545454,0.9522727272727273,0.9517045454545454,0.9522727272727273,6,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data184/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.49836065573770494,0.7392622950819672,0.32511107072890744,2.7108960151672363,0.5284838676452637,ok,,1378,1102,0,345,0.31372150778770447,8,1e-05,True,2.6715526580810547,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data184/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9994982438534872,0.999498083906782,0.9993540051679586,1.0,0.0009732406068493767,7.161312103271484,2.966900110244751,ok,,7968,6374,0,1993,0.014703705441206694,8,1e-05,True,7.062840223312378,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9968632371392723,0.9968632371392723,0.9968632371392723,0.9968632371392723,0,True,False,,ln_head_embedding,"col,row,icl",573578,0.020817821900477266,,tabiclv2
