dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,peft_method,peft_targets,peft_trainable_params,peft_trainable_ratio,peft_rank,model_family
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9449191333536772,0.9303561601436307,0.580708021321825,0.8358501490177647,0.165821083639346,60.12035346031189,12.755859136581421,ok,,26215,20972,0,6554,0.18565168231725693,63,1e-05,True,59.8903226852417,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9490749570856379,0.950028609574671,0.9490749570856379,0.950028609574671,13,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7351026539809714,0.7346032156885077,0.7341204857086395,0.9030193642303451,0.5853536987732534,12.865544080734253,1.356496810913086,ok,,7987,6389,0,1997,0.612763375043869,19,1e-05,True,12.829782962799072,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7509386733416771,0.753441802252816,0.7509386733416771,0.753441802252816,11,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239523,0.9880774596607574,0.9880918254272,0.9990903006256797,0.03429511706969288,47.52448558807373,20.580612659454346,ok,,31492,25193,0,7874,0.04319358803331852,45,1e-05,True,47.26388120651245,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9866645499285601,0.9872995713605334,0.9866645499285601,0.9872995713605334,7,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5877034358047016,0.5863300007958663,0.5688607960217161,0.7646991334405436,0.8750926229510356,75.66740775108337,36.83501100540161,ok,,44236,35388,0,11060,0.9084772169589996,64,1e-05,True,75.26598405838013,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5762884267631103,0.5777576853526221,0.5762884267631103,0.5777576853526221,8,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8147066294132588,0.8126935701163973,0.7858633516182831,0.8828008805188027,0.4067124013336512,27.294334888458252,20.531416654586792,ok,,31492,25193,0,7874,0.43672652542591095,24,1e-05,True,26.964378595352173,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8096523257659946,0.8096523257659946,0.8096523257659946,0.8096523257659946,0,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.875,0.8648358896033153,0.7440938627379305,0.8819736531600938,0.313754796589385,7.714803218841553,2.8107285499572754,ok,,8000,6400,0,2000,0.33943071961402893,8,1e-05,True,7.624145746231079,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.861875,0.861875,0.861875,0.861875,0,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.6996191714905836,0.6777699031419797,0.7436806047720291,0.578142398832161,3.566418170928955,0.3994479179382324,ok,,1072,857,0,268,0.5347382128238678,8,1e-05,True,3.531824827194214,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7581395348837209,0.7581395348837209,0.7581395348837209,0,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9222383720930233,0.9222382123747346,0.9222391754174496,0.9796538574843987,0.18346943527966478,17.262107849121094,7.200579643249512,ok,,16512,13209,0,4128,0.21215708553791046,20,1e-05,True,17.121092557907104,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9182561307901907,0.9197699061459279,0.9182561307901907,0.9197699061459279,2,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7342142857142857,0.733920766192104,0.7341953825944106,0.8015808025569968,0.5423542210938275,134.42422556877136,58.0918984413147,ok,,56000,44800,0,14000,0.560018390417099,105,1e-05,True,133.92109727859497,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7323214285714286,0.7347321428571428,0.7323214285714286,0.7347321428571428,13,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8331664580725907,0.7614687906923444,0.5080874900367043,0.5502956895942489,0.4588764799912411,36.02772355079651,7.310715436935425,ok,,31958,25566,0,7990,0.6681482046842575,39,1e-05,True,35.93586254119873,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8324468085106383,0.8322903629536921,0.8324468085106383,5,True,False,,lora,"col,row,icl",411712,0.01472294527565292,4,tabiclv2
