model,seed,baseline_ok,ttt_ok,common_ok,baseline_only_ok,ttt_only_ok,baseline_acc_common,ttt_acc_common,delta_acc,delta_pp,wins,losses,ties,median_delta_acc,min_delta_acc,max_delta_acc,baseline_f1_common,ttt_f1_common,delta_f1,baseline_balanced_accuracy_common,ttt_balanced_accuracy_common,delta_balanced_accuracy,baseline_roc_auc_common,ttt_roc_auc_common,delta_roc_auc,baseline_log_loss_common,ttt_log_loss_common,delta_log_loss,ttt_applied_true_all,ttt_applied_true_ok,ttt_applied_false_ok,ttt_oom_fallback_true_ok,ttt_failed,ttt_failed_datasets
tabpfn_v2,3,184,180,180,4,0,0.8499533349182457,0.8478391119487324,-0.0021142229695134225,-0.21142229695134224,65,83,32,0.0,-0.11643835616438358,0.027118644067796627,0.8403835306759511,0.8380798590667562,-0.0023036716091948068,0.7736158453544176,0.7690202005556134,-0.00459564479880436,0.8969387007030877,0.8951526682821338,-0.0017860324209539838,0.3394051730361479,0.3434164956932431,0.0040113226570951555,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v2,10,184,180,180,4,0,0.8499497523972331,0.8485397516404601,-0.0014100007567729906,-0.14100007567729905,68,82,30,0.0,-0.06849315068493145,0.027118644067796627,0.8403817117133262,0.8386419730857287,-0.001739738627597626,0.7736433094089339,0.7693197586141837,-0.004323550794750286,0.8969381729435785,0.8953132969351765,-0.0016248760084018408,0.33940056902331456,0.34366673269127984,0.0042661636679652195,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v2,16,184,89,89,95,0,0.8523786850711847,0.8500159385343627,-0.0023627465368217943,-0.23627465368217943,25,42,22,0.0,-0.03884826325411339,0.015625,0.8395641690117106,0.8367840279523783,-0.002780141059332359,0.7527764662262054,0.7456479609412449,-0.007128505284960523,0.8946440669818385,0.8920182059281405,-0.002625861053697976,0.34538833556273324,0.3505335973773142,0.005145261814581002,89,89,0,0,3,"accelerometer,internet_firewall,shuttle"
tabpfn_v2,42,184,180,180,4,0,0.849951875920478,0.8480317488993604,-0.001920127021117773,-0.19201270211177732,62,86,32,0.0,-0.06849315068493145,0.02499999999999991,0.8403839327432171,0.8381616064667998,-0.002222326276417315,0.7736277286237895,0.7687241628581994,-0.004903565765590019,0.8969433458257088,0.8948786459704334,-0.002064699855275235,0.33939915753618616,0.34349674674352576,0.004097589207339632,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v2,2025,184,89,89,95,0,0.8523782525197889,0.8500226089556782,-0.0023556435641107105,-0.23556435641107104,36,37,16,0.0,-0.050000000000000044,0.013623978201634857,0.8395636919883721,0.8367785185254025,-0.0027851734629696983,0.7527748320571488,0.745484369797842,-0.007290462259306663,0.8946434270451475,0.8919715205510438,-0.002671906494103738,0.3453934338763724,0.35011127907755796,0.004717845201185566,89,89,0,0,3,"accelerometer,internet_firewall,shuttle"
tabpfn_v2,2026,184,91,91,93,0,0.8475756684796402,0.8465830660199642,-0.0009926024596758926,-0.09926024596758926,38,40,13,0.0,-0.09344422700587085,0.023728813559322104,0.8411826474243134,0.8403750738482407,-0.0008075735760727558,0.794028039264661,0.7936931682263542,-0.00033487103830682753,0.8991839776605443,0.8983638883169828,-0.0008200893435614663,0.3335539387201906,0.33689138630818455,0.003337447587993875,91,91,0,0,1,wine-quality-white
tabpfn_v3,3,184,180,180,4,0,0.8554676581832005,0.8508437149686924,-0.004623943214508107,-0.46239432145081066,52,104,24,-0.0011803863706550954,-0.0846292947558771,0.03004506760140213,0.846903812448156,0.8419632604447196,-0.004940552003436433,0.7816187359595096,0.7765576469750731,-0.0050610889844364335,0.9024813047297385,0.8981220274829654,-0.004359277246773324,0.3238943405710912,0.3353238136744007,0.011429473103309539,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v3,10,184,180,180,4,0,0.8554705362833255,0.8502547976301452,-0.005215738653180131,-0.5215738653180131,47,103,30,-0.0016047964320496377,-0.11468122936245873,0.03154732098147228,0.8469061074745342,0.8411190335164765,-0.005787073958057606,0.7816259186481053,0.7759017980180393,-0.005724120630066102,0.9024825659634862,0.8973556513691107,-0.005126914594375567,0.3238909828048429,0.3374481769220423,0.013557194117199418,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v3,16,184,180,180,4,0,0.855461079668629,0.8518889821534202,-0.003572097515208815,-0.3572097515208815,48,99,33,-0.0008397578059978206,-0.0798319327731093,0.03304957436154232,0.8468955774707124,0.8426660355824135,-0.004229541888299031,0.7816090388198749,0.776439660302306,-0.005169378517568674,0.90248171283487,0.898563783057945,-0.0039179297769249,0.3238910800976585,0.3335777782059152,0.009686698108256777,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v3,42,184,180,180,4,0,0.8554656023973968,0.8480123697295255,-0.007453232667871298,-0.7453232667871298,48,108,24,-0.0013989942857320914,-0.4568210262828536,0.030545818728092144,0.8469002396411948,0.8389780603826669,-0.007922179258527774,0.7816145119603,0.7736931961277573,-0.00792131583254247,0.9024800484620324,0.8968894420299265,-0.0055906064321059835,0.32389701562015205,0.3401526384676537,0.016255622847501615,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v3,2025,184,180,180,4,0,0.855461079668629,0.850257686197861,-0.005203393470767858,-0.5203393470767858,53,101,26,-0.0010017561465127667,-0.3925577851155703,0.03500000000000003,0.846896611310666,0.8408758318637521,-0.006020779446914045,0.7816120240356448,0.7766838873165814,-0.004928136719063401,0.9024811495483446,0.8969355215352666,-0.0055456280130781474,0.32389479987916503,0.3373227832630403,0.013427983383875252,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
tabpfn_v3,2026,184,180,180,4,0,0.8554697139690041,0.8497684267667411,-0.005701287202262848,-0.5701287202262848,52,106,22,-0.0013762626262625588,-0.1615443230886462,0.032467532467532534,0.8469083418485194,0.8401870549905084,-0.006721286858010836,0.7816334126462566,0.7743439856161565,-0.007289427030100248,0.9024808055778607,0.8970161452042831,-0.005464660373577685,0.3238928252567403,0.3385118396202897,0.014619014363549414,180,180,0,0,4,"wine-quality-white,accelerometer,internet_firewall,shuttle"
