dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7691537305958939,0.76865407746545,0.7686058084000438,0.9184233284754234,0.5405041417540836,16.918850660324097,1.2376172542572021,ok,,7987,6389,0,1997,0.5669014155864716,True,0.1,False,23,1e-05,True,16.883553743362427,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9984>=2000,30,1,epoch_chunk,accuracy,0.7490613266583229,0.7784730913642053,0.7490613266583229,0.7784730913642053,15,True,False,,f_mmd,test,standardized_l2,2.7880152284378377,0.5126020498832047,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5863471971066908,0.5852987623530594,0.5677961123750667,0.7644240223586013,0.875212832965768,67.85134243965149,34.22586369514465,ok,,44236,35388,0,11060,0.9034137427806854,True,0.1,False,60,1e-05,True,67.45016479492188,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=55296>=2000,30,4,epoch_chunk,accuracy,0.573123869801085,0.579000904159132,0.573123869801085,0.579000904159132,7,True,False,,f_mmd,test,standardized_l2,2.79432119309584,0.4145964578630881,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8765,0.8654231312914972,0.7413769701905295,0.8759167487981048,0.31959208091241526,7.001170635223389,2.379823923110962,ok,,8000,6400,0,2000,0.33487364649772644,True,0.1,False,8,1e-05,True,6.913808107376099,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10000>=2000,30,1,epoch_chunk,accuracy,0.86625,0.86625,0.86625,0.86625,0,True,False,,f_mmd,test,standardized_l2,1.9714396365922564,0.3832377446610412,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9183624031007752,0.918361718005173,0.9183610928864263,0.9779058917700192,0.19047865594754732,41.03701186180115,6.533181667327881,ok,,16512,13209,0,4128,0.24455944448709488,True,0.1,False,54,1e-05,True,40.899781942367554,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=20640>=2000,30,2,epoch_chunk,accuracy,0.8991825613079019,0.911595519224947,0.8991825613079019,0.911595519224947,19,True,False,,f_mmd,test,standardized_l2,7.588304091144052,12.422353217839715,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8321652065081352,0.7565614358353338,0.5018573551263001,0.6259248197213767,0.4398453465824276,35.600979804992676,6.91022515296936,ok,,31958,25566,0,7990,0.4702212065458298,True,0.1,False,42,1e-05,True,35.51486825942993,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39948>=2000,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8327596996245307,0.8322903629536921,0.8327596996245307,6,True,False,,f_mmd,test,standardized_l2,186.67616031451516,5491.78852005629,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666667,0.9666753509914604,0.9670467185761957,0.9934128197997776,0.09714761652820385,6.141860008239746,0.6990635395050049,ok,,1920,1536,0,480,0.1246228814125061,True,0.1,False,13,1e-05,True,6.072146415710449,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9635416666666666,0.96875,0.9635416666666666,0.96875,5,True,False,,f_mmd,test,standardized_l2,2.9673940492514586,0.4280873122957919,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619654353574,0.9568270300333704,0.992039766407119,0.12784076282302045,10.329127073287964,0.7032744884490967,ok,,1920,1536,0,480,0.04729396477341652,True,0.1,False,24,1e-05,True,10.25820016860962,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9479166666666666,0.9609375,0.9479166666666666,0.9609375,16,True,False,,f_mmd,test,standardized_l2,2.671667848824469,0.37503584229351733,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.8062,0.8063094681156746,0.8102632754692588,0.9233790198346424,0.46083046739045547,358.5524163246155,110.04515719413757,ok,,80000,64000,0,20000,0.641184389591217,True,0.1,False,203,1e-05,True,357.0547025203705,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=100000>=2000,30,7,epoch_chunk,accuracy,0.78925,0.8160625,0.78925,0.8160625,21,True,False,,f_mmd,test,standardized_l2,2.7378888322606523,11.934273427643102,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7575757575757576,0.7574204511195769,0.7559846431797652,0.8425173140620295,0.48652033186190385,6.289711952209473,0.5202441215515137,ok,,920,736,0,231,0.4027020335197449,True,0.1,True,20,1e-05,True,6.242025136947632,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1151<2000,30,1,epoch_chunk,accuracy,0.6739130434782609,0.7282608695652174,0.6739130434782609,0.7282608695652174,12,True,False,,f_mmd,test,standardized_l2,5.664250304322983,5.561929671744881,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8603651987110634,0.8539249123234809,0.8125025572831424,0.8758643617021277,0.358479042688594,8.053328037261963,0.9086818695068359,ok,,3722,2977,0,931,0.37442632019519806,True,0.1,False,21,1e-05,True,8.004352807998657,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=4653>=2000,30,1,epoch_chunk,accuracy,0.8469798657718121,0.8577181208053691,0.8469798657718121,0.8577181208053691,13,True,False,,f_mmd,test,standardized_l2,2.470791548339391,0.3079936704936953,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7520435967302452,0.7512005157471114,0.7512921047941543,0.8267391433493733,0.5175836912167032,3.0794742107391357,0.3627808094024658,ok,,1467,1173,0,367,0.5709124505519867,True,0.1,True,10,1e-05,True,3.045240640640259,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1834<2000,30,1,epoch_chunk,accuracy,0.7210884353741497,0.7244897959183674,0.7210884353741497,0.7244897959183674,2,True,False,,f_mmd,test,standardized_l2,6.945461230026011,6.1315912058359245,,True
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7465940054495913,0.7465940054495913,0.7467326085665063,0.8283134319491476,0.5077908084305355,3.7114596366882324,0.36162328720092773,ok,,1466,1172,0,367,0.5495598614215851,True,0.1,True,12,1e-05,True,3.677401065826416,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1833<2000,30,1,epoch_chunk,accuracy,0.7244897959183674,0.7380952380952381,0.7244897959183674,0.7380952380952381,4,True,False,,f_mmd,test,standardized_l2,3.7277986010223416,0.7163133752509514,,True
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7237877923559612,0.7238224378504134,0.7242892730184052,0.7958712208975407,0.5527826066138054,59.100279808044434,22.772247076034546,ok,,35060,28048,0,8765,0.5453506410121918,True,0.1,False,51,1e-05,True,58.8313570022583,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.680405019965773,0.7127780946948089,0.680405019965773,0.7127780946948089,9,True,False,,f_mmd,test,standardized_l2,4.451297781660737,4.82516044234295,,True
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7032515687393041,0.7034969227786421,0.7035429970459219,0.7802718809365145,0.5670865648693051,84.36705183982849,22.808635711669922,ok,,35060,28048,0,8765,0.5546554923057556,True,0.1,False,72,1e-05,True,84.0418438911438,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.6488876212207644,0.7144894466628636,0.6488876212207644,0.7144894466628636,16,True,False,,f_mmd,test,standardized_l2,4.069167608838231,3.0725488284327875,,True
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7100969766115232,0.7100847880629779,0.7110444559622985,0.7809497579321747,0.5679037735445348,62.938796043395996,22.783626079559326,ok,,35060,28048,0,8765,0.5569622814655304,True,0.1,False,54,1e-05,True,62.65360999107361,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.6822589845978323,0.7152025099828865,0.6822589845978323,0.7152025099828865,10,True,False,,f_mmd,test,standardized_l2,5.0751026383273325,5.18723860676393,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data184/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.792733543259859,0.7423891897576108,0.8219149271780851,0.4539783214387664,4.495064973831177,0.24515342712402344,ok,,1200,960,0,300,0.46776989102363586,True,0.1,True,17,1e-05,True,4.4687933921813965,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1500<2000,30,1,epoch_chunk,accuracy,0.7666666666666667,0.7833333333333333,0.7666666666666667,0.7833333333333333,9,True,False,,f_mmd,test,standardized_l2,2.8470590971333096,1.3371855765451675,,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6808011265842591,0.68125,0.7521875000000001,0.5488929321991869,3.239058494567871,0.3950033187866211,ok,,1280,1024,0,320,0.5037683248519897,True,0.1,True,8,1e-05,True,3.1807656288146973,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1600<2000,30,1,epoch_chunk,accuracy,0.68359375,0.68359375,0.68359375,0.68359375,0,True,False,,f_mmd,test,standardized_l2,2.760004018332749,0.7851864701644636,,True
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data184/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8354430379746836,0.8344823290768348,0.8151441686131576,0.9672618813386767,0.47323778357644347,37.52846384048462,3.201040744781494,ok,,7898,6318,0,1975,0.622215747833252,True,0.1,False,30,1e-05,True,37.317344665527344,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9873>=2000,30,1,epoch_chunk,accuracy,0.7468354430379747,0.799367088607595,0.7468354430379747,0.799367088607595,23,False,False,,f_mmd,test,standardized_l2,10.164513204206573,8.802748713724569,,True
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data184/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9495798319327731,0.9494787388639667,0.9473496468573874,0.9825925661696511,0.15965201715989127,3.6153759956359863,0.4878709316253662,ok,,952,761,0,238,0.19731683284044266,True,0.1,True,13,1e-05,True,3.5863959789276123,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1190<2000,30,1,epoch_chunk,accuracy,0.8952879581151832,0.9109947643979057,0.8952879581151832,0.9109947643979057,5,True,False,,f_mmd,test,standardized_l2,2.2970137208557984,0.7238989973059451,,True
