dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9453768690875801,0.9330928453323867,0.5995252796086014,0.8393306485210388,0.1666634573450046,76.30424380302429,11.991189956665039,ok,,26215,20972,0,6554,0.2148042693734169,True,0.1,False,90,1e-05,True,76.0830590724945,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=32769>=2000,30,3,epoch_chunk,accuracy,0.947167652107572,0.9502193400724775,0.947167652107572,0.9502193400724775,26,False,False,,f_mmd,test,standardized_l2,3.4619756433109385,0.7290008275459123,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9885699771399543,0.9885779389194748,0.9880402244570732,0.9991397932459191,0.033101130041525956,33.88652014732361,18.99869203567505,ok,,31492,25193,0,7874,0.0339253805577755,True,0.1,False,33,1e-05,True,33.63245439529419,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.9863470392125734,0.9866645499285601,0.9863470392125734,0.9866645499285601,3,True,False,,f_mmd,test,standardized_l2,4.03468127466638,0.7850725487970153,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8149606299212598,0.8124693303264459,0.78408695496832,0.8833905454190367,0.40431102291573506,41.06981921195984,19.002087116241455,ok,,31492,25193,0,7874,0.39587245881557465,True,0.1,False,39,1e-05,True,40.74167609214783,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.8056834418161612,0.807906016828068,0.8056834418161612,0.807906016828068,5,True,False,,f_mmd,test,standardized_l2,1.585180139223586,0.11227703589246589,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,0.7112085072156479,0.6905858729033783,0.7455705173635719,0.5789584975095211,3.737253427505493,0.29508209228515625,ok,,1072,857,0,268,0.5483622550964355,True,0.1,True,11,1e-05,True,3.7053165435791016,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1340<2000,30,1,epoch_chunk,accuracy,0.7395348837209302,0.7441860465116279,0.7395348837209302,0.7441860465116279,3,True,False,,f_mmd,test,standardized_l2,4.639848744988572,2.2692785611157213,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7349285714285714,0.7345637987763912,0.7349074644595802,0.8003304041895196,0.543449969535101,52.93497586250305,55.1628098487854,ok,,56000,44800,0,14000,0.551032543182373,True,0.1,False,40,1e-05,True,52.43161392211914,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=70000>=2000,30,5,epoch_chunk,accuracy,0.7344642857142857,0.7344642857142857,0.7344642857142857,0.7344642857142857,0,True,False,,f_mmd,test,standardized_l2,9.176271858979922,71.74893279752877,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708394101442229,0.9716351501668521,0.992769744160178,0.09323964107372816,8.839387655258179,0.7008669376373291,ok,,1920,1536,0,480,0.08910264074802399,True,0.1,False,19,1e-05,True,8.765584945678711,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9713541666666666,0.9635416666666666,0.9713541666666666,11,True,False,,f_mmd,test,standardized_l2,3.2351870649738954,0.5772295595241085,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619670978078,0.9566879866518354,0.9883203559510567,0.13694655295416164,3.9249837398529053,0.7126061916351318,ok,,1920,1536,0,480,0.11818290129303932,True,0.1,False,8,1e-05,True,3.8557076454162598,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.96875,0.96875,0.96875,0.96875,0,True,False,,f_mmd,test,standardized_l2,2.4236105300425663,0.2842333772813796,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9479166666666666,0.9479291011032736,0.9486234705228032,0.9905971913236931,0.12049070092550172,6.878709316253662,0.7042303085327148,ok,,1920,1536,0,480,0.07634250447154045,True,0.1,False,15,1e-05,True,6.8090128898620605,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9375,0.9479166666666666,0.9375,0.9479166666666666,7,True,False,,f_mmd,test,standardized_l2,2.7887292983382865,0.24399856711095555,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8883928571428571,0.8731348647771452,0.6822188271242214,0.892995651662945,0.26774022046850404,6.118770599365234,0.6046473979949951,ok,,1792,1433,0,448,0.21406707912683487,True,0.1,False,15,1e-05,True,6.055494070053101,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2240>=2000,30,1,epoch_chunk,accuracy,0.8802228412256268,0.8885793871866295,0.8802228412256268,0.8885793871866295,7,True,False,,f_mmd,test,standardized_l2,5.096833339744329,1.5476323432049601,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6777272727272727,0.6673873231451636,0.725435352485036,0.7319279668839315,0.5059531314326227,10.606228351593018,2.687901258468628,ok,,8799,7039,0,2200,0.5063424408435822,True,0.1,False,12,1e-05,True,10.517356395721436,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10999>=2000,30,1,epoch_chunk,accuracy,0.6840909090909091,0.6857954545454545,0.6840909090909091,0.6857954545454545,4,True,False,,f_mmd,test,standardized_l2,2.215045841396021,0.42010142227020314,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7473417721518988,0.7471696257546632,0.7463960530694924,0.8246608170795343,0.5147678449230572,26.192195415496826,2.8489673137664795,ok,,7896,6316,0,1975,0.5261222422122955,True,0.1,False,24,1e-05,True,26.025192737579346,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9871>=2000,30,1,epoch_chunk,accuracy,0.7424050632911392,0.7537974683544304,0.7424050632911392,0.7537974683544304,16,True,False,,f_mmd,test,standardized_l2,4.745602402145033,5.103662296088194,,True
