dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9447665547757095,0.931405144679745,0.589295076538515,0.8381261149626654,0.1659825206054806,34.96475124359131,11.933415174484253,ok,,26215,20972,0,6554,0.2162569910287857,True,0.1,False,36,1e-05,True,34.738237142562866,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=32769>=2000,30,3,epoch_chunk,accuracy,0.9486934960900248,0.9504100705702841,0.9486934960900248,0.9504100705702841,4,True,False,,f_mmd,test,standardized_l2,3.4619756433109408,0.7290008275458928,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9886969773939548,0.9887063130234288,0.9883125589399931,0.9991735983136059,0.03271890799749621,43.02974772453308,19.04023241996765,ok,,31492,25193,0,7874,0.04329167678952217,True,0.1,False,42,1e-05,True,42.771058320999146,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.9868233052865534,0.9872995713605334,0.9868233052865534,0.9872995713605334,6,True,False,,f_mmd,test,standardized_l2,4.03468127466638,0.7850725487970153,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8153416306832614,0.8124504917573092,0.7828362746473345,0.8840309919615543,0.40381096383193527,50.96795034408569,19.272100687026978,ok,,31492,25193,0,7874,0.40859217941761017,True,0.1,False,48,1e-05,True,50.51806306838989,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.8056834418161612,0.8091760596920146,0.8056834418161612,0.8091760596920146,8,True,False,,f_mmd,test,standardized_l2,1.585180139223586,0.11227703589246985,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7077771855010662,0.6875738247106071,0.7452161587526577,0.5784696530762101,2.9360194206237793,0.28867197036743164,ok,,1072,857,0,268,0.559418261051178,True,0.1,True,8,1e-05,True,2.904730796813965,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1340<2000,30,1,epoch_chunk,accuracy,0.7488372093023256,0.7488372093023256,0.7488372093023256,0.7488372093023256,0,True,False,,f_mmd,test,standardized_l2,4.639848744988571,2.2692785611157227,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7335714285714285,0.7331102047398453,0.7335477497298775,0.799829638719882,0.5448317796123427,103.15391635894775,59.475812673568726,ok,,56000,44800,0,14000,0.5389740467071533,True,0.1,False,80,1e-05,True,102.64600038528442,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=70000>=2000,30,5,epoch_chunk,accuracy,0.7316964285714286,0.7324107142857142,0.7316964285714286,0.7324107142857142,8,True,False,,f_mmd,test,standardized_l2,9.17627185897994,71.7489327975287,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687552899201793,0.9696190211345941,0.9918138209121246,0.09508767178282428,9.988535165786743,0.8175642490386963,ok,,1920,1536,0,480,0.036145202815532684,True,0.1,False,22,1e-05,True,9.914432525634766,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9505208333333334,0.9765625,0.9505208333333334,0.9765625,14,True,False,,f_mmd,test,standardized_l2,3.235187064973896,0.5772295595241054,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583449106233213,0.9588431590656286,0.9891719966629589,0.15208135267921583,7.6332972049713135,0.7108860015869141,ok,,1920,1536,0,480,0.08241879567503929,True,0.1,False,15,1e-05,True,7.563634157180786,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9609375,0.9713541666666666,0.9609375,0.9713541666666666,7,True,False,,f_mmd,test,standardized_l2,2.4236105300425663,0.2842333772813765,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9541666666666667,0.9541786042958101,0.9548109010011123,0.9912924082313682,0.11684214219818226,7.909480810165405,0.7143476009368896,ok,,1920,1536,0,480,0.09459713846445084,True,0.1,False,17,1e-05,True,7.83485746383667,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9192708333333334,0.9505208333333334,0.9192708333333334,0.9505208333333334,9,True,False,,f_mmd,test,standardized_l2,2.7887292983382865,0.24399856711095555,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8883928571428571,0.8731348647771452,0.6822188271242214,0.8946017941787127,0.2648007396196482,6.907432317733765,0.5925836563110352,ok,,1792,1433,0,448,0.24315039068460464,True,0.1,False,17,1e-05,True,6.844254970550537,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2240>=2000,30,1,epoch_chunk,accuracy,0.8690807799442897,0.8774373259052924,0.8690807799442897,0.8774373259052924,9,True,False,,f_mmd,test,standardized_l2,5.096833339744329,1.5476323432049601,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.6675818471317515,0.723957201894849,0.734583743692208,0.506306157277673,8.971317529678345,2.688469171524048,ok,,8799,7039,0,2200,0.5071833729743958,True,0.1,False,10,1e-05,True,8.882078647613525,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10999>=2000,30,1,epoch_chunk,accuracy,0.6852272727272727,0.6857954545454545,0.6852272727272727,0.6857954545454545,2,True,False,,f_mmd,test,standardized_l2,2.215045841396021,0.42010142227020425,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7503797468354431,0.7501925779082597,0.7493975445704025,0.8249571655730363,0.514661148866176,24.1572163105011,2.8867790699005127,ok,,7896,6316,0,1975,0.5211440026760101,True,0.1,False,21,1e-05,True,23.986010313034058,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9871>=2000,30,1,epoch_chunk,accuracy,0.7468354430379747,0.759493670886076,0.7468354430379747,0.759493670886076,13,True,False,,f_mmd,test,standardized_l2,4.745602402145033,5.103662296088193,,True
