dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7661492238357537,0.765672834291374,0.7656332253965831,0.9176317267274322,0.5413359544753553,21.868929147720337,1.2315094470977783,ok,,7987,6389,0,1997,0.5395618975162506,True,0.1,False,30,1e-05,True,21.832653522491455,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9984>=2000,30,1,epoch_chunk,accuracy,0.753441802252816,0.7847309136420526,0.753441802252816,0.7847309136420526,28,False,False,,f_mmd,test,standardized_l2,2.7880152284378377,0.5126020498832063,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5861663652802893,0.5846926415876872,0.566581922870753,0.7641787002721335,0.8763218203058557,51.00189661979675,34.25863480567932,ok,,44236,35388,0,11060,0.9301306307315826,True,0.1,False,44,1e-05,True,50.59706473350525,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=55296>=2000,30,4,epoch_chunk,accuracy,0.5751582278481012,0.5782097649186256,0.5751582278481012,0.5782097649186256,3,True,False,,f_mmd,test,standardized_l2,2.794321193095839,0.41459645786310195,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.877,0.8662531611446974,0.7435200994523028,0.8768329192058005,0.31847369970338524,13.097693681716919,2.3918731212615967,ok,,8000,6400,0,2000,0.33370351791381836,True,0.1,False,16,1e-05,True,13.010951519012451,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10000>=2000,30,1,epoch_chunk,accuracy,0.86625,0.869375,0.86625,0.869375,8,True,False,,f_mmd,test,standardized_l2,1.971439636592256,0.3832377446610424,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9164244186046512,0.9164242469445664,0.9164238121450343,0.9774148229088788,0.19293184206566974,28.305410623550415,6.5782551765441895,ok,,16512,13209,0,4128,0.2787720859050751,True,0.1,False,36,1e-05,True,28.124035120010376,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=20640>=2000,30,2,epoch_chunk,accuracy,0.9043293975174084,0.9118982742960945,0.9043293975174084,0.9118982742960945,10,True,False,,f_mmd,test,standardized_l2,7.588304091144047,12.422353217839712,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8319148936170213,0.7559605235423814,0.5011144130757801,0.625747358999797,0.4386445558097154,28.2505841255188,6.893669128417969,ok,,31958,25566,0,7990,0.4626760333776474,True,0.1,False,33,1e-05,True,28.16262197494507,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39948>=2000,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8324468085106383,0.8322903629536921,0.8324468085106383,3,True,False,,f_mmd,test,standardized_l2,186.67616031451504,5491.78852005629,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9645833333333333,0.9645930209839396,0.9650305895439377,0.993047830923248,0.0962208748072024,4.071409702301025,0.7147753238677979,ok,,1920,1536,0,480,0.0895918570458889,True,0.1,False,8,1e-05,True,3.9809963703155518,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9713541666666666,0.9713541666666666,0.9713541666666666,0.9713541666666666,0,True,False,,f_mmd,test,standardized_l2,2.9673940492514594,0.4280873122957878,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9520833333333333,0.9520947730150117,0.9527947719688543,0.9924221357063404,0.12328267165056703,7.500993728637695,0.8348569869995117,ok,,1920,1536,0,480,0.07821556553244591,True,0.1,False,15,1e-05,True,7.399385690689087,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9479166666666666,0.953125,0.9479166666666666,0.953125,7,True,False,,f_mmd,test,standardized_l2,2.6716678488244696,0.3750358422935138,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.8043,0.8043194739859185,0.8040202402314045,0.922270036010748,0.4658291598832224,385.5610451698303,110.68794059753418,ok,,80000,64000,0,20000,0.6143129765987396,True,0.1,False,210,1e-05,True,384.05178713798523,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=100000>=2000,30,7,epoch_chunk,accuracy,0.7894375,0.81725,0.7894375,0.81725,25,False,False,,f_mmd,test,standardized_l2,2.7378888322606523,11.934273427643102,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7445887445887446,0.744328695796539,0.7426603432700993,0.8344625112917796,0.4990586952900511,6.81123685836792,0.5313529968261719,ok,,920,736,0,231,0.46400633454322815,True,0.1,True,22,1e-05,True,6.769354343414307,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1151<2000,30,1,epoch_chunk,accuracy,0.7010869565217391,0.7228260869565217,0.7010869565217391,0.7228260869565217,14,True,False,,f_mmd,test,standardized_l2,5.664250304322983,5.561929671744881,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8582169709989259,0.852257123541658,0.8123542348608839,0.8752659574468086,0.3596740532292447,5.459641933441162,0.9002127647399902,ok,,3722,2977,0,931,0.37154968082904816,True,0.1,False,14,1e-05,True,5.413677930831909,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=4653>=2000,30,1,epoch_chunk,accuracy,0.8416107382550335,0.8577181208053691,0.8416107382550335,0.8577181208053691,6,True,False,,f_mmd,test,standardized_l2,2.470791548339392,0.30799367049368953,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7574931880108992,0.757070856347107,0.7569654844650389,0.8276599536624488,0.5146413819975227,2.637598991394043,0.3821537494659424,ok,,1467,1173,0,367,0.5358190536499023,True,0.1,True,8,1e-05,True,2.607046604156494,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1834<2000,30,1,epoch_chunk,accuracy,0.7517006802721088,0.7517006802721088,0.7517006802721088,0.7517006802721088,0,True,False,,f_mmd,test,standardized_l2,6.945461230026011,6.131591205835924,,True
FOREX_audchf-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audchf-day-High,binclass,1466,294,367,10,2,0.7465940054495913,0.7465940054495913,0.7467326085665063,0.8274223251945583,0.50798040826523,2.613896369934082,0.38544392585754395,ok,,1466,1172,0,367,0.5691587626934052,True,0.1,True,8,1e-05,True,2.5805976390838623,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1833<2000,30,1,epoch_chunk,accuracy,0.7006802721088435,0.7006802721088435,0.7006802721088435,0.7006802721088435,0,True,False,,f_mmd,test,standardized_l2,3.727798601022341,0.7163133752509551,,True
FOREX_audjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-hour-High,binclass,35060,7012,8765,10,2,0.7249286936679977,0.7249770690601683,0.7253421150247741,0.7970995799992643,0.5500018251253322,75.54623293876648,22.837860584259033,ok,,35060,28048,0,8765,0.5378620624542236,True,0.1,False,66,1e-05,True,75.2751235961914,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.6935253850541928,0.7153451226468911,0.6935253850541928,0.7153451226468911,14,True,False,,f_mmd,test,standardized_l2,4.451297781660736,4.825160442342949,,True
FOREX_audusd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audusd-hour-High,binclass,35060,7012,8765,10,2,0.7033656588705077,0.703205741178233,0.7018473986525708,0.7831863017051182,0.5605519274191946,84.1023542881012,22.83085870742798,ok,,35060,28048,0,8765,0.5575104057788849,True,0.1,False,72,1e-05,True,83.78144478797913,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.6772675413576725,0.7166286366229321,0.6772675413576725,0.7166286366229321,16,True,False,,f_mmd,test,standardized_l2,4.069167608838231,3.0725488284327875,,True
FOREX_cadjpy-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-hour-High,binclass,35060,7012,8765,10,2,0.7145464917284655,0.7145871057225109,0.7143451865397089,0.7875042735791308,0.5616349920623211,72.24926137924194,22.828096389770508,ok,,35060,28048,0,8765,0.5607538223266602,True,0.1,False,63,1e-05,True,71.96766877174377,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=43825>=2000,30,3,epoch_chunk,accuracy,0.6948088990302339,0.7183399885909869,0.6948088990302339,0.7183399885909869,13,True,False,,f_mmd,test,standardized_l2,5.0751026383273325,5.1872386067639304,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data184/Fitness_Club_c,binclass,1200,240,300,6,2,0.7866666666666666,0.782957328117076,0.73210999526789,0.8204952941795047,0.455492207233056,2.575460195541382,0.23935651779174805,ok,,1200,960,0,300,0.4823411703109741,True,0.1,True,8,1e-05,True,2.549492359161377,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1500<2000,30,1,epoch_chunk,accuracy,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0,True,False,,f_mmd,test,standardized_l2,2.847059097133309,1.3371855765451701,,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6808011265842591,0.68125,0.7515625,0.5483828403279871,3.2669830322265625,0.4112660884857178,ok,,1280,1024,0,320,0.4878508150577545,True,0.1,True,8,1e-05,True,3.209963798522949,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1600<2000,30,1,epoch_chunk,accuracy,0.68359375,0.68359375,0.68359375,0.68359375,0,True,False,,f_mmd,test,standardized_l2,2.760004018332749,0.7851864701644636,,True
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data184/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8283544303797469,0.8269857687209825,0.8063285004103928,0.9647636022444163,0.48899259988292,37.8225371837616,3.191370964050293,ok,,7898,6318,0,1975,0.6061637997627258,True,0.1,False,30,1e-05,True,37.60732626914978,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9873>=2000,30,1,epoch_chunk,accuracy,0.7367088607594937,0.7943037974683544,0.7367088607594937,0.7943037974683544,28,False,False,,f_mmd,test,standardized_l2,10.164513204206573,8.802748713724569,,True
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data184/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9495798319327731,0.9494787388639667,0.9473496468573874,0.9825212242277234,0.15992092509540096,4.515724182128906,0.49509501457214355,ok,,952,761,0,238,0.22754599899053574,True,0.1,True,17,1e-05,True,4.481544256210327,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1190<2000,30,1,epoch_chunk,accuracy,0.8952879581151832,0.9057591623036649,0.8952879581151832,0.9057591623036649,9,True,False,,f_mmd,test,standardized_l2,2.297013720855799,0.7238989973059439,,True
Insurance,/home/crc00006699/zh/tabiclv2/data184/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5049995631533066,0.5555292650780866,15.31727147102356,8.131282329559326,ok,,18838,15070,0,4710,0.5601411759853363,True,0.1,False,16,1e-05,True,15.120244979858398,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=23548>=2000,30,2,epoch_chunk,accuracy,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0,True,False,,f_mmd,test,standardized_l2,2.30414368210648,0.3510525874002378,,True
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data184/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7329508196721312,0.32564727254647585,2.888279438018799,0.3587961196899414,ok,,1378,1102,0,345,0.3891309052705765,True,0.1,True,8,1e-05,True,2.846989393234253,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1723<2000,30,1,epoch_chunk,accuracy,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0,True,False,,f_mmd,test,standardized_l2,3.313018002018816,3.274431791979562,,True
KDD,/home/crc00006699/zh/tabiclv2/data184/KDD,binclass,4025,805,1007,45,2,0.814299900695134,0.8135901015494964,0.8151536671006431,0.9039985008087743,0.3707995050111616,12.371910810470581,1.7768001556396484,ok,,4025,3220,0,1007,0.35068053007125854,True,0.1,False,13,1e-05,True,12.186575889587402,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=5032>=2000,30,1,epoch_chunk,accuracy,0.8024844720496894,0.822360248447205,0.8024844720496894,0.822360248447205,5,True,False,,f_mmd,test,standardized_l2,9.62334292887423,31.04883999646379,,True
Long,/home/crc00006699/zh/tabiclv2/data184/Long,binclass,3581,717,896,19,2,0.9910714285714286,0.9910819710099329,0.9902004071920917,0.999546201584615,0.02332894930341973,5.915976047515869,1.0791823863983154,ok,,3581,2864,0,896,0.007955256616696715,True,0.1,False,11,1e-05,True,5.847494125366211,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=4477>=2000,30,1,epoch_chunk,accuracy,0.9888423988842399,0.99302649930265,0.9888423988842399,0.99302649930265,3,True,False,,f_mmd,test,standardized_l2,13.848161857679843,55.50582326621205,,True
MagicTelescope,/home/crc00006699/zh/tabiclv2/data184/MagicTelescope,binclass,15216,3044,3804,9,2,0.8859095688748686,0.884074357741732,0.8612356751370205,0.9432063810725722,0.2767133488581866,19.519099712371826,5.845768690109253,ok,,15216,12172,0,3804,0.3517338037490845,True,0.1,False,26,1e-05,True,19.395808219909668,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=19020>=2000,30,2,epoch_chunk,accuracy,0.8735216819973719,0.8791064388961892,0.8735216819973719,0.8791064388961892,5,True,False,,f_mmd,test,standardized_l2,5.481799553873681,2.4001339544912077,,True
Mobile_Price_Classification,/home/crc00006699/zh/tabiclv2/data184/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.9575,0.9575179826951747,0.9575,0.9974416666666667,0.1111171932861058,4.565597295761108,0.5034449100494385,ok,,1600,1280,0,400,0.07626483589410782,True,0.1,False,12,1e-05,True,4.513492584228516,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2000>=2000,30,1,epoch_chunk,accuracy,0.91875,0.95,0.91875,0.95,4,True,False,,f_mmd,test,standardized_l2,1.5343548494813246,0.12248971966322504,,True
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data184/Performance-Prediction,binclass,1072,215,268,19,2,0.7611940298507462,0.7568580024777299,0.7290658059888829,0.8065865758173449,0.5243592472204587,4.143852949142456,0.3236196041107178,ok,,1072,857,0,268,0.604010283946991,True,0.1,True,12,1e-05,True,4.095059633255005,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1340<2000,30,1,epoch_chunk,accuracy,0.6744186046511628,0.6930232558139535,0.6744186046511628,0.6930232558139535,4,True,False,,f_mmd,test,standardized_l2,4.5790564134794,1.9611933854420578,,True
PieChart3,/home/crc00006699/zh/tabiclv2/data184/PieChart3,binclass,861,173,216,37,2,0.8796296296296297,0.8276166902404526,0.5185185185185185,0.8604742308446012,0.2749414102556491,3.844393730163574,0.6977624893188477,ok,,861,688,0,216,0.2653960585594177,True,0.1,True,8,1e-05,True,3.7781171798706055,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1077<2000,30,1,epoch_chunk,accuracy,0.8786127167630058,0.8786127167630058,0.8786127167630058,0.8786127167630058,0,True,False,,f_mmd,test,standardized_l2,22.461270819800944,43.99854294287042,,True
