dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9449191333536772,0.932147034157801,0.5943292064136391,0.8354846014976551,0.1680935891103896,43.26209497451782,11.995858192443848,ok,,26215,20972,0,6554,0.21834147721529,48,1e-05,True,43.03169250488281,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9486934960900248,0.9496471485790576,0.9486934960900248,0.9496471485790576,8,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9885699771399544,0.988579909592758,0.9882157535188896,0.9991703464519152,0.0335111042671519,42.899149656295776,19.039134740829468,ok,,31492,25193,0,7874,0.0246109031140804,42,1e-05,True,42.64458322525024,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9868233052865534,0.9879345927925068,0.9868233052865534,0.9879345927925068,6,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8153416306832614,0.8124926515948145,0.7830076582417538,0.8841502060482038,0.4028596871804729,64.56498336791992,19.26957654953003,ok,,31492,25193,0,7874,0.4051095694303512,63,1e-05,True,64.2444999217987,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8056834418161612,0.8085410382600413,0.8056834418161612,0.8085410382600413,13,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7043439518823792,0.684561776517836,0.7448618001417434,0.5798802785405388,3.8774495124816895,0.3016507625579834,ok,,1072,857,0,268,0.6270751655101776,11,1e-05,True,3.842750787734986,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7488372093023256,0.7627906976744186,0.7488372093023256,0.7627906976744186,3,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7332142857142857,0.7327476614578895,0.7331904843070969,0.7994872814652347,0.5450222508960477,95.93284893035889,56.939690351486206,ok,,56000,44800,0,14000,0.5185698568820953,75,1e-05,True,95.43237352371216,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7316964285714286,0.7325,0.7316964285714286,0.7325,7,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333332,0.9708409300064248,0.9714961067853172,0.9926307007786428,0.0909705469281229,8.155030012130737,0.7199575901031494,ok,,1920,1536,0,480,0.0435156617313623,17,1e-05,True,8.082013607025146,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9505208333333334,0.9661458333333334,0.9505208333333334,0.9661458333333334,9,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583449106233212,0.9588431590656286,0.9884941601779756,0.1385910719988694,5.291117429733276,0.7197277545928955,ok,,1920,1536,0,480,0.090503092855215,11,1e-05,True,5.222553968429565,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9609375,0.96875,0.9609375,0.96875,3,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9520833333333332,0.9520947730150116,0.9527947719688544,0.9914140711902114,0.1173833848950357,11.44884705543518,0.7255692481994629,ok,,1920,1536,0,480,0.1587575748562812,25,1e-05,True,11.37838363647461,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9192708333333334,0.9348958333333334,0.9192708333333334,0.9348958333333334,17,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.890625,0.876303502124169,0.6896815136913856,0.8924080385474203,0.2666855519793082,5.287168025970459,0.6048073768615723,ok,,1792,1433,0,448,0.247143767774105,12,1e-05,True,5.224783658981323,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8690807799442897,0.8746518105849582,0.8690807799442897,0.8746518105849582,4,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6763636363636364,0.6667645045496285,0.7228298061789529,0.7338487469421645,0.5065181055182976,7.32458233833313,2.714507341384888,ok,,8799,7039,0,2200,0.4958586692810058,8,1e-05,True,7.2358667850494385,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6852272727272727,0.6852272727272727,0.6852272727272727,0.6852272727272727,0,True,False,
