dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7666499749624437,0.7662367122152813,0.7662668431211278,0.9182667497669801,0.5399485867870331,27.548163414001465,1.2073657512664795,ok,,7987,6389,0,1997,0.541714608669281,27,1e-05,True,27.50791597366333,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.753441802252816,0.781602002503129,0.753441802252816,0.781602002503129,19,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5868896925858951,0.5853628341904189,0.5673065539262638,0.7642983445917192,0.8761908993583203,42.06989598274231,34.280333280563354,ok,,44236,35388,0,11060,0.881860613822937,36,1e-05,True,41.66753101348877,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5751582278481012,0.5758363471971067,0.5751582278481012,0.5758363471971067,1,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.876,0.8649744717723122,0.7410630969953004,0.8761966897560117,0.3186583649192179,11.619933843612671,2.385108470916748,ok,,8000,6400,0,2000,0.31643402576446533,14,1e-05,True,11.532317161560059,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.86625,0.87,0.86625,0.87,6,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9178779069767442,0.9178774298663142,0.9178768313852157,0.9774534370712391,0.1927190514222787,35.033164501190186,6.548162221908569,ok,,16512,13209,0,4128,0.24574033170938492,46,1e-05,True,34.889825105667114,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9043293975174084,0.9155313351498637,0.9043293975174084,0.9155313351498637,15,True,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8320400500625782,0.7564984569206378,0.5017820992563423,0.6262323288482476,0.4388864799059317,25.881381511688232,6.914440631866455,ok,,31958,25566,0,7990,0.4268971085548401,30,1e-05,True,25.78956699371338,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8324468085106383,0.8322903629536921,0.8324468085106383,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9708333333333333,0.9708409321175279,0.9712180200222469,0.9935344827586207,0.09433306787030214,5.720521450042725,0.7052183151245117,ok,,1920,1536,0,480,0.1383432000875473,12,1e-05,True,5.650450944900513,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9713541666666666,0.9739583333333334,0.9713541666666666,0.9739583333333334,4,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9583333333333334,0.9583449106233213,0.9588431590656286,0.9924395161290323,0.12046853014787011,6.876431226730347,0.690096378326416,ok,,1920,1536,0,480,0.06407670676708221,14,1e-05,True,6.804920434951782,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9479166666666666,0.9557291666666666,0.9479166666666666,0.9557291666666666,6,True,False,
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.80295,0.8030011552398233,0.8027103520802324,0.9224057349245963,0.4657655782145583,372.08156418800354,110.39750123023987,ok,,80000,64000,0,20000,0.6257606446743011,210,1e-05,True,370.5334746837616,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,accuracy,0.7894375,0.81675,0.7894375,0.81675,23,False,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7402597402597403,0.739887282528792,0.7380307136404698,0.8378500451671184,0.49451702894416993,5.483762741088867,0.5292649269104004,ok,,920,736,0,231,0.44573424756526947,17,1e-05,True,5.438697576522827,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7010869565217391,0.7282608695652174,0.7010869565217391,0.7282608695652174,9,True,False,
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8549946294307197,0.8482056670799656,0.806178396072013,0.8737213584288053,0.3595959413762821,7.01564884185791,0.9072329998016357,ok,,3722,2977,0,931,0.3539135605096817,17,1e-05,True,6.969304800033569,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8416107382550335,0.8577181208053691,0.8416107382550335,0.8577181208053691,9,True,False,
