dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9440036618858711,0.9319460331017057,0.5975582451155288,0.8351190539775459,0.1672384464411203,0.8043558597564697,13.09369134902954,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9885699771399544,0.9885789252425096,0.9881279889879812,0.9991342543606212,0.033301861394905,0.6361711025238037,18.92096352577209,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8153416306832614,0.8123657409450002,0.7824935074584959,0.8814802375427863,0.4079814200799422,0.6984891891479492,19.00540566444397,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7126865671641791,0.7112085072156479,0.6905858729033783,0.7456295771320576,0.5789046893796287,0.3791286945343017,0.4040963649749756,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7349285714285714,0.7345637987763912,0.7349074644595802,0.8003304041895196,0.543449969535101,0.8258228302001953,53.22996878623962,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666668,0.966675348578771,0.9673248053392658,0.9912924082313682,0.1010105192863363,0.4230380058288574,0.843059778213501,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.95625,0.9562619670978078,0.9566879866518354,0.9883203559510568,0.1369465529541616,0.3910274505615234,0.7381813526153564,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9520833333333332,0.9520947730150116,0.9527947719688544,0.9898324527252504,0.1233723475095133,0.3797581195831299,0.7664830684661865,ok,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8839285714285714,0.8730383166451868,0.6980452070356877,0.8929368903513927,0.2679845516598346,0.3734796047210693,0.6197476387023926,ok,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6759090909090909,0.6661174308965362,0.7226318894139002,0.7350426873404539,0.5062381510023073,0.3995964527130127,2.9932937622070312,ok,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7458227848101265,0.7456581080869986,0.7448953073190374,0.822608976123659,0.5172070161129714,0.6007876396179199,3.058445930480957,ok,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7118083285795779,0.7118614681424842,0.7118281988853032,0.7846514662950524,0.5591677163566808,0.6364381313323975,23.142987728118896,ok,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.773841961852861,0.7736298834633508,0.773066405088877,0.839501218714702,0.4958792072976437,0.3507609367370605,0.4803242683410644,ok,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.6877353108956076,0.6876004234445212,0.6886535192930147,0.7510886401839003,0.592168669234936,0.650806188583374,23.16430950164795,ok,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7138964577656676,0.7136626244684012,0.713976003801378,0.7786291280589214,0.5696787150018136,0.3800179958343506,0.4601683616638183,ok,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data184/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8777777777777778,0.87617935938362,0.7956663862368544,0.969840439576962,0.3188368474343512,0.4811570644378662,3.0687294006347656,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data184/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.66875,0.6617605998962945,0.66875,0.7160742187499999,0.6156790957377798,0.3704538345336914,0.4696025848388672,ok,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data184/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.611578947368421,0.5610370726905614,0.4221756972964801,0.7034907430566429,0.7949405602479046,0.36037278175354,1.080251932144165,ok,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data184/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.7993215031315241,0.8003139246014294,0.7369396568196583,0.807528384533773,0.4325904166571803,0.5276448726654053,6.367197036743164,ok,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data184/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9024121295658166,0.9016939086778888,0.8823487456582602,0.9592883781172687,0.2324878303267006,0.7407832145690918,17.868946075439453,ok,
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data184/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9436363636363636,0.9436355251129136,0.9436225103330632,0.9895119719724188,0.1359976296502806,0.4717226028442383,3.268651008605957,ok,
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data184/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9989964877069744,0.998996661619066,0.9988039501624582,0.9999979667673572,0.0029626322601657,0.4112963676452636,2.661292791366577,ok,
KDDCup09_upselling,/home/crc00006699/zh/tabiclv2/data184/KDDCup09_upselling,binclass,4102,821,1026,49,2,0.8157894736842105,0.8143288698241565,0.8157894736842105,0.9115321333439728,0.3550417407948937,0.5174665451049805,2.0307304859161377,ok,
MIC,/home/crc00006699/zh/tabiclv2/data184/MIC,binclass,1319,264,330,104,2,0.912121212121212,0.902323174171188,0.7477335020029516,0.8898025159884743,0.2575124346162991,0.5684237480163574,1.1687405109405518,ok,
Marketing_Campaign,/home/crc00006699/zh/tabiclv2/data184/Marketing_Campaign,binclass,1792,359,448,27,2,0.8928571428571429,0.8838374635568513,0.7217456026951855,0.9172640733341167,0.2475294739579561,0.3800745010375976,0.6445107460021973,ok,
National_Health_and_Nutrition_Health_Survey,/home/crc00006699/zh/tabiclv2/data184/National_Health_and_Nutrition_Health_Survey,binclass,1822,365,456,7,2,0.8377192982456141,0.7954368290822497,0.548589005329232,0.7732930362316249,0.3786459374326727,0.3412024974822998,0.4204695224761963,ok,
PhishingWebsites,/home/crc00006699/zh/tabiclv2/data184/PhishingWebsites,binclass,8844,1769,2211,30,2,0.979194934418815,0.9791740177284344,0.9779870355940914,0.9985236824217908,0.0486998209801728,0.576575517654419,3.7071433067321777,ok,
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data184/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7402597402597403,0.7313771134525852,0.6892592592592592,0.8609259259259259,0.4579964608734654,0.3387551307678222,0.3841431140899658,ok,
Pumpkin_Seeds,/home/crc00006699/zh/tabiclv2/data184/Pumpkin_Seeds,binclass,2000,400,500,12,2,0.872,0.8718025833815308,0.8708333333333333,0.9457051282051282,0.2999835682968511,0.3584511280059814,0.5415201187133789,ok,
Rain_in_Australia,/home/crc00006699/zh/tabiclv2/data184/Rain_in_Australia,multiclass,116368,23274,29092,18,3,0.8500962463907603,0.8416096030492526,0.667779147089009,0.8965229688143967,0.3742331670721804,2.059691905975342,301.58313274383545,ok,
Shipping,/home/crc00006699/zh/tabiclv2/data184/Shipping,binclass,8799,1760,2200,9,2,0.685,0.6782278039431783,0.7222828985259925,0.7398263614838201,0.5002199224946079,0.4203739166259765,2.8522937297821045,ok,
VulNoneVul,/home/crc00006699/zh/tabiclv2/data184/VulNoneVul,binclass,4553,911,1139,16,2,0.9894644424934153,0.9842245601854184,0.5,0.8622079266489204,0.0479281842499529,0.3883955478668213,1.4413974285125732,ok,
Waterstress,/home/crc00006699/zh/tabiclv2/data184/Waterstress,binclass,950,190,238,22,2,0.773109243697479,0.773109243697479,0.7739837398373983,0.84022622834924,0.4910821755877809,0.4747138023376465,0.6235964298248291,ok,
abalone,/home/crc00006699/zh/tabiclv2/data184/abalone,multiclass,3341,669,836,8,3,0.6495215311004785,0.6533563429114273,0.6476538001730351,0.8294825104154296,0.7474285730700241,0.3507716655731201,0.7984352111816406,ok,
ada,/home/crc00006699/zh/tabiclv2/data184/ada,binclass,3317,664,830,48,2,0.8506024096385543,0.8461794546607483,0.7738206372915111,0.9087666479960168,0.3240035552853729,0.4393999576568603,1.5630252361297607,ok,
ada_prior,/home/crc00006699/zh/tabiclv2/data184/ada_prior,binclass,3649,730,913,14,2,0.8389923329682366,0.8299237173337689,0.7395840022604385,0.8866377262043897,0.3556665250434347,0.3786835670471191,1.0506176948547363,ok,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,/home/crc00006699/zh/tabiclv2/data184/airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,1600,320,400,7,2,0.625,0.6101700580229418,0.6042615649357223,0.663604615851807,0.6337972286264396,0.3429813385009765,0.4550602436065674,ok,
allrep,/home/crc00006699/zh/tabiclv2/data184/allrep,multiclass,3017,604,755,29,4,0.9841059602649008,0.9817257408960596,0.694850782778865,0.9954304629617304,0.0419650937809375,0.4372608661651611,1.0895471572875977,ok,
artificial-characters,/home/crc00006699/zh/tabiclv2/data184/artificial-characters,multiclass,8174,1635,2044,7,10,0.8639921722113503,0.8636414945391148,0.8576663229831724,0.9922775178844798,0.3534389573532083,0.4023666381835937,2.4281013011932373,ok,
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data184/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.4181818181818181,0.3953793268654929,0.3989565446452502,0.7275975229503934,1.3603201855953904,0.3938629627227783,0.5171282291412354,ok,
banknote_authentication,/home/crc00006699/zh/tabiclv2/data184/banknote_authentication,binclass,1097,220,275,4,2,0.5490909090909091,0.4006953633368727,0.4942944390871102,0.5113307618129219,0.6874016315741717,0.3545260429382324,0.1384496688842773,ok,
car-evaluation,/home/crc00006699/zh/tabiclv2/data184/car-evaluation,multiclass,1382,277,346,21,4,0.976878612716763,0.9771444454831776,0.9660566706021252,0.9990397027356964,0.0532207584780872,0.3921422958374023,0.4756481647491455,ok,
cmc,/home/crc00006699/zh/tabiclv2/data184/cmc,multiclass,1178,236,295,9,3,0.5898305084745763,0.5843388600932665,0.5556043312847527,0.7606992820520272,0.8762874311975396,0.3645095825195312,0.3360118865966797,ok,
compass,/home/crc00006699/zh/tabiclv2/data184/compass,binclass,13315,2663,3329,17,2,0.8272754580955242,0.8272341147176258,0.8272708405520905,0.9094316672441672,0.373483017921248,0.5388970375061035,5.405745506286621,ok,
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data184/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6237288135593221,0.6163859866527528,0.5843889794723859,0.7971544620228485,0.8221513308174452,0.3665344715118408,0.3745090961456299,ok,
