dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data184/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9446139761977418,0.9301408808770562,0.5805460780019869,0.8353102667364575,0.1656755771355852,29.548767805099487,12.623673677444458,ok,,26215,20972,0,6554,0.2285827100276947,True,0.1,False,24,1e-05,True,29.32313323020935,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=32769>=2000,30,3,epoch_chunk,accuracy,0.9496471485790576,0.9496471485790576,0.9496471485790576,0.9496471485790576,0,True,False,,f_mmd,test,standardized_l2,3.6268547065954087,0.718812355702569,,True
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data184/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9883159766319533,0.9883281362113726,0.9881099072075906,0.9991498347089424,0.0332170976202375,44.94434690475464,20.175848960876465,ok,,31492,25193,0,7874,0.0344620514661073,True,0.1,False,42,1e-05,True,44.68946433067322,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.9868233052865534,0.9879345927925068,0.9868233052865534,0.9879345927925068,6,True,False,,f_mmd,test,standardized_l2,4.266356135759506,0.7553151369521771,,True
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data184/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8168656337312674,0.8146305814495177,0.7871739592592443,0.8843689550006324,0.4032807700674196,52.61431097984314,20.42676854133606,ok,,31492,25193,0,7874,0.4336839914321899,True,0.1,False,48,1e-05,True,52.28247594833374,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39366>=2000,30,3,epoch_chunk,accuracy,0.8072709953960946,0.8117161454199079,0.8072709953960946,0.8117161454199079,8,True,False,,f_mmd,test,standardized_l2,1.8408121454446689,0.1126048979836622,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data184/Basketball_c,binclass,1072,215,268,11,2,0.7089552238805971,0.7071286922033191,0.6856839121190645,0.7435920151193007,0.5781068201370533,3.359978675842285,0.4039227962493896,ok,,1072,857,0,268,0.5984161496162415,True,0.1,True,8,1e-05,True,3.326646089553833,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1340<2000,30,1,epoch_chunk,accuracy,0.7627906976744186,0.7627906976744186,0.7627906976744186,0.7627906976744186,0,True,False,,f_mmd,test,standardized_l2,4.580026916701443,1.8472818550739796,,True
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data184/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.734,0.7338661437955366,0.7339872600774726,0.8006234859178729,0.5432421258166482,123.72089457511902,60.16787672042847,ok,,56000,44800,0,14000,0.5456503033638,True,0.1,False,95,1e-05,True,123.21582508087158,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=70000>=2000,30,5,epoch_chunk,accuracy,0.7294642857142857,0.7349107142857143,0.7294642857142857,0.7349107142857143,11,True,False,,f_mmd,test,standardized_l2,6.554668299698502,33.66639040487304,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.98125,0.981254478263324,0.9815767519466074,0.996975806451613,0.0605281743123898,7.734436988830566,0.9241747856140136,ok,,1920,1536,0,480,0.0593809522688388,True,0.1,False,14,1e-05,True,7.651602268218994,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9661458333333334,0.9713541666666666,0.9661458333333334,0.9713541666666666,6,True,False,,f_mmd,test,standardized_l2,3.474111017300537,0.5011058777592388,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666668,0.960427492536752,0.9609983314794216,0.9930999721913236,0.1080881824864201,6.63786506652832,0.926189422607422,ok,,1920,1536,0,480,0.074260089546442,True,0.1,False,13,1e-05,True,6.560291767120361,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9765625,0.9817708333333334,0.9765625,0.9817708333333334,5,True,False,,f_mmd,test,standardized_l2,2.77001594160081,0.3098385256639161,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9625,0.9625097698653928,0.9628754171301446,0.994194938820912,0.0953402342147707,10.40613603591919,0.9301817417144777,ok,,1920,1536,0,480,0.1123799458146095,True,0.1,False,21,1e-05,True,10.333274841308594,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9479166666666666,0.9661458333333334,0.9479166666666666,0.9661458333333334,13,True,False,,f_mmd,test,standardized_l2,3.064720688473775,0.2426838793945935,,True
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data184/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8973214285714286,0.8876877416476654,0.724370274611196,0.9150507305989736,0.2424583970326306,5.705657243728638,0.7752304077148438,ok,,1792,1433,0,448,0.2009828835725784,True,0.1,False,12,1e-05,True,5.640415191650391,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2240>=2000,30,1,epoch_chunk,accuracy,0.883008356545961,0.8885793871866295,0.883008356545961,0.8885793871866295,4,True,False,,f_mmd,test,standardized_l2,4.672547501062973,1.1700370204343244,,True
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data184/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6781818181818182,0.666284330045009,0.7281937369003573,0.7208523558105528,0.5046326648137645,15.59274411201477,3.091869592666626,ok,,8799,7039,0,2200,0.5164842307567596,True,0.1,False,16,1e-05,True,15.498606443405151,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10999>=2000,30,1,epoch_chunk,accuracy,0.6835227272727272,0.6852272727272727,0.6835227272727272,0.6852272727272727,8,True,False,,f_mmd,test,standardized_l2,2.462655441028001,0.4132095322436234,,True
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data184/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7534177215189873,0.7531791075638887,0.7523158325081457,0.8259946421014137,0.5128065710677325,9.94595503807068,3.486051321029663,ok,,7896,6316,0,1975,0.5519824624061584,True,0.1,False,8,1e-05,True,9.774935722351074,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9871>=2000,30,1,epoch_chunk,accuracy,0.7493670886075949,0.7493670886075949,0.7493670886075949,0.7493670886075949,0,True,False,,f_mmd,test,standardized_l2,4.485100134651286,4.018561708468314,,True
