dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7501251877816725,0.7497815342228276,0.7494200998731525,0.9100714182650215,0.5639952152291391,21.24038815498352,1.3748500347137451,ok,,7987,6389,0,1997,0.567922830581665,True,0.1,False,26,1e-05,True,21.203255653381348,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9984>=2000,30,1,epoch_chunk,accuracy,0.7515644555694618,0.7784730913642053,0.7515644555694618,0.7784730913642053,18,True,False,,f_mmd,test,standardized_l2,2.914627962138002,0.49124306618476676,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5875226039783001,0.5860275547781615,0.5683561823336624,0.7653357974624265,0.874183870182604,62.058918714523315,36.07660222053528,ok,,44236,35388,0,11060,0.9027568995952606,True,0.1,False,52,1e-05,True,61.64866328239441,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=55296>=2000,30,4,epoch_chunk,accuracy,0.5756103074141049,0.5773056057866185,0.5756103074141049,0.5773056057866185,5,True,False,,f_mmd,test,standardized_l2,3.0279242550543994,0.4148835370296081,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8642013812308549,0.7428653615094293,0.8842355452524945,0.31124698373995724,11.41997766494751,2.7768983840942383,ok,,8000,6400,0,2000,0.3426220715045929,True,0.1,False,13,1e-05,True,11.329856872558594,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10000>=2000,30,1,epoch_chunk,accuracy,0.8625,0.869375,0.8625,0.869375,5,True,False,,f_mmd,test,standardized_l2,2.2160248725463867,0.38798311118645795,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9210271317829457,0.9210271317829457,0.9210273479816764,0.9795939996643268,0.1836874479697097,17.18301248550415,7.098177909851074,ok,,16512,13209,0,4128,0.2153073102235794,True,0.1,False,20,1e-05,True,17.041198015213013,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=20640>=2000,30,2,epoch_chunk,accuracy,0.9167423554344535,0.9182561307901907,0.9167423554344535,0.9182561307901907,2,True,False,,f_mmd,test,standardized_l2,7.436476980459141,11.326505332177335,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.5182728410513141,0.5766380186101085,0.5574931363962883,0.5719144757852777,0.8705857227170252,55.921902656555176,7.192583322525024,ok,,31958,25566,0,7990,0.4580634534358978,True,0.1,False,63,1e-05,True,55.831775188446045,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39948>=2000,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8329161451814768,0.8322903629536921,0.8329161451814768,13,True,False,,f_mmd,test,standardized_l2,9.4682162243954,198.68853110044435,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9833333333333333,0.9833333333333333,0.9833147942157954,0.9974450778642936,0.0531849245877272,4.608389854431152,0.9309825897216797,ok,,1920,1536,0,480,0.08196907863020897,True,0.1,False,8,1e-05,True,4.5360941886901855,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9739583333333334,0.9739583333333334,0.9739583333333334,0.9739583333333334,0,True,False,,f_mmd,test,standardized_l2,3.316421665732944,0.44553244638018075,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687574637722067,0.9690628476084538,0.9952377641824249,0.08789460741270294,9.092276811599731,0.9198620319366455,ok,,1920,1536,0,480,0.06350286118686199,True,0.1,False,18,1e-05,True,9.018098831176758,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9609375,0.9739583333333334,0.9609375,0.9739583333333334,10,True,False,,f_mmd,test,standardized_l2,3.0202605979733455,0.3775370022206092,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.81895,0.8188657425980032,0.8286527818228576,0.9319310797196775,0.4188821824862071,191.48377513885498,115.12422800064087,ok,,80000,64000,0,20000,0.5995478630065918,True,0.1,False,105,1e-05,True,189.9156620502472,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=100000>=2000,30,7,epoch_chunk,accuracy,0.8145,0.824375,0.8145,0.824375,7,True,False,,f_mmd,test,standardized_l2,3.484725387457551,22.928899146985326,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7359307359307359,0.7356618719252352,0.7339656729900632,0.8399578440228846,0.4854935402126493,7.174151420593262,0.8709867000579834,ok,,920,736,0,231,0.47858676314353943,True,0.1,True,17,1e-05,True,7.124690532684326,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1151<2000,30,1,epoch_chunk,accuracy,0.75,0.7717391304347826,0.75,0.7717391304347826,9,True,False,,f_mmd,test,standardized_l2,8.221732014082972,6.8022776069464825,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8582169709989259,0.8524454652100957,0.8130984042553191,0.8823317307692308,0.34903559823591424,8.922888278961182,1.1235499382019043,ok,,3722,2977,0,931,0.3593616634607315,True,0.1,False,20,1e-05,True,8.871543407440186,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=4653>=2000,30,1,epoch_chunk,accuracy,0.851006711409396,0.8590604026845637,0.851006711409396,0.8590604026845637,12,True,False,,f_mmd,test,standardized_l2,2.6504665867710004,0.32383510098648266,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7547683923705722,0.7546481164795465,0.7545000891106755,0.8318927107467474,0.5052378144246027,3.1429457664489746,0.4875967502593994,ok,,1467,1173,0,367,0.5380732119083405,True,0.1,True,8,1e-05,True,3.109851121902466,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1834<2000,30,1,epoch_chunk,accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0,True,False,,f_mmd,test,standardized_l2,5.602017009747491,3.4378853655744046,,True
