dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_wise_ft,ttt_wise_alpha,ttt_wise_applied,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7606409614421632,0.7603339532778864,0.7600689274460013,0.9175425948101861,0.5460699888474689,24.300381183624268,1.3730449676513672,ok,,7987,6389,0,1997,0.5893853902816772,True,0.1,False,30,1e-05,True,24.257203578948975,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=9984>=2000,30,1,epoch_chunk,accuracy,0.7509386733416771,0.7897371714643304,0.7509386733416771,0.7897371714643304,25,False,False,,f_mmd,test,standardized_l2,2.914627962138002,0.49124306618476676,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5881555153707052,0.5868898310234185,0.5698789829004762,0.7654780652722327,0.8741976428273318,53.31208086013794,35.9349319934845,ok,,44236,35388,0,11060,0.9157245755195618,True,0.1,False,44,1e-05,True,52.90591502189636,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=55296>=2000,30,4,epoch_chunk,accuracy,0.5762884267631103,0.5799050632911392,0.5762884267631103,0.5799050632911392,3,True,False,,f_mmd,test,standardized_l2,3.0279242550543986,0.41488353702961456,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8755,0.8652834419381789,0.7444077359331597,0.8854023515040466,0.3101269156574813,22.920876502990723,2.7309796810150146,ok,,8000,6400,0,2000,0.3329091817140579,True,0.1,False,27,1e-05,True,22.828798055648804,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=10000>=2000,30,1,epoch_chunk,accuracy,0.861875,0.8725,0.861875,0.8725,19,True,False,,f_mmd,test,standardized_l2,2.2160248725463862,0.3879831111864625,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9249031007751938,0.9249030655192199,0.9249035526203053,0.9803240303326567,0.18009341044104313,23.74284529685974,7.082313060760498,ok,,16512,13209,0,4128,0.2261190339922905,True,0.1,False,28,1e-05,True,23.60186767578125,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=20640>=2000,30,2,epoch_chunk,accuracy,0.9182561307901907,0.9215864365728126,0.9182561307901907,0.9215864365728126,6,True,False,,f_mmd,test,standardized_l2,7.436476980459142,11.326505332177339,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8028785982478097,0.7613567070713488,0.5183122244159115,0.5454202162538366,0.4802347162778882,42.81565833091736,7.16067361831665,ok,,31958,25566,0,7990,0.4424489736557007,True,0.1,False,48,1e-05,True,42.72475290298462,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=39948>=2000,30,3,epoch_chunk,accuracy,0.8322903629536921,0.8326032540675845,0.8322903629536921,0.8326032540675845,8,True,False,,f_mmd,test,standardized_l2,9.468216224395393,198.68853110044446,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.98125,0.9812531761578588,0.9814377085650723,0.9977579254727474,0.05236480377967402,7.840045928955078,0.9141407012939453,ok,,1920,1536,0,480,0.10091714188456535,True,0.1,False,15,1e-05,True,7.76697039604187,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9635416666666666,0.9713541666666666,0.9635416666666666,0.9713541666666666,7,True,False,,f_mmd,test,standardized_l2,3.3164216657329444,0.44553244638017875,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9729166666666667,0.9729231352692459,0.973234149054505,0.9948640850945495,0.09379318958763358,10.5479257106781,0.9140233993530273,ok,,1920,1536,0,480,0.050274649634957314,True,0.1,False,21,1e-05,True,10.47422742843628,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=2400>=2000,30,1,epoch_chunk,accuracy,0.9609375,0.9765625,0.9609375,0.9765625,13,True,False,,f_mmd,test,standardized_l2,3.0202605979733455,0.37753700222061154,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.822,0.8219214770237792,0.8374965256505496,0.9328169268727908,0.41257640374782867,379.0321056842804,115.49998474121094,ok,,80000,64000,0,20000,0.6459037959575653,True,0.1,False,210,1e-05,True,377.46484899520874,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=100000>=2000,30,7,epoch_chunk,accuracy,0.812875,0.825875,0.812875,0.825875,24,False,False,,f_mmd,test,standardized_l2,3.484725387457567,22.92889914698536,,True
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data184/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7359307359307359,0.7356618719252352,0.7339656729900632,0.8386028304727492,0.48985262774658045,8.065728187561035,0.9172818660736084,ok,,920,736,0,231,0.4010511338710785,True,0.1,True,18,1e-05,True,8.014779567718506,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1151<2000,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7608695652173914,0.7445652173913043,0.7608695652173914,10,True,False,,f_mmd,test,standardized_l2,8.221732014082972,6.802277606946483,,True
Employee,/home/crc00006699/zh/tabiclv2/data184/Employee,binclass,3722,745,931,8,2,0.8582169709989259,0.8526314260485988,0.8138425736497545,0.8808459492635023,0.3504590915414224,8.219891548156738,1.1878044605255127,ok,,3722,2977,0,931,0.32566939294338226,True,0.1,False,16,1e-05,True,8.168755531311035,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft_skipped rows=4653>=2000,30,1,epoch_chunk,accuracy,0.8523489932885906,0.8590604026845637,0.8523489932885906,0.8590604026845637,8,True,False,,f_mmd,test,standardized_l2,2.650466586771,0.32383510098648544,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data184/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8321006356561516,0.5063451345213937,4.881587982177734,0.49289846420288086,ok,,1467,1173,0,367,0.5634824931621552,True,0.1,True,11,1e-05,True,4.841679573059082,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=f_mmd c_source=test c_metric=standardized_l2 | f_mmd_reserved_context=5% source=test | wise_ft=alpha0.1 rows=1834<2000,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,3,True,False,,f_mmd,test,standardized_l2,5.602017009747492,3.437885365574402,,True
