dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9453768690875801,0.9316809439103511,0.5883806736243897,0.8333336181940543,0.16727500277956797,49.36197805404663,12.721278190612793,ok,,26215,20972,0,6554,0.23192643374204636,51,1e-05,True,49.133522033691406,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9483120350944116,0.9511729925615106,0.9483120350944116,0.9511729925615106,9,True,False,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9881889763779528,0.9882027839473013,0.9881008663173954,0.999121032505395,0.03382275113022781,38.92412567138672,20.238206148147583,ok,,31492,25193,0,7874,0.023784495890140533,36,1e-05,True,38.663100481033325,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9871408160025401,0.9880933481505001,0.9871408160025401,0.9880933481505001,4,True,False,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8157226314452629,0.8133228265221177,0.785270341606364,0.8844476007115266,0.40263523738376056,55.3139705657959,20.337148904800415,ok,,31492,25193,0,7874,0.4120252877473831,51,1e-05,True,54.99091935157776,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8098110811239879,0.8123511668518812,0.8098110811239879,0.8123511668518812,9,True,False,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.6940298507462687,0.6934312253282705,0.6736357193479802,0.7454819277108433,0.5750359995269901,6.12401270866394,0.39663124084472656,ok,,1072,857,0,268,0.6397961676120758,17,1e-05,True,6.08643913269043,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7534883720930232,0.772093023255814,0.7534883720930232,0.772093023255814,9,True,False,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7343571428571428,0.7340762773712463,0.7343386479473136,0.8015773025558539,0.5418216404111381,117.13105010986328,56.89192748069763,ok,,56000,44800,0,14000,0.563490480184555,90,1e-05,True,116.60981917381287,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.7304464285714286,0.7329464285714286,0.7304464285714286,0.7329464285714286,10,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.975,0.9750065114340782,0.9756674082313682,0.9961067853170189,0.06658056778694525,5.556538105010986,0.9278068542480469,ok,,1920,1536,0,480,0.0893351398408413,10,1e-05,True,5.477926015853882,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9713541666666666,0.9739583333333334,0.9713541666666666,0.9739583333333334,2,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.960427492536752,0.9609983314794216,0.993204254727475,0.10338257389620985,7.203048229217529,0.9244868755340576,ok,,1920,1536,0,480,0.13282621651887894,14,1e-05,True,7.131720781326294,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9661458333333334,0.9765625,0.9661458333333334,0.9765625,6,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666667,0.9666753509914604,0.9670467185761957,0.9939168520578421,0.09801170865451464,10.837280750274658,0.9454483985900879,ok,,1920,1536,0,480,0.12344660609960556,22,1e-05,True,10.76553201675415,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9348958333333334,0.953125,0.9348958333333334,0.953125,14,True,False,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data200/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8950892857142857,0.886747793665325,0.7292082892623497,0.9132095428369961,0.2441454018127687,4.7907421588897705,0.7858259677886963,ok,,1792,1433,0,448,0.20051725208759308,10,1e-05,True,4.724092483520508,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8885793871866295,0.8969359331476323,0.8885793871866295,0.8969359331476323,2,True,False,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data200/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6768181818181818,0.665064792819001,0.7265026433265129,0.7259097516724181,0.5039912049879696,17.802998781204224,3.085005760192871,ok,,8799,7039,0,2200,0.4917009770870209,19,1e-05,True,17.71158194541931,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6835227272727272,0.6857954545454545,0.6835227272727272,0.6857954545454545,11,True,False,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data200/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7493670886075949,0.7491245549160678,0.7482583747981544,0.8259782068296773,0.5130274726875473,14.26835012435913,3.5128488540649414,ok,,7896,6316,0,1975,0.5412168502807617,12,1e-05,True,14.097772359848022,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7462025316455696,0.7487341772151899,0.7462025316455696,0.7487341772151899,4,True,False,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7153451226468911,0.7152947087661532,0.7149495195206368,0.7905459798057238,0.5519123274685707,47.94394898414612,24.655380725860596,ok,,35060,28048,0,8765,0.5336753726005554,39,1e-05,True,47.64011335372925,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.7127780946948089,0.7160581859669138,0.7127780946948089,0.7160581859669138,5,True,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.779291553133515,0.7787780977979223,0.7780304381427977,0.8554039593365437,0.4748992510447981,3.2074477672576904,0.49778008460998535,ok,,1465,1172,0,367,0.5479468107223511,8,1e-05,True,3.1760947704315186,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.764505119453925,0.764505119453925,0.764505119453925,0.764505119453925,0,True,False,
