dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data200/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4787644787644787,0.4621586970379305,0.3943211942543493,0.8498702426775097,1.5107173199179105,2.30269455909729,4.748969793319702,ok,,1035,828,0,259,,0,1e-05,False,1.4840853214263916,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | FT training skipped because n_classes=11 exceeds model max_classes=10,0,0,epoch_chunk,,,,,,0,False,False,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data200/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7356034051076615,0.7352060661078932,0.7348783282613742,0.9056453919656612,0.577203540742204,16.176438808441162,1.5226502418518066,ok,,7987,6389,0,1997,0.6091976761817932,14,1e-05,True,16.113274574279785,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7496871088861077,0.7634543178973717,0.7496871088861077,0.7634543178973717,6,True,False,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data200/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5872513562386981,0.5860066485944125,0.5691086581015405,0.7658104299093719,0.8737906749508844,74.81907415390015,37.333117961883545,ok,,44236,35388,0,11060,0.9039569199085236,56,1e-05,True,74.31465005874634,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,4,epoch_chunk,accuracy,0.5760623869801085,0.5782097649186256,0.5760623869801085,0.5782097649186256,6,True,False,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data200/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8745,0.8643887435096065,0.7437799895427014,0.8845671557535963,0.3118092610021583,22.68983125686645,2.9141626358032227,ok,,8000,6400,0,2000,0.3273117691278457,20,1e-05,True,22.57819890975952,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.866875,0.873125,0.866875,0.873125,12,True,False,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data200/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9256298449612403,0.925629849325588,0.9256299448721214,0.9801644094791312,0.1807721992978833,40.68585705757141,7.417891263961792,ok,,16512,13209,0,4128,0.2386791557073593,40,1e-05,True,40.52174687385559,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.9137148047229792,0.9237057220708448,0.9137148047229792,0.9237057220708448,12,True,False,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data200/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8332916145181477,0.7619843438193797,0.5087551762172665,0.6170725824415195,0.4436952019927822,24.80016827583313,7.463289260864258,ok,,31958,25566,0,7990,0.4370131492614746,24,1e-05,True,24.69365882873535,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.8324468085106383,0.8324468085106383,0.8324468085106383,0.8324468085106383,0,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.98125,0.9812512218963833,0.9812986651835373,0.9978969688542826,0.0515146157669495,9.441145420074465,1.14105224609375,ok,,1920,1536,0,480,0.0745000354945659,12,1e-05,True,9.32459044456482,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9739583333333334,0.9791666666666666,0.9739583333333334,0.9791666666666666,4,True,False,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.9687585479270056,0.9692018909899888,0.9953246662958845,0.0884134723652441,5.983617544174194,1.1793768405914309,ok,,1920,1536,0,480,0.0901446864008903,8,1e-05,True,5.891826868057251,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9713541666666666,0.9713541666666666,0.9713541666666666,0.9713541666666666,0,True,False,
Credit_c,/home/crc00006699/zh/tabiclv2/data200/Credit_c,multiclass,80000,16000,20000,22,3,0.82235,0.8223063983603021,0.8329326038958155,0.9332942431799373,0.412330367040416,332.04829025268555,118.57572197914124,ok,,80000,64000,0,20000,0.6724416613578796,168,1e-05,True,330.2073657512665,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,7,epoch_chunk,accuracy,0.814,0.8270625,0.814,0.8270625,16,True,False,
Diabetic_Retinopathy_Debrecen,/home/crc00006699/zh/tabiclv2/data200/Diabetic_Retinopathy_Debrecen,binclass,920,184,231,19,2,0.7229437229437229,0.7225464346973781,0.7206413730803976,0.8404847937368262,0.487495330481429,8.703642845153809,1.0349340438842771,ok,,920,736,0,231,0.470687985420227,16,1e-05,True,8.64364504814148,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7445652173913043,0.7663043478260869,0.7445652173913043,0.7663043478260869,8,True,False,
Employee,/home/crc00006699/zh/tabiclv2/data200/Employee,binclass,3722,745,931,8,2,0.8582169709989259,0.8512789608973225,0.8086333878887071,0.8779101882160392,0.3556271343839171,6.419598817825317,1.3195984363555908,ok,,3722,2977,0,931,0.3367659598588943,10,1e-05,True,6.357655763626099,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8523489932885906,0.8563758389261745,0.8523489932885906,0.8563758389261745,2,True,False,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7520435967302452,0.7519514805828373,0.7518119170676647,0.8334224440087922,0.5041819551214565,4.076476573944092,0.6025571823120117,ok,,1467,1173,0,367,0.5255992710590363,8,1e-05,True,4.034385919570923,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.717687074829932,0.717687074829932,0.717687074829932,0.717687074829932,0,True,False,
