dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
Amazon_employee_access,/home/crc00006699/zh/tabiclv2/data200/Amazon_employee_access,binclass,26215,5243,6554,7,2,0.9449191333536772,0.9306939868231388,0.5831846004294275,0.8350340230523537,0.1658496803783637,0.8741958141326904,13.0559401512146,ok,
BNG(breast-w),/home/crc00006699/zh/tabiclv2/data200/BNG(breast-w),binclass,31492,6299,7874,9,2,0.9880619761239523,0.9880774596607574,0.9880918254272,0.9990885853579745,0.034304603771965425,0.6714465618133545,20.122089862823486,ok,
BNG(tic-tac-toe),/home/crc00006699/zh/tabiclv2/data200/BNG(tic-tac-toe),binclass,31492,6299,7874,9,2,0.8154686309372619,0.8134246434938179,0.7865325874730692,0.8830169249128473,0.40640250567730407,0.7342948913574219,20.240304470062256,ok,
Basketball_c,/home/crc00006699/zh/tabiclv2/data200/Basketball_c,binclass,1072,215,268,11,2,0.7052238805970149,0.7030301526820772,0.6807819513347508,0.7432081266241436,0.5776634110391375,0.5511987209320068,0.49666452407836914,ok,
Cardiovascular-Disease-dataset,/home/crc00006699/zh/tabiclv2/data200/Cardiovascular-Disease-dataset,binclass,56000,11200,14000,11,2,0.7327857142857143,0.7324094287643468,0.7327643617189752,0.8014188841367786,0.5421970008192871,0.9051978588104248,56.125839710235596,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9770833333333333,0.97708960094233,0.9776835372636263,0.9962632091212459,0.06601486075657055,0.46607375144958496,1.0362215042114258,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-11.0GHz(Urbinati),binclass,1920,384,480,30,2,0.9604166666666667,0.960427492536752,0.9609983314794216,0.9922830923248053,0.11078072031129958,0.42080068588256836,0.9607300758361816,ok,
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data200/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9666666666666667,0.9666753509914604,0.9670467185761957,0.9932737764182425,0.0990667877802978,0.4106924533843994,0.955876350402832,ok,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data200/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8928571428571429,0.8838374635568513,0.7217456026951855,0.9139930269910291,0.2427912881194156,0.401355504989624,0.8059985637664795,ok,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data200/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6768181818181818,0.6648051343994581,0.7268684244194084,0.7291665772248893,0.5040678681023016,0.42456912994384766,3.1642332077026367,ok,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data200/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7529113924050633,0.7526815813202229,0.7518294511851885,0.8261831341241439,0.5125212987274105,0.49956727027893066,3.962981700897217,ok,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7155733029092983,0.7153690990746437,0.714863171537954,0.788993566059125,0.5537106118530054,0.6647317409515381,24.57099151611328,ok,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.784741144414169,0.7842403669880971,0.7834849295523453,0.8553445098388919,0.4748947084874963,0.3902590274810791,0.6199285984039307,ok,
FOREX_audsgd-hour-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_audsgd-hour-High,binclass,35060,7012,8765,10,2,0.7098687963491158,0.7097582008536479,0.7093284329542935,0.7856505753969246,0.5558076239814274,0.7998647689819336,24.59049892425537,ok,
FOREX_cadjpy-day-High,/home/crc00006699/zh/tabiclv2/data200/FOREX_cadjpy-day-High,binclass,1467,294,367,10,2,0.7329700272479565,0.7327080930852784,0.7330571394630554,0.7946661914944166,0.5520414854166936,0.4076848030090332,0.5948801040649414,ok,
Firm-Teacher_Clave-Direction_Classification,/home/crc00006699/zh/tabiclv2/data200/Firm-Teacher_Clave-Direction_Classification,multiclass,8640,1728,2160,16,4,0.8791666666666667,0.8774657610422694,0.7969483993256973,0.9701868784748595,0.3170246923292778,0.5101966857910156,3.534588098526001,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data200/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.66875,0.6634920634920636,0.66875,0.7245312500000001,0.6055800552005081,0.3988955020904541,0.6015942096710205,ok,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data200/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6126315789473684,0.567873911719699,0.4299880791907078,0.7079500414886084,0.7906916888671394,0.3897719383239746,1.3257055282592773,ok,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data200/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.7993215031315241,0.8019100296404118,0.7456838584403838,0.8105272544298799,0.42954608493572666,0.5503804683685303,7.102636098861694,ok,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data200/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9031013094417643,0.9024529927857247,0.883724036020335,0.9630636672374296,0.22273218065300332,0.7899105548858643,19.600832223892212,ok,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.503095230615787,0.555820250460126,0.573275089263916,9.184603452682495,ok,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.49836065573770494,0.7369262295081965,0.32598694161858094,0.3914649486541748,0.578345537185669,ok,
KDD,/home/crc00006699/zh/tabiclv2/data200/KDD,binclass,4025,805,1007,45,2,0.8063555114200596,0.8057083352621707,0.8071566654830946,0.9060658066043319,0.368657212511203,0.5431609153747559,2.396474838256836,ok,
Long,/home/crc00006699/zh/tabiclv2/data200/Long,binclass,3581,717,896,19,2,0.9933035714285714,0.9933192661830358,0.9941374150661074,0.999871219368607,0.014203988481300561,0.41616201400756836,1.3942880630493164,ok,
MagicTelescope,/home/crc00006699/zh/tabiclv2/data200/MagicTelescope,binclass,15216,3044,3804,9,2,0.8932702418506835,0.8917972365134492,0.8710153150106016,0.9468911728657726,0.26354643325940036,0.4804654121398926,6.575932502746582,ok,
Mobile_Price_Classification,/home/crc00006699/zh/tabiclv2/data200/Mobile_Price_Classification,multiclass,1600,320,400,20,4,0.9625,0.9623953100078446,0.9624999999999999,0.9989249999999998,0.0711428113179825,0.5289046764373779,0.7346601486206055,ok,
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200/Performance-Prediction,binclass,1072,215,268,19,2,0.7425373134328358,0.7347943489201461,0.7017213555675095,0.8061084214930369,0.5241193092537365,0.38406848907470703,0.5109877586364746,ok,
